seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
36,beta,1,max,1.0,0.5,raw,none,,3,0.453478675145336,0.6115073608617594,0.3603204646557781,0.8636747191282126
21,beta,1,max,1.0,0.5,raw,none,,2,0.4271173075987186,0.6605485320972047,0.3381298188766937,0.886437078014488
0,beta,1,max,1.0,0.5,raw,none,,8,0.4421832411328437,0.6347269049224544,0.3660901493509245,0.8393738595178232
42,beta,1,max,1.0,0.5,raw,none,,3,0.4345859481913289,0.6637593525210406,0.3582054262908926,0.8570136639198057
4,beta,1,max,1.0,0.5,raw,none,,9,0.4423544666227763,0.6355494839101397,0.362506799798527,0.8563705928222397
31,beta,1,max,1.0,0.5,raw,none,,3,0.4135643643733099,0.706756549716562,0.3456161734504183,0.8665868260041801
13,beta,1,max,1.0,0.5,raw,none,,3,0.4403119320997768,0.6650742778634425,0.3685416554389349,0.8560859621231138
16,beta,1,max,1.0,0.5,raw,none,,3,0.4237534593480334,0.6720209222790978,0.3606855917063607,0.8559304058503451
37,beta,1,max,1.0,0.5,raw,none,,3,0.4336970438222515,0.66161139152964,0.3638111269934297,0.8596190739118308
38,beta,1,max,1.0,0.5,raw,none,,3,0.422190936432469,0.6505254379874926,0.357818112891538,0.859373719157308
1,beta,1,max,1.0,0.5,raw,none,,11,0.4401960070187605,0.6253383757961785,0.3541171399249729,0.8561038102322506
30,beta,1,max,1.0,0.5,raw,none,,3,0.4531812304103988,0.6206388993003498,0.3597934815663454,0.8523531667189513
3,beta,1,max,1.0,0.5,raw,none,,11,0.4339824171734588,0.6291747632517526,0.3505002610440989,0.8809517181480079
10,beta,1,max,1.0,0.5,raw,none,,4,0.4288183264604101,0.6517737665376567,0.3493776032652796,0.8710638522163935
2,beta,1,max,1.0,0.5,raw,none,,11,0.4256434086251069,0.6440357724862732,0.3525909956195887,0.8640116144335237
17,beta,1,max,1.0,0.5,raw,none,,3,0.4464937571209817,0.6367585733882031,0.3499317813705124,0.8699326412062784
36,beta,1,max,1.0,0.5,raw,none,,4,0.4523856609739999,0.6111220825852783,0.3577730923403272,0.8684376188715839
14,beta,1,max,1.0,0.5,raw,none,,2,0.4486735809097128,0.5936100005630948,0.3747850437791339,0.8532993083254086
21,beta,1,max,1.0,0.5,raw,none,,3,0.4272915363668054,0.6624592639415647,0.3415353919228433,0.8881210075221759
4,beta,1,max,1.0,0.5,raw,none,,10,0.4421906043169488,0.6463373488988243,0.3511536446020052,0.8666993149261908
42,beta,1,max,1.0,0.5,raw,none,,4,0.4344222427310079,0.6626644550958133,0.3778254441598868,0.8436720325844758
0,beta,1,max,1.0,0.5,raw,none,,9,0.4422976683474323,0.6411992428572896,0.3567968437941545,0.8618772722048902
31,beta,1,max,1.0,0.5,raw,none,,4,0.4161859978337811,0.706186818141132,0.3460402595913226,0.8676153953043948
5,beta,1,max,1.0,0.5,raw,none,,2,0.4027052801298993,0.7035767815090129,0.3728334705245667,0.8462557510875597
13,beta,1,max,1.0,0.5,raw,none,,4,0.4400192513643416,0.6534490145279885,0.3691788910907748,0.8562031071318996
16,beta,1,max,1.0,0.5,raw,none,,4,0.4250519832908096,0.6684610692970663,0.3597832102831926,0.8552164419644405
38,beta,1,max,1.0,0.5,raw,none,,4,0.4240003315074092,0.6449650231430593,0.3537418421488741,0.8665669317157144
23,beta,1,max,1.0,0.5,raw,none,,2,0.4213386764633979,0.6589796774260437,0.3634461264599228,0.8591673530262893
37,beta,1,max,1.0,0.5,raw,none,,4,0.4354118171981571,0.6572786672034188,0.3658230978497702,0.858335892184564
32,beta,1,max,1.0,0.5,raw,none,,2,0.441168020321756,0.6325728629200947,0.3679354537186404,0.8255857429417462
3,beta,1,max,1.0,0.5,raw,none,,12,0.4338922933408838,0.6345504857951052,0.3433740901289231,0.8804283678150681
30,beta,1,max,1.0,0.5,raw,none,,4,0.4537340543377928,0.6179363443278361,0.3563494409676935,0.8659402558471888
1,beta,1,max,1.0,0.5,raw,none,,12,0.4412524537728788,0.633937101910828,0.3576801596699394,0.8673416535801857
10,beta,1,max,1.0,0.5,raw,none,,5,0.4286756044743178,0.6500749554951747,0.3478941371422619,0.8759712932730053
2,beta,1,max,1.0,0.5,raw,none,,12,0.4262166902665893,0.6382323388172407,0.3519251648257488,0.8640797742546724
17,beta,1,max,1.0,0.5,raw,none,,4,0.4471945560413137,0.6307088477366254,0.341085740492092,0.8658617599802249
14,beta,1,max,1.0,0.5,raw,none,,3,0.4405735060179844,0.5998918858043809,0.3614161822269093,0.8598452455068517
21,beta,1,max,1.0,0.5,raw,none,,4,0.4283916353124121,0.6567699115044248,0.3345530392474103,0.8923716254534172
42,beta,1,max,1.0,0.5,raw,none,,5,0.4348272871107873,0.6691587124372116,0.366957815853785,0.8374540877847113
4,beta,1,max,1.0,0.5,raw,none,,11,0.4424735306781202,0.6391217502897831,0.3517668765783761,0.861861436469455
36,beta,1,max,1.0,0.5,raw,none,,5,0.4525861331198934,0.6111443447037701,0.3585220664188223,0.8651493964672035
31,beta,1,max,1.0,0.5,raw,none,,5,0.4151579922089292,0.6963566832671347,0.3556960291063595,0.8675079542215034
0,beta,1,max,1.0,0.5,raw,none,,10,0.4437027496380364,0.6249911860647405,0.3632897406785619,0.8617798669682725
5,beta,1,max,1.0,0.5,raw,none,,3,0.4055663188049678,0.6874202951628043,0.3596236778330439,0.8528781946852446
13,beta,1,max,1.0,0.5,raw,none,,5,0.4411559281288221,0.6557543265854674,0.3660900475920866,0.8491534878531781
16,beta,1,max,1.0,0.5,raw,none,,5,0.4254186118371315,0.6601745439217778,0.3669501613004283,0.8504432814612
38,beta,1,max,1.0,0.5,raw,none,,5,0.4250637097851207,0.634524085553479,0.3542899403424409,0.8698049020411509
23,beta,1,max,1.0,0.5,raw,none,,3,0.4247219136591599,0.6543202609701299,0.3701249778551728,0.8516391937314961
28,beta,1,max,1.0,0.5,raw,none,,2,0.4411492739036211,0.6428756730677875,0.3571241420712845,0.8673004964135993
37,beta,1,max,1.0,0.5,raw,none,,5,0.4348374820631696,0.6579192859133559,0.3667249200705763,0.8603177107249202
30,beta,1,max,1.0,0.5,raw,none,,5,0.452375910905362,0.6253029735132434,0.3487383578520968,0.8579539196207606
3,beta,1,max,1.0,0.5,raw,none,,13,0.4346408058169145,0.6322235887344729,0.3426635653040642,0.8785493174175445
32,beta,1,max,1.0,0.5,raw,none,,3,0.4413605725445715,0.6341054246269697,0.382224546182545,0.8329244163039177
