seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn,selected_knn_k
0,bernoulli,54,none,1.0,0.5,raw,54,0.6944860405177751,0.4117359621044094,
28,bernoulli,54,none,1.0,0.5,raw,54,0.6557003462385899,0.4397340512389888,
18,bernoulli,54,none,1.0,0.5,raw,54,0.7059981056894636,0.3904918634504797,
12,bernoulli,54,none,1.0,0.5,raw,54,0.6150635930047694,0.4280637404894082,
8,bernoulli,54,none,1.0,0.5,raw,54,0.648091421433776,0.4080953136238577,
22,bernoulli,54,none,1.0,0.5,raw,54,0.6530620483630051,0.4339560292598354,
40,bernoulli,54,none,1.0,0.5,raw,54,0.6647086466165414,0.3886234310765098,
34,bernoulli,54,none,1.0,0.5,raw,54,0.6509889978269425,0.4086129718292685,
46,bernoulli,54,none,1.0,0.5,raw,54,0.6623522727272726,0.4082727692252832,
6,bernoulli,54,none,1.0,0.5,raw,54,0.6984971060247303,0.4183376502514684,
16,bernoulli,54,none,1.0,0.5,raw,54,0.7230090027700831,0.405031136387286,
44,bernoulli,54,none,1.0,0.5,raw,54,0.6696160446160445,0.3972645117219913,
36,bernoulli,54,none,1.0,0.5,raw,54,0.7075028358450818,0.405565363521875,
30,bernoulli,54,none,1.0,0.5,raw,54,0.663038633287679,0.4036728839629099,
2,bernoulli,54,none,1.0,0.5,raw,54,0.694275582573455,0.4090523533039876,
1,bernoulli,54,none,1.0,0.5,raw,54,0.6395604784485809,0.4314503833063491,
29,bernoulli,54,none,1.0,0.5,raw,54,0.6396968791996417,0.4290612078075579,
24,bernoulli,54,none,1.0,0.5,raw,54,0.6680236728837877,0.435691911985051,
14,bernoulli,54,none,1.0,0.5,raw,54,0.6551260912142086,0.3927029842885984,
20,bernoulli,54,none,1.0,0.5,raw,54,0.6756523348343717,0.4124463407699371,
48,bernoulli,54,none,1.0,0.5,raw,54,0.6851315862477114,0.4018489424591559,
26,bernoulli,54,none,1.0,0.5,raw,54,0.6392370169163327,0.4365378767864094,
4,bernoulli,54,none,1.0,0.5,raw,54,0.6602192961977246,0.4174735620830829,
32,bernoulli,54,none,1.0,0.5,raw,54,0.5936860297325414,0.4269115947826938,
19,bernoulli,54,none,1.0,0.5,raw,54,0.6803022016794863,0.4085439691798045,
38,bernoulli,54,none,1.0,0.5,raw,54,0.59135905472749,0.4452255733039691,
10,bernoulli,54,none,1.0,0.5,raw,54,0.7133467023172906,0.4032353087620735,
13,bernoulli,54,none,1.0,0.5,raw,54,0.6778351581676274,0.4246176823256966,
9,bernoulli,54,none,1.0,0.5,raw,54,0.6310388513513514,0.4159947421424802,
35,bernoulli,54,none,1.0,0.5,raw,54,0.7156471188621891,0.3941218641067447,
7,bernoulli,54,none,1.0,0.5,raw,54,0.6978634593283105,0.3875390994434629,
31,bernoulli,54,none,1.0,0.5,raw,54,0.6238079757260512,0.4059701102111172,
25,bernoulli,54,none,1.0,0.5,raw,54,0.7233083008177881,0.4056843708007564,
41,bernoulli,54,none,1.0,0.5,raw,54,0.6390636126275814,0.3958464691425282,
3,bernoulli,54,none,1.0,0.5,raw,54,0.5942756252917527,0.4413045580367721,
47,bernoulli,54,none,1.0,0.5,raw,54,0.6742466013879647,0.3869734994294487,
43,bernoulli,54,none,1.0,0.5,raw,54,0.6323597866709226,0.4374350601773569,
15,bernoulli,54,none,1.0,0.5,raw,54,0.7141363430469576,0.3915050130720471,
21,bernoulli,54,none,1.0,0.5,raw,54,0.5473748568377724,0.4306697542329118,
37,bernoulli,54,none,1.0,0.5,raw,54,0.6214657456130853,0.4317354986950612,
49,bernoulli,54,none,1.0,0.5,raw,54,0.6619772727272727,0.4115519256218158,
17,bernoulli,54,none,1.0,0.5,raw,54,0.6661404893449092,0.4260451697537411,
5,bernoulli,54,none,1.0,0.5,raw,54,0.5974434785166879,0.4477852880032409,
11,bernoulli,54,none,1.0,0.5,raw,54,0.6152572125271755,0.4347556586892651,
23,bernoulli,54,none,1.0,0.5,raw,54,0.6844439186670107,0.4198513592796042,
27,bernoulli,54,none,1.0,0.5,raw,54,0.6406212877167974,0.4182194287823993,
39,bernoulli,54,none,1.0,0.5,raw,54,0.7012510874518414,0.4060713852187266,
45,bernoulli,54,none,1.0,0.5,raw,54,0.5937378199298428,0.456074781608226,
33,bernoulli,54,none,1.0,0.5,raw,54,0.6017969658260732,0.4386803847835234,
42,bernoulli,54,none,1.0,0.5,raw,54,0.7785193424792979,0.3618530378446876,50.0
