seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl,knn_selection_version
1,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,0.6147235206492705,0.4699431493038833,2.0
2,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.637315201840267,0.5453692278280033,2.0
3,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6388190259500677,0.5023614135769167,2.0
4,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.616817767842358,0.484922269093037,2.0
0,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5786452895933951,0.576753510259852,2.0
36,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6023123877917415,0.4875937695675898,2.0
16,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6422801196836113,0.5115637216803912,2.0
10,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6324496032403837,0.4404588169521907,2.0
42,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6396200000391968,0.4643343851495639,2.0
31,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6257234218160791,0.4456989217922734,2.0
13,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.628001351895618,0.4530487983032597,2.0
37,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5826623932947284,0.5246220465725342,2.0
30,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5889695777111444,0.4827073831539272,2.0
38,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6458012737202159,0.4398436951171407,2.0
17,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5967990397805213,0.4594834880788516,2.0
21,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6703827784801236,0.447452689285884,2.0
32,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,0.5601234137498257,0.5931628737502108,2.0
14,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5712754096514444,0.5124118566311602,2.0
5,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5388834753181803,0.5159972032352919,2.0
24,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5716501139693911,0.5144065273908244,2.0
28,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6123385597511696,0.5395911568426749,2.0
40,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5979972851024778,0.5251550536296715,2.0
44,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.599500188285235,0.5111111826942688,2.0
18,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6154637929485254,0.5438657527795888,2.0
8,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5748144031845653,0.5657304085994325,2.0
23,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5768158246250762,0.5250953213123852,2.0
12,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5471973090334216,0.5508427416516893,2.0
20,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6176815573481338,0.4691621875492666,2.0
48,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5784413091539197,0.602696798442542,2.0
26,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5968230509868019,0.5910061378499148,2.0
34,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5665553238439343,0.5844149326001561,2.0
46,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6544171501608457,0.5304152437846759,2.0
6,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.541691475744632,0.5792936421443687,2.0
22,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6170339487790352,0.4636575807522875,2.0
29,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6871960092085878,0.5235896103028496,2.0
25,beta,1,max,1.0,0.5,raw,none,,max,286.0,20,0.6214270503407237,0.5615424376880576,2.0
9,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6560557815011445,0.5295375544222551,2.0
33,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6246100765203331,0.5743008509480002,2.0
49,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6208237842899964,0.6184042995614313,2.0
41,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5471902721618341,0.5683635960582759,2.0
45,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6194338133102799,0.5267162121281892,2.0
35,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5779322378229598,0.5658028907714168,2.0
19,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.538851537528932,0.5353056149282132,2.0
7,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6121502567418682,0.5302363711165399,2.0
15,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5719841307487166,0.5799530356811747,2.0
27,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6024024431813458,0.5364873162251879,2.0
11,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6007662165508602,0.5456201598137352,2.0
43,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5639231201407602,0.5343645184029914,2.0
47,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.6256581681348441,0.5378475041720847,2.0
39,beta,1,max,1.0,0.5,raw,none,,max,286.0,50,0.5445343996755647,0.5442954670808602,2.0
