seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_naive,rmse_naive
42,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2542600367711494
40,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2685961465911729
46,beta,54,none,1.0,0.5,raw,54,50,0.5,0.262395226481787
41,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2531973552899823
5,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2617562252942119
13,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2576860059740647
33,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2871516060424068
15,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2716404171389645
17,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2637684256775166
1,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2787370606699389
29,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2810347581150481
9,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2573269548940232
25,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2846437054561795
37,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2671660849706092
21,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2570486022286439
47,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2442667978410242
27,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2628595767455491
2,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2496190297583307
11,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2601512112287045
48,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2503292478656818
39,beta,54,none,1.0,0.5,raw,54,10,0.5,0.2837245613197944
19,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2605355118728609
14,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2684688639053886
3,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2601721601232064
31,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2535450493616422
18,beta,54,none,1.0,0.5,raw,54,20,0.5,0.252685502646622
44,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2453127001500376
10,beta,54,none,1.0,0.5,raw,54,10,0.5,0.2710570533166517
35,beta,54,none,1.0,0.5,raw,54,20,0.5,0.264051869985391
22,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2836286045230418
7,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2602195931837051
23,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2746968153197506
43,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2788068834776791
38,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2764912384164367
34,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2564321469532228
30,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2556279861490296
26,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2703524394655658
6,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2744748737112891
16,beta,54,none,1.0,0.5,raw,54,5,0.5,0.2757703584460063
0,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2815793546147364
12,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2598106660729993
4,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2610256925466466
24,beta,54,none,1.0,0.5,raw,54,10,0.5,0.2892781303940575
8,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2637741031977846
45,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2786925119298824
49,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2580475169493462
32,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2567164937464078
20,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2627273029574568
28,beta,54,none,1.0,0.5,raw,54,20,0.5,0.2924924539138769
36,beta,54,none,1.0,0.5,raw,54,50,0.5,0.2631715053407858
