seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_knn,rmse_knn
42,beta,1,max,1.0,0.5,raw,max,10,0.7202112446488196,0.4260585302017156
13,beta,1,max,1.0,0.5,raw,max,50,0.7215443390593325,0.4125560310629834
37,beta,1,max,1.0,0.5,raw,max,50,0.7101661608810991,0.4103371357549219
3,beta,1,max,1.0,0.5,raw,max,50,0.7096156684294674,0.413545429619389
10,beta,1,max,1.0,0.5,raw,max,50,0.7097288388865266,0.4077213126942833
17,beta,1,max,1.0,0.5,raw,max,50,0.7145318930041152,0.4195626962764422
1,beta,1,max,1.0,0.5,raw,max,50,0.6946534055886584,0.4215589328329339
31,beta,1,max,1.0,0.5,raw,max,50,0.7529259491728046,0.3862306423645015
21,beta,1,max,1.0,0.5,raw,max,50,0.6913042562157606,0.4172465600488478
30,beta,1,max,1.0,0.5,raw,max,50,0.6818067528735632,0.4336947933374847
38,beta,1,max,1.0,0.5,raw,max,50,0.7024899085302904,0.4073060504718211
29,beta,1,max,1.0,0.5,raw,max,20,0.7258164151245912,0.413152937269105
2,beta,1,max,1.0,0.5,raw,max,50,0.7013200141794413,0.4090310420798567
4,beta,1,max,1.0,0.5,raw,max,50,0.7076944306452503,0.4173494903158254
14,beta,1,max,1.0,0.5,raw,max,50,0.6473427557857987,0.4357336011833148
23,beta,1,max,1.0,0.5,raw,max,20,0.7049006144998418,0.4137591204257483
36,beta,1,max,1.0,0.5,raw,max,50,0.6861328545780969,0.4243465891332311
25,beta,1,max,1.0,0.5,raw,max,50,0.6536780761109512,0.4298274939238884
5,beta,1,max,1.0,0.5,raw,max,50,0.745936205214428,0.3830213171850652
16,beta,1,max,1.0,0.5,raw,max,20,0.7332211432531078,0.4062333837192093
46,beta,1,max,1.0,0.5,raw,max,50,0.7220004212622548,0.4096767347305023
33,beta,1,max,1.0,0.5,raw,max,50,0.7131938770629662,0.4106725803371074
9,beta,1,max,1.0,0.5,raw,max,50,0.725433186401052,0.4026940866737162
41,beta,1,max,1.0,0.5,raw,max,50,0.706074714104828,0.4157435284017401
26,beta,1,max,1.0,0.5,raw,max,50,0.6720365009378306,0.4248943891856883
18,beta,1,max,1.0,0.5,raw,max,50,0.7492704676505308,0.4041373818232548
44,beta,1,max,1.0,0.5,raw,max,50,0.6730710496515884,0.4220597074730646
19,beta,1,max,1.0,0.5,raw,max,50,0.7093278132921856,0.4069249158848971
43,beta,1,max,1.0,0.5,raw,max,50,0.7005204495984766,0.4173830331347484
34,beta,1,max,1.0,0.5,raw,max,50,0.7306712092921749,0.4032304308033926
47,beta,1,max,1.0,0.5,raw,max,50,0.7582250222297897,0.3853261514861196
48,beta,1,max,1.0,0.5,raw,max,50,0.6207662374521988,0.4451958687619741
22,beta,1,max,1.0,0.5,raw,max,50,0.6842026988451142,0.4242520826813487
15,beta,1,max,1.0,0.5,raw,max,50,0.7027104480915789,0.4195506206849732
6,beta,1,max,1.0,0.5,raw,max,50,0.6843256964519423,0.4223481633121227
11,beta,1,max,1.0,0.5,raw,max,50,0.7087849925327528,0.4168541387173848
35,beta,1,max,1.0,0.5,raw,max,50,0.7629769062793293,0.3913147177810834
7,beta,1,max,1.0,0.5,raw,max,50,0.7820101164472026,0.3827764922354054
27,beta,1,max,1.0,0.5,raw,max,50,0.6466192866110003,0.4392599571382605
39,beta,1,max,1.0,0.5,raw,max,50,0.74394964097426,0.3899495770491365
32,beta,1,max,1.0,0.5,raw,max,50,0.657233998047692,0.4296670041831451
28,beta,1,max,1.0,0.5,raw,max,50,0.7091740714511447,0.4196201748790715
24,beta,1,max,1.0,0.5,raw,max,50,0.6868002415065668,0.4205999355868908
20,beta,1,max,1.0,0.5,raw,max,50,0.7072839743891253,0.4012160004860955
40,beta,1,max,1.0,0.5,raw,max,50,0.7172268532680739,0.4023077124594795
8,beta,1,max,1.0,0.5,raw,max,50,0.7195708391445839,0.4078082497327756
0,beta,1,max,1.0,0.5,raw,max,50,0.714596903655986,0.4159948137835775
45,beta,1,max,1.0,0.5,raw,max,50,0.7269852705010791,0.3995599643442438
49,beta,1,max,1.0,0.5,raw,max,50,0.7043134746207038,0.4211932961704335
12,beta,1,max,1.0,0.5,raw,max,50,0.7443869188364238,0.3973560429155436
