seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,train_retention,observed_train_pairs,auc_knn,rmse_knn,auc_araf,rmse_araf,knn_k
0,0.002,1,beta,max,1.0,raw,raw,0.05,1136,0.6784916019455692,0.4506261257840087,0.7081119010374772,0.4590531480276755,5
1,0.002,1,beta,max,1.0,raw,raw,0.05,1159,0.6738744349702075,0.4505627140431472,0.6874184559276763,0.4576965282789001,5
28,0.002,1,beta,max,1.0,raw,raw,0.05,1159,0.7198943036784826,0.4337780363217908,0.7062169867451719,0.4533622055057382,5
29,0.002,1,beta,max,1.0,raw,raw,0.05,1119,0.7255949733937155,0.4239746403037893,0.6664518802883581,0.470078810110761,5
22,0.018,1,beta,max,1.0,raw,raw,0.05,1153,0.6563448234543667,0.4497982599459262,0.6715852983778031,0.4724678262978706,5
32,0.0155,1,beta,max,1.0,raw,raw,0.05,1161,0.623778413052573,0.4615627186541597,0.6827527541486543,0.4623901945651021,5
10,0.0159,1,beta,max,1.0,raw,raw,0.05,1116,0.6940413384360729,0.4261884929098861,0.7139880287425495,0.4428955710648485,5
44,0.016,1,beta,max,1.0,raw,raw,0.05,1164,0.6666790847659458,0.4428220172847312,0.6772150029434252,0.4525351137689518,5
40,0.005,1,beta,max,1.0,raw,raw,0.05,1152,0.6943544789436118,0.4277609202887754,0.7129594932191292,0.4359436109928054,5
23,0.018,1,beta,max,1.0,raw,raw,0.05,1176,0.6932527422398241,0.4289124868804562,0.6335672628837948,0.4613449752533984,5
12,0.005,1,beta,max,1.0,raw,raw,0.05,1196,0.736087490632603,0.4088793177876708,0.7337387120727356,0.4197551662520196,5
6,0.004,1,beta,max,1.0,raw,raw,0.05,1154,0.7022633789245084,0.4365154666727616,0.6607966230889819,0.4721787144760699,5
46,0.006,1,beta,max,1.0,raw,raw,0.05,1170,0.7133193670534619,0.4305447956077215,0.6606137144799326,0.4763394287079537,5
34,0.004,1,beta,max,1.0,raw,raw,0.05,1174,0.710981413225345,0.4250293356924769,0.7126670142340988,0.4462237654649287,5
4,0.0155,1,beta,max,1.0,raw,raw,0.05,1198,0.6785715764199372,0.4422239140320982,0.7015779378484296,0.4611810105634013,5
24,0.008,1,beta,max,1.0,raw,raw,0.05,1113,0.6870051150548139,0.4348733252755966,0.6544729594051883,0.4645404627682282,5
48,0.015,1,beta,max,1.0,raw,raw,0.05,1163,0.573049489125239,0.4841154079693574,0.58529517208413,0.5125435740857638,5
30,0.01,1,beta,max,1.0,raw,raw,0.05,1183,0.674207817966017,0.4493900304251684,0.666442559970015,0.4652937305935631,5
8,0.012,1,beta,max,1.0,raw,raw,0.05,1160,0.6990244363086937,0.4401866809155438,0.6945146637222996,0.4516796375918936,5
26,0.0151,1,beta,max,1.0,raw,raw,0.05,1150,0.6767095745402253,0.4408625064071425,0.6660410967618806,0.463936071802485,5
28,0.02,1,beta,max,1.0,raw,raw,0.05,1159,0.7198943036784826,0.4337780363217908,0.7075386961335199,0.4540540444728183,5
16,0.016,1,beta,max,1.0,raw,raw,0.05,1153,0.7130004247043834,0.4192516745065859,0.7253529357291345,0.4338109443294813,5
38,0.0159,1,beta,max,1.0,raw,raw,0.05,1208,0.6601244453116178,0.4420701494627009,0.7068352041781123,0.4365369551440999,5
14,0.014,1,beta,max,1.0,raw,raw,0.05,1211,0.6225804756273814,0.4674626793473909,0.6154595791805094,0.4846262126569947,5
0,0.02,1,beta,max,1.0,raw,raw,0.05,1136,0.6784916019455692,0.4506261257840087,0.7091141224914513,0.4587936979265082,5
42,0.014,1,beta,max,1.0,raw,raw,0.05,1104,0.7078387730877349,0.4323863151836448,0.7210115127549671,0.435340678582554,5
20,0.015,1,beta,max,1.0,raw,raw,0.05,1156,0.6867727857999578,0.4287816295690214,0.7081530302673973,0.4337322426329937,5
36,0.012,1,beta,max,1.0,raw,raw,0.05,1194,0.6752614003590665,0.4411635448979221,0.6677716337522441,0.4716798138667662,5
