n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,48,0.0155,8322,0.4198564700267879,0.6177803258678405,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.007026523817330599, 0.012316778302192688, 0.011181119829416275, 0.012398448772728443, 0.0123231066390872, 0.0120832035318017, 0.008380954153835773, 0.010186701081693172, 0.011326365172863007, 0.011623207479715347, 0.008197593502700329, 0.007246754597872496, 0.009541839361190796, 0.005849250126630068, 0.00696000037714839, 0.010041078552603722, 0.013380182906985283, 0.011411922052502632, 0.009472306817770004, 0.011721759103238583, 0.011183694936335087, 0.011454112827777863, 0.008297814056277275, 0.014196445234119892, 0.003780032740905881, 0.011690415441989899, 0.009869555942714214, 0.008428504690527916, 0.010362779721617699, 0.01120562944561243]",pca,Pre-32
1,bernoulli,40,0.0155,8331,0.4012384695553296,0.6420464874691598,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.005898862611502409, 0.01770138368010521, 0.020179543644189835, 0.015513977967202663, 0.014366897754371166, 0.0174331646412611, 0.017739782109856606, 0.016037672758102417, 0.015002066269516945, 0.018868528306484222, 0.01669660583138466, 0.02063535526394844, 0.017290886491537094, 0.01917245239019394, 0.011595416814088821, 0.016881540417671204, 0.013131603598594666, 0.015475643798708916, 0.01846986636519432, 0.02117563970386982, 0.015246371738612652, 0.017307674512267113, 0.006645824294537306, 0.020775163546204567, 0.019920218735933304, 0.01737874001264572, 0.016796141862869263, 0.016230827197432518, 0.0178932324051857, 0.01711191236972809]",pca,Pre-32
1,bernoulli,28,0.0155,8308,0.4331840091268009,0.6970192005036198,29,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.00974121131002903, 0.014588742516934872, 0.010089713148772717, 0.008834756910800934, 0.0, 0.014626439660787582, 0.010658170096576214, 0.006888464093208313, 0.010351821780204773, 0.01262130867689848, 0.008391876704990864, 0.008691146038472652, 0.009243862703442574, 0.009701305069029331, 0.008069800212979317, 0.003987653646618128, 0.012620501220226288, 0.011271633207798004, 0.008493020199239254, 0.011776894330978394, 0.008495651185512543, 0.009571257047355175, 0.012284532189369202, 0.009081963449716568, 0.007995757274329662, 0.006186115089803934, 0.007873456925153732, 0.0052862875163555145, 0.012124186381697655, 0.00894571840763092]",pca,Pre-32
1,bernoulli,1,0.0155,8330,0.4434037375416927,0.5878547667917049,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.01397624146193266, 0.02104363590478897, 0.020000677555799484, 0.014885003678500652, 0.017214369028806686, 0.012794057838618755, 0.015424681827425957, 0.012737147510051727, 0.020737620070576668, 0.01511515025049448, 0.013060441240668297, 0.015226143412292004, 0.01654866151511669, 0.013101066462695599, 0.020845778286457062, 0.010587000288069248, 0.020220478996634483, 0.015612863935530186, 0.017739098519086838, 0.015651214867830276, 0.018739566206932068, 0.012812024913728237, 0.01992552913725376, 0.016643431037664413, 0.016608238220214844, 0.012315528467297554, 0.019748101010918617, 0.017597438767552376, 0.015431947074830532, 0.01445307768881321]",pca,Pre-32
1,bernoulli,9,0.0155,8339,0.4215247324942298,0.6745439189189189,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.01174198742955923, 0.01069700438529253, 0.018123609945178032, 0.01473003625869751, 0.012217552401125431, 0.01253536343574524, 0.01670556701719761, 0.01532705593854189, 0.010690002702176571, 0.012976439669728279, 0.008049605414271355, 0.016349580138921738, 0.019466474652290344, 0.018969664350152016, 0.016529150307178497, 0.011469701305031776, 0.016065675765275955, 0.017135920003056526, 0.008612822741270065, 0.018636800348758698, 0.01496095024049282, 0.018856370821595192, 0.01909000054001808, 0.016577035188674927, 0.01836913451552391, 0.010626299306750298, 0.014497829601168633, 0.016980702057480812, 0.011103818193078041, 0.019538752734661102]",pca,Pre-32
1,bernoulli,22,0.0155,8314,0.433873232559565,0.6207110739025344,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.016523385420441628, 0.016459152102470398, 0.01457140315324068, 0.013918252661824226, 0.014256310649216175, 0.011647039093077183, 0.013583414256572723, 0.01600519008934498, 0.0070825861766934395, 0.008514964021742344, 0.014888993464410305, 0.017088504508137703, 0.01437018346041441, 0.015809452161192894, 0.015993310138583183, 0.009603466838598251, 0.01718704216182232, 0.009721986018121243, 0.01599832810461521, 0.008016795851290226, 0.01242655050009489, 0.016497377306222916, 0.015488626435399055, 0.004545425530523062, 0.01460948958992958, 0.015442048199474812, 0.01587933488190174, 0.01451178453862667, 0.006557326298207045, 0.0066833896562457085]",pca,Pre-32
1,bernoulli,21,0.0155,8327,0.4159733567233881,0.6199677938808373,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.011964015662670135, 0.011424255557358265, 0.011053644120693207, 0.012588566169142723, 0.011048848740756512, 0.013254650868475437, 0.009030574932694435, 0.013713888823986053, 0.004443146288394928, 0.009709283709526062, 0.0072993203066289425, 0.011657529510557652, 0.003949333913624287, 0.01120692491531372, 0.01102114375680685, 0.012562177143990993, 0.007683140225708485, 0.010578310117125511, 0.01241514552384615, 0.00601611053571105, 0.009922568686306477, 0.011340657249093056, 0.01171029917895794, 0.009925414808094501, 0.010586428456008434, 0.011162537150084972, 0.010981811210513115, 0.011114043183624744, 0.01109070423990488, 0.01117078959941864]",pca,Pre-32
1,bernoulli,19,0.0155,8325,0.4052347739287384,0.6543645473149389,28,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[0.0, 0.00605762517079711, 0.005670751444995403, 0.008009149692952633, 0.006485862657427788, 0.0047817593440413475, 0.0015780729008838534, 0.005287861451506615, 0.0059357695281505585, 0.006951646413654089, 0.006212193053215742, 0.0035885439720004797, 0.007018355652689934, 0.00571140693500638, 0.005267546512186527, 0.007429615128785372, 0.006924169138073921, 0.007665878161787987, 0.0062218415550887585, 0.006337315309792757, 0.005250154994428158, 0.0023290258832275867, 0.0063261063769459724, 0.006096697878092527, 0.006047158967703581, 0.007118701469153166, 0.005429311655461788, 0.00230215466581285, 0.0031984823290258646, 0.0001376227883156389]",pca,Pre-32
1,bernoulli,3,0.0155,8318,0.4330785456979932,0.6498742640304778,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.017025278881192207, 0.014694835059344769, 0.017547763884067535, 0.009573324583470821, 0.01965007185935974, 0.017775973305106163, 0.018855715170502663, 0.01712794601917267, 0.022317757830023766, 0.01949448697268963, 0.01654002256691456, 0.015592440962791443, 0.01925848238170147, 0.018343709409236908, 0.017702866345643997, 0.016980847343802452, 0.018894650042057037, 0.016252990812063217, 0.014831364154815674, 0.01764131523668766, 0.008123782463371754, 0.018650444224476814, 0.011758455075323582, 0.01918656751513481, 0.014495939947664738, 0.019662249833345413, 0.019151629880070686, 0.003694947110489011, 0.01694154366850853, 0.018749454990029335]",pca,Pre-32
1,bernoulli,13,0.0155,8319,0.4221717356033516,0.7168013458727489,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.01617061346769333, 0.010656713508069515, 0.01148386299610138, 0.011631563305854797, 0.01826963946223259, 0.01641443558037281, 0.015240298584103584, 0.014657394960522652, 0.014130624011158943, 0.014303267933428288, 0.01396919135004282, 0.013007891364395618, 0.010022757574915886, 0.01754768379032612, 0.01642756164073944, 0.012252812273800373, 0.01470550149679184, 0.014337589032948017, 0.016667233780026436, 0.0011456198990345001, 0.016975820064544678, 0.011708945035934448, 0.016646988689899445, 0.010200622491538525, 0.012968352995812893, 0.011822017841041088, 0.008338931947946548, 0.01463839691132307, 0.017584355548024178, 0.014700720086693764]",pca,Pre-32
1,bernoulli,5,0.0155,8322,0.4289965883599521,0.5619051821778974,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.013435235247015953, 0.01470325980335474, 0.014592916704714298, 0.013100248761475086, 0.016396813094615936, 0.01582183688879013, 0.018538635224103928, 0.01305627916008234, 0.018192600458860397, 0.014191044494509697, 0.01598205603659153, 0.018851179629564285, 0.012755900621414185, 0.010863970033824444, 0.012888413853943348, 0.018484897911548615, 0.017196591943502426, 0.009962642565369606, 0.014442292973399162, 0.0147422906011343, 0.017163855955004692, 0.016601696610450745, 0.015629587695002556, 0.01631779782474041, 0.012733237817883492, 0.016140835359692574, 0.016659876331686974, 0.017721034586429596, 0.013244674541056156, 0.01564500480890274]",pca,Pre-32
