n_samples,model_type,seed,lambda_tau,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,25,0.026,0.42932561026734,0.7416575392479007,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.451650381088257, 2.074985980987549, 2.4458165168762207, 2.316347122192383, 2.2787044048309326, 2.4096591472625732, 2.4976508617401123, 2.393129587173462, 2.451970338821411, 2.0177114009857178, 2.507263422012329, 2.0554959774017334, 2.020216226577759, 2.294414520263672, 2.4795472621917725, 2.474155902862549, 2.427316427230835, 2.451878547668457, 2.2688748836517334, 2.3711085319519043, 2.2796807289123535, 2.0405261516571045, 2.1280720233917236, 2.4652390480041504, 2.293079376220703, 2.467386245727539, 2.3656182289123535, 2.078547477722168, 2.4451518058776855, 2.4246063232421875]",pca,Pre-32
1,beta,21,0.015,0.4418854601861606,0.6993517779134765,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.3059515953063965, 2.5849225521087646, 2.618208885192871, 2.3046813011169434, 2.6526777744293213, 2.326964855194092, 2.308149814605713, 2.6537017822265625, 2.7816665172576904, 2.722078800201416, 2.6109750270843506, 2.7053592205047607, 2.60992693901062, 2.374674081802368, 2.7803831100463867, 2.7012810707092285, 2.5739002227783203, 2.535243272781372, 2.6175835132598877, 2.7146005630493164, 2.6218621730804443, 2.560476064682007, 2.7492241859436035, 2.741100549697876, 2.7199437618255615, 2.628506898880005, 2.722776412963867, 2.7127883434295654, 2.6375858783721924, 2.3687491416931152]",pca,Pre-32
1,beta,24,0.008,0.4504582098800541,0.6716419771559679,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.015131711959839, 3.0544443130493164, 3.021514654159546, 3.0164730548858643, 3.040266513824463, 2.637354850769043, 2.567164182662964, 2.6584219932556152, 2.5910232067108154, 3.0660078525543213, 2.899700403213501, 2.9555795192718506, 2.9552459716796875, 3.0036139488220215, 3.078139066696167, 2.6177773475646973, 3.067739248275757, 2.9380645751953125, 2.989441156387329, 2.993696451187134, 2.9524271488189697, 2.618408441543579, 3.0248992443084717, 2.6038997173309326, 2.8272664546966553, 2.972726583480835, 2.984640121459961, 2.9423084259033203, 3.0956506729125977, 2.8757517337799072]",pca,Pre-32
1,beta,12,0.024,0.4649574877932984,0.697200545026632,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.2303686141967773, 2.3010222911834717, 2.4184982776641846, 2.281242609024048, 2.2635271549224854, 2.185983896255493, 2.574676990509033, 2.2901363372802734, 2.523469924926758, 2.39544677734375, 2.4446005821228027, 2.3898167610168457, 2.4182515144348145, 2.486888885498047, 2.57041597366333, 2.4617576599121094, 2.5095815658569336, 2.4515488147735596, 2.206062078475952, 2.4937241077423096, 2.5048933029174805, 2.400892972946167, 2.1601619720458984, 2.4206149578094482, 2.2685317993164062, 2.3673510551452637, 2.4101762771606445, 2.380444049835205, 2.176835536956787, 2.4544692039489746]",pca,Pre-32
1,beta,44,0.038,0.4504405448093986,0.6913365004329409,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.6927785873413086, 1.6897495985031128, 1.7727733850479126, 1.6641592979431152, 1.7517274618148804, 1.7981823682785034, 1.7069193124771118, 1.8145886659622192, 1.7744944095611572, 1.7705696821212769, 1.8198118209838867, 1.8090108633041382, 1.6763325929641724, 1.7300336360931396, 1.7247464656829834, 1.7183125019073486, 1.7312142848968506, 1.7599928379058838, 1.8084585666656494, 1.783780813217163, 1.7041316032409668, 1.8067011833190918, 1.6515249013900757, 1.8113681077957153, 1.7430764436721802, 1.7875748872756958, 1.7342054843902588, 1.65540611743927, 1.7449184656143188, 1.680219292640686]",pca,Pre-32
1,beta,14,0.014,0.4618595083010594,0.6585993133651176,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.547807455062866, 2.6556589603424072, 2.379159688949585, 2.5434610843658447, 2.5385332107543945, 2.3279385566711426, 2.527498722076416, 2.5406758785247803, 2.5471038818359375, 2.542412281036377, 2.628180742263794, 2.635061502456665, 2.556156635284424, 2.5565226078033447, 2.356473684310913, 2.413097381591797, 2.5539979934692383, 2.4908080101013184, 2.56148362159729, 2.354926824569702, 2.590686798095703, 2.6263463497161865, 2.452399492263794, 2.386599063873291, 2.5150036811828613, 2.4581806659698486, 2.4356706142425537, 2.415408134460449, 2.41625714302063, 2.3308522701263428]",pca,Pre-32
1,beta,4,0.0155,0.4748884408850563,0.6905357752246616,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.512758731842041, 2.4475831985473633, 2.630413770675659, 2.3737070560455322, 2.5200610160827637, 2.6350677013397217, 2.6353065967559814, 2.5380406379699707, 2.394268274307251, 2.2835593223571777, 2.3710334300994873, 2.4262747764587402, 2.2972569465637207, 2.5502071380615234, 2.3516221046447754, 2.5369157791137695, 2.5014519691467285, 2.4779164791107178, 2.5498206615448, 2.6612889766693115, 2.5052669048309326, 2.3729777336120605, 2.6044602394104004, 2.547457218170166, 2.438328742980957, 2.4088733196258545, 2.578639030456543, 2.3543529510498047, 2.6040689945220947, 2.2412450313568115]",pca,Pre-32
1,beta,30,0.028,0.4575212899971199,0.7290661196911197,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5267093181610107, 2.151238441467285, 2.53998064994812, 2.3966596126556396, 2.6345741748809814, 2.4945387840270996, 2.3175084590911865, 2.5555028915405273, 2.6015422344207764, 2.390676975250244, 2.112467050552368, 2.4913458824157715, 2.3309409618377686, 2.607254981994629, 2.213092803955078, 2.6171367168426514, 2.222029685974121, 2.4139275550842285, 2.2123377323150635, 2.4168832302093506, 2.619615316390991, 2.098978042602539, 2.127530097961426, 2.2969436645507812, 2.224865436553955, 2.58560848236084, 2.456191301345825, 2.5808300971984863, 2.1287660598754883, 2.5492842197418213]",pca,Pre-32
1,beta,34,0.022,0.4932300183598685,0.6167407144126533,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5254552364349365, 2.5460751056671143, 2.8053009510040283, 2.5582003593444824, 2.7488601207733154, 2.762744665145874, 2.803253650665283, 2.636280059814453, 2.815624952316284, 2.7326667308807373, 2.583467483520508, 2.814021587371826, 2.7486517429351807, 2.710115909576416, 2.7442586421966553, 2.6251280307769775, 2.6054129600524902, 2.7762508392333984, 2.6480417251586914, 2.699800968170166, 2.7768383026123047, 2.4209094047546387, 2.4368138313293457, 2.751494884490967, 2.7855260372161865, 2.73246693611145, 2.647010564804077, 2.708479404449463, 2.4100849628448486, 2.5074381828308105]",pca,Pre-32
1,beta,38,0.0159,0.4558723134065482,0.730087358684481,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.4642693996429443, 2.685002565383911, 2.6235594749450684, 2.481327772140503, 2.708061695098877, 2.7696950435638428, 2.584909677505493, 2.687638998031616, 2.7302985191345215, 2.6834099292755127, 2.637021064758301, 2.7039096355438232, 2.485185384750366, 2.7815463542938232, 2.749396800994873, 2.727616786956787, 2.783951759338379, 2.5070853233337402, 2.6005916595458984, 2.5490636825561523, 2.641065835952759, 2.7639129161834717, 2.621225118637085, 2.5239758491516113, 2.7204387187957764, 2.6071176528930664, 2.5739660263061523, 2.483863353729248, 2.7009358406066895, 2.6533937454223633]",pca,Pre-32
1,beta,22,0.04,0.4626025015424438,0.6575603786488141,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.698427438735962, 1.7124072313308716, 1.8450456857681274, 1.7596728801727295, 1.6239240169525146, 1.7453075647354126, 1.7408064603805542, 1.647788643836975, 1.7607803344726562, 1.7659235000610352, 1.8559833765029907, 1.7335643768310547, 1.6119760274887085, 1.7647807598114014, 1.8066818714141846, 1.7698160409927368, 1.8262749910354614, 1.7553097009658813, 1.7654285430908203, 1.6606703996658325, 1.7996323108673096, 1.7991389036178589, 1.781370759010315, 1.7133463621139526, 1.7120041847229004, 1.7468624114990234, 1.6034109592437744, 1.7918336391448975, 1.7358379364013672, 1.7594516277313232]",pca,Pre-32
1,beta,25,0.008,0.4312148950635169,0.7425094316660581,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.922924518585205, 2.575103998184204, 2.9207749366760254, 2.8118317127227783, 2.7693257331848145, 2.8931820392608643, 2.9792568683624268, 2.8820013999938965, 2.929128885269165, 2.522170066833496, 2.9858474731445312, 2.561339855194092, 2.5208804607391357, 2.787315607070923, 2.965494394302368, 2.959714412689209, 2.9134092330932617, 2.9284019470214844, 2.7663497924804688, 2.852949857711792, 2.7665278911590576, 2.541846990585327, 2.623234748840332, 2.9433441162109375, 2.7833261489868164, 2.9491164684295654, 2.8479087352752686, 2.5858240127563477, 2.9221198558807373, 2.908324956893921]",pca,Pre-32
1,beta,20,0.032,0.4746875306130073,0.6305210600435284,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.37750244140625, 2.068390369415283, 2.0448925495147705, 2.094979763031006, 2.0610134601593018, 2.186998128890991, 2.252500534057617, 2.064685106277466, 2.3116371631622314, 2.2816967964172363, 2.388094663619995, 2.294217824935913, 2.3516080379486084, 2.1281495094299316, 2.0043857097625732, 2.325725793838501, 2.0676753520965576, 2.272883653640747, 2.2461414337158203, 2.0615100860595703, 2.349306106567383, 2.2891416549682617, 2.164360523223877, 2.128257989883423, 2.3254499435424805, 2.2285428047180176, 2.307494640350342, 2.1985433101654053, 2.111842393875122, 2.107135057449341]",pca,Pre-32
1,beta,45,0.038,0.4434663416681706,0.6802098513552899,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.9091962575912476, 1.896925449371338, 1.786336064338684, 1.8192614316940308, 1.899060845375061, 1.9172452688217163, 1.9276949167251587, 1.8551558256149292, 1.8906223773956299, 2.004040241241455, 1.9515897035598755, 1.9871572256088257, 1.9730806350708008, 1.8450536727905273, 1.9445849657058716, 1.943843960762024, 1.853560447692871, 1.9664907455444336, 1.9461616277694702, 1.8126301765441895, 1.9266108274459839, 1.923550009727478, 1.9280080795288086, 1.9216060638427734, 1.8607481718063354, 1.8484137058258057, 1.9589836597442627, 1.8862817287445068, 1.8884278535842896, 2.0052108764648438]",pca,Pre-32
1,beta,15,0.014,0.4320409997871209,0.6538011695906432,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.4430480003356934, 2.724459648132324, 2.4181017875671387, 2.649656295776367, 2.671785593032837, 2.6917786598205566, 2.450988292694092, 2.6901443004608154, 2.743483543395996, 2.6554598808288574, 2.743614912033081, 2.6952438354492188, 2.668691635131836, 2.6662278175354004, 2.673137664794922, 2.6911802291870117, 2.6488239765167236, 2.4850101470947266, 2.6061525344848633, 2.654041290283203, 2.3629355430603027, 2.715343475341797, 2.6695375442504883, 2.653362989425659, 2.477717638015747, 2.710404396057129, 2.750199794769287, 2.6006784439086914, 2.586883306503296, 2.6610352993011475]",pca,Pre-32
1,beta,13,0.024,0.4480312906762665,0.7483108108108107,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5300915241241455, 2.094672441482544, 2.382747173309326, 2.0967156887054443, 2.451789140701294, 2.477780342102051, 2.5258889198303223, 2.5097761154174805, 2.331216335296631, 2.4837872982025146, 2.5094337463378906, 2.4798736572265625, 2.094515562057495, 2.141355037689209, 2.3993947505950928, 2.5178980827331543, 2.052368402481079, 2.4333460330963135, 2.4679784774780273, 2.1620426177978516, 2.5250437259674072, 2.432889938354492, 2.534137487411499, 2.1301655769348145, 2.480853319168091, 2.5196540355682373, 2.1879961490631104, 2.5451552867889404, 2.5846822261810303, 2.47015643119812]",pca,Pre-32
1,beta,5,0.0155,0.4901025450460407,0.6379066985645934,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.389601707458496, 2.444882392883301, 2.73347544670105, 2.4037773609161377, 2.3959615230560303, 2.8924787044525146, 2.839059829711914, 2.3998191356658936, 2.8039402961730957, 2.860823392868042, 2.7246739864349365, 2.7746245861053467, 2.8272411823272705, 2.8237357139587402, 2.7836198806762695, 2.8970258235931396, 2.719189405441284, 2.8073019981384277, 2.747007369995117, 2.7077112197875977, 2.8653974533081055, 2.779818296432495, 2.702803373336792, 2.8434066772460938, 2.7381622791290283, 2.745692253112793, 2.768087387084961, 2.422823190689087, 2.666675329208374, 2.7426934242248535]",pca,Pre-32
