n_samples,model_type,seed,lambda_tau,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type
32,bernoulli,28,1.0,0.4052710843305177,0.5184387787220649,0,[],[],rasch_2pl
32,bernoulli,6,1.0,0.3792744843054835,0.5182484872402,0,[],[],rasch_2pl
32,bernoulli,11,1.0,0.3547393735687945,0.5218285445678359,0,[],[],rasch_2pl
32,bernoulli,3,1.0,0.3551999217889781,0.5291150295893629,0,[],[],rasch_2pl
32,bernoulli,47,1.0,0.3183702572325904,0.5411398421903222,0,[],[],rasch_2pl
32,bernoulli,9,1.0,0.3531693717625814,0.5849408783783785,0,[],[],rasch_2pl
32,bernoulli,14,1.0,0.3501270872378689,0.5414682323794539,0,[],[],rasch_2pl
32,bernoulli,10,1.0,0.3707297899405862,0.54366458704694,0,[],[],rasch_2pl
32,bernoulli,32,1.0,0.3429896658947706,0.5230712440014766,0,[],[],rasch_2pl
32,bernoulli,15,1.0,0.3602298851618599,0.5140872716291711,0,[],[],rasch_2pl
32,bernoulli,26,1.0,0.3747514854946303,0.5163213027458785,0,[],[],rasch_2pl
32,bernoulli,19,1.0,0.3536043213913053,0.5590025403994073,0,[],[],rasch_2pl
32,bernoulli,18,1.0,0.3480059761309774,0.5953439239426319,0,[],[],rasch_2pl
32,bernoulli,12,1.0,0.3452675440596354,0.519308426073132,0,[],[],rasch_2pl
32,bernoulli,38,1.0,0.3715403830488368,0.5273750197307596,0,[],[],rasch_2pl
32,bernoulli,43,1.0,0.3866161634222843,0.5109391001343281,0,[],[],rasch_2pl
32,bernoulli,8,1.0,0.3689870363454898,0.5347960564469361,0,[],[],rasch_2pl
32,bernoulli,30,1.0,0.3564475490552157,0.543853219974592,0,[],[],rasch_2pl
32,bernoulli,35,1.0,0.3676833396428551,0.5592461928746293,0,[],[],rasch_2pl
32,bernoulli,2,1.0,0.337816108910183,0.5073811106889564,0,[],[],rasch_2pl
32,bernoulli,36,1.0,0.3692690106316882,0.5265206758886876,0,[],[],rasch_2pl
32,bernoulli,27,1.0,0.3568683778646133,0.5016185554763601,0,[],[],rasch_2pl
32,bernoulli,23,1.0,0.3871590006071131,0.5402578221342741,0,[],[],rasch_2pl
32,bernoulli,39,1.0,0.3799846287178319,0.5397938329397794,0,[],[],rasch_2pl
32,bernoulli,31,1.0,0.3273554815771201,0.5323110822135529,0,[],[],rasch_2pl
32,bernoulli,34,1.0,0.3391547068897594,0.5208273044514428,0,[],[],rasch_2pl
32,bernoulli,7,1.0,0.3480033427713699,0.5369285531860555,0,[],[],rasch_2pl
32,bernoulli,46,1.0,0.3488985539470334,0.5218785675659436,0,[],[],rasch_2pl
32,bernoulli,22,1.0,0.3892126873559498,0.5339757000321854,0,[],[],rasch_2pl
32,bernoulli,42,1.0,0.3616696985655299,0.5351663885799036,0,[],[],rasch_2pl
32,bernoulli,40,1.0,0.3492412227081987,0.52562395572264,0,[],[],rasch_2pl
32,bernoulli,21,1.0,0.3503321948712746,0.5156942520775623,0,[],[],rasch_2pl
32,bernoulli,0,1.0,0.3736362295597716,0.5091269032577368,0,[],[],rasch_2pl
32,bernoulli,45,1.0,0.3777263794361457,0.5418734571911135,0,[],[],rasch_2pl
32,bernoulli,48,1.0,0.3390481668949851,0.5836677701540567,0,[],[],rasch_2pl
32,bernoulli,24,1.0,0.4015217504346215,0.5177725968436155,0,[],[],rasch_2pl
32,bernoulli,44,1.0,0.3226385790625022,0.5449824824824825,0,[],[],rasch_2pl
32,bernoulli,20,1.0,0.3524477198398079,0.5280635062611807,0,[],[],rasch_2pl
32,bernoulli,4,1.0,0.3600434016847489,0.5460615398982116,0,[],[],rasch_2pl
32,bernoulli,16,1.0,0.3754630210525123,0.5268805994008772,0,[],[],rasch_2pl
32,bernoulli,41,1.0,0.3236765982108075,0.5727081819719937,0,[],[],rasch_2pl
32,bernoulli,17,1.0,0.3582195074397378,0.530366692131398,0,[],[],rasch_2pl
32,bernoulli,29,1.0,0.3744897152083067,0.5489001918529425,0,[],[],rasch_2pl
32,bernoulli,37,1.0,0.3740891879384077,0.5623551830918816,0,[],[],rasch_2pl
32,bernoulli,5,1.0,0.3660382486718265,0.5553373637527028,0,[],[],rasch_2pl
32,bernoulli,49,1.0,0.3470183316934693,0.5180757575757576,0,[],[],rasch_2pl
32,bernoulli,33,1.0,0.379576238177861,0.5329539419861353,0,[],[],rasch_2pl
32,bernoulli,1,1.0,0.3830089454303425,0.5264774577110907,0,[],[],rasch_2pl
32,bernoulli,25,1.0,0.3898814754541508,0.5222122332101355,0,[],[],rasch_2pl
32,bernoulli,13,1.0,0.3731978545316844,0.4906505970931354,0,[],[],rasch_2pl
