seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,support_metric,support_bin,support_bin_order,support_bin_label,num_pairs,pair_fraction,mean_coverage_count,mean_coverage_rate,fallback_rate,auc_knn,rmse_knn,auc_araf,rmse_araf,overall_auc_knn,overall_rmse_knn,overall_auc_araf,overall_rmse_araf
42,0.064,1,beta,4,0.1,pca,raw,coverage_rate,zero,0,0%,0,0.0,,,,,,,,0.9047619047619048,0.3500503444226405,0.7142857142857142,0.4069845637749669
42,0.064,1,beta,4,0.1,pca,raw,coverage_rate,very_low,1,"(0,20%]",0,0.0,,,,,,,,0.9047619047619048,0.3500503444226405,0.7142857142857142,0.4069845637749669
42,0.064,1,beta,4,0.1,pca,raw,coverage_rate,low_mid,2,"(20,40%]",0,0.0,,,,,,,,0.9047619047619048,0.3500503444226405,0.7142857142857142,0.4069845637749669
42,0.064,1,beta,4,0.1,pca,raw,coverage_rate,mid,3,"(40,70%]",0,0.0,,,,,,,,0.9047619047619048,0.3500503444226405,0.7142857142857142,0.4069845637749669
42,0.064,1,beta,4,0.1,pca,raw,coverage_rate,dense,4,"(70,100%]",10,1.0,10.0,1.0,0.0,0.7142857142857143,0.3881945338596945,0.7142857142857142,0.4092715940843002,0.9047619047619048,0.3500503444226405,0.7142857142857142,0.4069845637749669
42,1000.0,1,beta,4,0.1,sae,raw,coverage_rate,zero,0,0%,0,0.0,,,,,,,,0.9047619047619048,0.3500503444226405,0.8095238095238095,0.3551642192881263
42,1000.0,1,beta,4,0.1,sae,raw,coverage_rate,very_low,1,"(0,20%]",0,0.0,,,,,,,,0.9047619047619048,0.3500503444226405,0.8095238095238095,0.3551642192881263
42,1000.0,1,beta,4,0.1,sae,raw,coverage_rate,low_mid,2,"(20,40%]",0,0.0,,,,,,,,0.9047619047619048,0.3500503444226405,0.8095238095238095,0.3551642192881263
42,1000.0,1,beta,4,0.1,sae,raw,coverage_rate,mid,3,"(40,70%]",0,0.0,,,,,,,,0.9047619047619048,0.3500503444226405,0.8095238095238095,0.3551642192881263
42,1000.0,1,beta,4,0.1,sae,raw,coverage_rate,dense,4,"(70,100%]",10,1.0,10.0,1.0,0.0,0.7619047619047619,0.3798433886470982,0.8095238095238095,0.3552040120343926,0.9047619047619048,0.3500503444226405,0.8095238095238095,0.3551642192881263
42,0.034,1,beta,8,0.3,sae,raw,coverage_rate,zero,0,0%,0,0.0,,,,,,,,0.703125,0.4318450167636192,0.5114583333333333,0.5409993744210171
42,0.034,1,beta,8,0.3,sae,raw,coverage_rate,very_low,1,"(0,20%]",0,0.0,,,,,,,,0.703125,0.4318450167636192,0.5114583333333333,0.5409993744210171
42,0.034,1,beta,8,0.3,sae,raw,coverage_rate,low_mid,2,"(20,40%]",0,0.0,,,,,,,,0.703125,0.4318450167636192,0.5114583333333333,0.5409993744210171
42,0.034,1,beta,8,0.3,sae,raw,coverage_rate,mid,3,"(40,70%]",2,0.032258064516129,5.0,0.5,0.0,0.5,0.0,0.5,0.0206362105151197,0.703125,0.4318450167636192,0.5114583333333333,0.5409993744210171
42,0.034,1,beta,8,0.3,sae,raw,coverage_rate,dense,4,"(70,100%]",60,0.967741935483871,10.000000953674316,1.0,0.0,0.5233333333333333,0.4624718973282236,0.4944444444444444,0.5508921356046297,0.703125,0.4318450167636192,0.5114583333333333,0.5409993744210171
42,0.4,1,beta,8,0.3,pca,raw,coverage_rate,zero,0,0%,0,0.0,,,,,,,,0.703125,0.4318450167636192,0.5979166666666667,0.5077474112245124
42,0.4,1,beta,8,0.3,pca,raw,coverage_rate,very_low,1,"(0,20%]",0,0.0,,,,,,,,0.703125,0.4318450167636192,0.5979166666666667,0.5077474112245124
42,0.4,1,beta,8,0.3,pca,raw,coverage_rate,low_mid,2,"(20,40%]",0,0.0,,,,,,,,0.703125,0.4318450167636192,0.5979166666666667,0.5077474112245124
42,0.4,1,beta,8,0.3,pca,raw,coverage_rate,mid,3,"(40,70%]",2,0.032258064516129,6.0,0.6000000238418579,0.0,0.5,0.0,0.5,0.0316996522722197,0.703125,0.4318450167636192,0.5979166666666667,0.5077474112245124
42,0.4,1,beta,8,0.3,pca,raw,coverage_rate,dense,4,"(70,100%]",60,0.967741935483871,10.000000953674316,1.0,0.0,0.5944444444444444,0.4626748109061991,0.571111111111111,0.516109412403457,0.703125,0.4318450167636192,0.5979166666666667,0.5077474112245124
42,0.044,1,beta,16,0.5,sae,raw,coverage_rate,zero,0,0%,0,0.0,,,,,,,,0.7332983193277312,0.389659145275021,0.7555672268907563,0.3850630757755234
42,0.044,1,beta,16,0.5,sae,raw,coverage_rate,very_low,1,"(0,20%]",0,0.0,,,,,,,,0.7332983193277312,0.389659145275021,0.7555672268907563,0.3850630757755234
42,0.044,1,beta,16,0.5,sae,raw,coverage_rate,low_mid,2,"(20,40%]",0,0.0,,,,,,,,0.7332983193277312,0.389659145275021,0.7555672268907563,0.3850630757755234
42,0.044,1,beta,16,0.5,sae,raw,coverage_rate,mid,3,"(40,70%]",4,0.0192307692307692,7.0,0.699999988079071,0.0,0.5,0.0,0.5,0.0677242199282185,0.7332983193277312,0.389659145275021,0.7555672268907563,0.3850630757755234
42,0.044,1,beta,16,0.5,sae,raw,coverage_rate,dense,4,"(70,100%]",204,0.9807692307692308,9.941176414489746,0.9941176772117616,0.0,0.6965289792387541,0.406973451402245,0.7496756055363322,0.3899459467928518,0.7332983193277312,0.389659145275021,0.7555672268907563,0.3850630757755234
42,5.0,1,beta,16,0.5,sae,raw,coverage_rate,zero,0,0%,0,0.0,,,,,,,,0.7332983193277312,0.389659145275021,0.7351890756302522,0.3965830938404373
42,5.0,1,beta,16,0.5,sae,raw,coverage_rate,very_low,1,"(0,20%]",0,0.0,,,,,,,,0.7332983193277312,0.389659145275021,0.7351890756302522,0.3965830938404373
42,5.0,1,beta,16,0.5,sae,raw,coverage_rate,low_mid,2,"(20,40%]",0,0.0,,,,,,,,0.7332983193277312,0.389659145275021,0.7351890756302522,0.3965830938404373
42,5.0,1,beta,16,0.5,sae,raw,coverage_rate,mid,3,"(40,70%]",4,0.0192307692307692,7.0,0.699999988079071,0.0,0.5,0.0,0.5,0.0468934216659998,0.7332983193277312,0.389659145275021,0.7351890756302522,0.3965830938404373
42,5.0,1,beta,16,0.5,sae,raw,coverage_rate,dense,4,"(70,100%]",204,0.9807692307692308,9.941176414489746,0.9941176772117616,0.0,0.6965289792387541,0.406973451402245,0.728265570934256,0.4003984404010485,0.7332983193277312,0.389659145275021,0.7351890756302522,0.3965830938404373
42,0.032,1,beta,32,0.7,sae,raw,coverage_rate,zero,0,0%,0,0.0,,,,,,,,0.6761217453946691,0.4270976653446775,0.6670525882474014,0.4460841737377379
42,0.032,1,beta,32,0.7,sae,raw,coverage_rate,very_low,1,"(0,20%]",0,0.0,,,,,,,,0.6761217453946691,0.4270976653446775,0.6670525882474014,0.4460841737377379
42,0.032,1,beta,32,0.7,sae,raw,coverage_rate,low_mid,2,"(20,40%]",0,0.0,,,,,,,,0.6761217453946691,0.4270976653446775,0.6670525882474014,0.4460841737377379
42,0.032,1,beta,32,0.7,sae,raw,coverage_rate,mid,3,"(40,70%]",0,0.0,,,,,,,,0.6761217453946691,0.4270976653446775,0.6670525882474014,0.4460841737377379
42,0.032,1,beta,32,0.7,sae,raw,coverage_rate,dense,4,"(70,100%]",565,1.0,9.971681594848633,0.9971681833267212,0.0,0.6578547905732222,0.4347244675066771,0.6670525882474014,0.4459722049363592,0.6761217453946691,0.4270976653446775,0.6670525882474014,0.4460841737377379
42,30.0,1,beta,32,0.7,sae,raw,coverage_rate,zero,0,0%,0,0.0,,,,,,,,0.6761217453946691,0.4270976653446775,0.6636436142842442,0.4298886781853002
42,30.0,1,beta,32,0.7,sae,raw,coverage_rate,very_low,1,"(0,20%]",0,0.0,,,,,,,,0.6761217453946691,0.4270976653446775,0.6636436142842442,0.4298886781853002
42,30.0,1,beta,32,0.7,sae,raw,coverage_rate,low_mid,2,"(20,40%]",0,0.0,,,,,,,,0.6761217453946691,0.4270976653446775,0.6636436142842442,0.4298886781853002
42,30.0,1,beta,32,0.7,sae,raw,coverage_rate,mid,3,"(40,70%]",0,0.0,,,,,,,,0.6761217453946691,0.4270976653446775,0.6636436142842442,0.4298886781853002
42,30.0,1,beta,32,0.7,sae,raw,coverage_rate,dense,4,"(70,100%]",565,1.0,9.971681594848633,0.9971681833267212,0.0,0.6578547905732222,0.4347244675066771,0.6636436142842442,0.4371297495766392,0.6761217453946691,0.4270976653446775,0.6636436142842442,0.4298886781853002
42,0.0159,1,beta,max,1.0,pca,raw,coverage_rate,zero,0,0%,0,0.0,,,,,,,,0.736994663354972,0.4087023078439813,0.7415957150052556,0.4319693577945729
42,0.0159,1,beta,max,1.0,pca,raw,coverage_rate,very_low,1,"(0,20%]",80,0.0312256049960968,2.0,0.2000000029802322,0.0,0.5,0.077924465061817,0.5,0.0131775872137291,0.736994663354972,0.4087023078439813,0.7415957150052556,0.4319693577945729
42,0.0159,1,beta,max,1.0,pca,raw,coverage_rate,low_mid,2,"(20,40%]",0,0.0,,,,,,,,0.736994663354972,0.4087023078439813,0.7415957150052556,0.4319693577945729
42,0.0159,1,beta,max,1.0,pca,raw,coverage_rate,mid,3,"(40,70%]",0,0.0,,,,,,,,0.736994663354972,0.4087023078439813,0.7415957150052556,0.4319693577945729
42,0.0159,1,beta,max,1.0,pca,raw,coverage_rate,dense,4,"(70,100%]",2482,0.9687743950039032,9.99113655090332,0.9991136193275452,0.0,0.717165801609412,0.4178540259519825,0.72811082081114,0.4391155048020291,0.736994663354972,0.4087023078439813,0.7415957150052556,0.4319693577945729
42,30.0,1,beta,max,1.0,sae,raw,coverage_rate,zero,0,0%,0,0.0,,,,,,,,0.736994663354972,0.4087023078439813,0.7199865162990116,0.41897102757208515
42,30.0,1,beta,max,1.0,sae,raw,coverage_rate,very_low,1,"(0,20%]",80,0.0312256049960968,2.0,0.20000000298023224,0.0,0.5,0.07983305111027515,0.5,0.06252795950040126,0.736994663354972,0.4087023078439813,0.7199865162990116,0.41897102757208515
42,30.0,1,beta,max,1.0,sae,raw,coverage_rate,low_mid,2,"(20,40%]",0,0.0,,,,,,,,0.736994663354972,0.4087023078439813,0.7199865162990116,0.41897102757208515
42,30.0,1,beta,max,1.0,sae,raw,coverage_rate,mid,3,"(40,70%]",0,0.0,,,,,,,,0.736994663354972,0.4087023078439813,0.7199865162990116,0.41897102757208515
42,30.0,1,beta,max,1.0,sae,raw,coverage_rate,dense,4,"(70,100%]",2482,0.9687743950039032,10.0,1.0,0.0,0.6977578623290764,0.43454020535192284,0.706538348122135,0.4355942738833165,0.736994663354972,0.4087023078439813,0.7199865162990116,0.41897102757208515
