seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive,knn_selection_version
1,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.3112040469897227,2.0
2,beta,54,none,0.1,1.0,pca,none,,54,30.0,20,0.5,0.2485985815512592,2.0
5,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.5,0.3167978618338345,2.0
0,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.5,0.3409424811505464,2.0
3,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.3127335152767885,2.0
6,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.3381741607522495,2.0
7,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.5,0.3075460563648385,2.0
4,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.5,0.3079943328017116,2.0
11,beta,54,none,0.1,1.0,pca,none,,54,29.0,10,0.5,0.3436513997764446,2.0
10,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.5,0.2954501542685379,2.0
8,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.302249668081715,2.0
9,beta,54,none,0.1,1.0,pca,none,,54,30.0,20,0.5,0.278734815359289,2.0
13,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.2350095265821409,2.0
24,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.3203502609511161,2.0
14,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.2611576299636605,2.0
45,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.5,0.3158264971088022,2.0
26,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.2509436975476268,2.0
36,beta,54,none,0.1,1.0,pca,none,,54,29.0,10,0.5,0.3269013681771991,2.0
44,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.2898988995176878,2.0
17,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.5,0.2700682970266592,2.0
33,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.3178416764436706,2.0
30,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.5,0.2581905713975626,2.0
18,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.3749139210134884,2.0
15,beta,54,none,0.1,1.0,pca,none,,54,31.0,10,0.5,0.2312393720865212,2.0
32,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.3224263917289098,2.0
16,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.2768826076116848,2.0
12,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.5,0.3021452801865555,2.0
22,beta,54,none,0.1,1.0,pca,none,,54,29.0,10,0.5,0.3131308030258896,2.0
43,beta,54,none,0.1,1.0,pca,none,,54,31.0,50,0.5,0.2674175114544507,2.0
23,beta,54,none,0.1,1.0,pca,none,,54,30.0,50,0.5,0.2645866772422842,2.0
42,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.5,0.3066317927552469,2.0
49,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.2904356098404961,2.0
29,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.3308782191579314,2.0
48,beta,54,none,0.1,1.0,pca,none,,54,29.0,10,0.5,0.2841818373556191,2.0
28,beta,54,none,0.1,1.0,pca,none,,54,29.0,10,0.5,0.3290604698719896,2.0
35,beta,54,none,0.1,1.0,pca,none,,54,30.0,20,0.5,0.224090948134421,2.0
46,beta,54,none,0.1,1.0,pca,none,,54,29.0,5,0.5,0.287742759485068,2.0
19,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.5,0.2743465299759864,2.0
37,beta,54,none,0.1,1.0,pca,none,,54,30.0,20,0.5,0.2811707543946724,2.0
38,beta,54,none,0.1,1.0,pca,none,,54,30.0,10,0.5,0.2831043334180233,2.0
47,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.3241197595801598,2.0
21,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.2533012518259584,2.0
34,beta,54,none,0.1,1.0,pca,none,,54,30.0,5,0.5,0.230570576689446,2.0
20,beta,54,none,0.1,1.0,pca,none,,54,30.0,5,0.5,0.3041168395255604,2.0
41,beta,54,none,0.1,1.0,pca,none,,54,30.0,10,0.5,0.3174994503789935,2.0
27,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.5,0.3177082799171444,2.0
31,beta,54,none,0.1,1.0,pca,none,,54,29.0,20,0.5,0.3472972259046028,2.0
39,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.321911079273489,2.0
25,beta,54,none,0.1,1.0,pca,none,,54,31.0,10,0.5,0.3266758594245316,2.0
40,beta,54,none,0.1,1.0,pca,none,,54,29.0,50,0.5,0.2968976489010606,2.0
