seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
8,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4135176294517115,0.5820373051699173,0.2989802503139324,0.9110423198528924
2,bernoulli,54,none,0.9,1.0,sae,none,,8,0.4292870129050363,0.5479755409332874,0.2611847596865705,0.9404757050628608
7,bernoulli,54,none,0.9,1.0,sae,none,,9,0.4241495100528702,0.6057272722417174,0.2998076323821229,0.9140635423838268
6,bernoulli,54,none,0.9,1.0,sae,none,,7,0.4312410533363995,0.592916037626292,0.293546107732146,0.9100952200483208
3,bernoulli,54,none,0.9,1.0,sae,none,,13,0.431940345789008,0.6030243337993926,0.3243694070286086,0.8866938472942921
0,bernoulli,54,none,0.9,1.0,sae,none,,5,0.4391711538412521,0.5841708814950614,0.3002856742158997,0.9105417937302608
4,bernoulli,54,none,0.9,1.0,sae,none,,5,0.4332469034045763,0.5612742714512625,0.3005983738002774,0.9143217200678712
5,bernoulli,54,none,0.9,1.0,sae,none,,8,0.4335176727637033,0.5619440523403015,0.306016030758084,0.904042515455559
1,bernoulli,54,none,0.9,1.0,sae,none,,9,0.4481614981436382,0.5391634762833686,0.2935123867438079,0.9196638122423088
8,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4149215172759094,0.5710444879766061,0.3006648172708805,0.9068129803812622
2,bernoulli,54,none,0.9,1.0,sae,none,,9,0.4296722929604409,0.5383653270977214,0.2621066506893745,0.9379901461094122
7,bernoulli,54,none,0.9,1.0,sae,none,,10,0.4251967101102611,0.6070892552890341,0.2982188977014599,0.9164465152024592
6,bernoulli,54,none,0.9,1.0,sae,none,,8,0.4325600579904832,0.5868801532923005,0.2954231196309846,0.9117880209073538
3,bernoulli,54,none,0.9,1.0,sae,none,,14,0.4341994170846984,0.6036476592579328,0.3247016045826785,0.8875908080059303
0,bernoulli,54,none,0.9,1.0,sae,none,,6,0.4397892831851926,0.5846497900170327,0.2991068543654395,0.9126155803069096
4,bernoulli,54,none,0.9,1.0,sae,none,,6,0.433540444061496,0.5815099354922364,0.3033316350372337,0.9120490209435108
11,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4254592237691416,0.595591429699842,0.2940667494042187,0.9233266753795444
5,bernoulli,54,none,0.9,1.0,sae,none,,9,0.434898835207997,0.5667697340413613,0.3049529704199917,0.9037289703050572
1,bernoulli,54,none,0.9,1.0,sae,none,,10,0.4476173217517569,0.5514129833821888,0.296454596249064,0.9120488423723438
2,bernoulli,54,none,0.9,1.0,sae,none,,10,0.4309464478203493,0.5633017323158168,0.2616509591741638,0.941264016309888
8,bernoulli,54,none,0.9,1.0,sae,none,,4,0.4162342947497252,0.5782301337194446,0.3025279171727281,0.9112857350742812
7,bernoulli,54,none,0.9,1.0,sae,none,,11,0.4236289932128056,0.5978304411222741,0.2966624553163627,0.9153284126145452
6,bernoulli,54,none,0.9,1.0,sae,none,,9,0.4388641819089163,0.5890488909534316,0.3032426934985561,0.906153773272064
3,bernoulli,54,none,0.9,1.0,sae,none,,15,0.4337859028680112,0.605965327951842,0.3254713427751237,0.8824128984432913
0,bernoulli,54,none,0.9,1.0,sae,none,,7,0.4412982774859501,0.5660286998392081,0.2985359833281306,0.9031272592858346
4,bernoulli,54,none,0.9,1.0,sae,none,,7,0.4363964843476832,0.5568684020011453,0.3018954805570352,0.9085532752876482
15,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4160900139005259,0.5801381587917165,0.2378636358952362,0.9582071689306444
11,bernoulli,54,none,0.9,1.0,sae,none,,3,0.4324129884215069,0.599358214849921,0.3015820383255086,0.9133370047975624
5,bernoulli,54,none,0.9,1.0,sae,none,,10,0.434407681669633,0.5603000156841658,0.3050257077287602,0.9034692662410054
2,bernoulli,54,none,0.9,1.0,sae,none,,11,0.4311739267064386,0.5551144706074284,0.2613834966777209,0.9393985728848114
1,bernoulli,54,none,0.9,1.0,sae,none,,11,0.4484470040779616,0.5424286206069204,0.2951416813338077,0.9171994925467808
8,bernoulli,54,none,0.9,1.0,sae,none,,5,0.4164025741329019,0.5962978735485336,0.3002945938686653,0.9074850180577052
23,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4198986668050686,0.574378077590869,0.2790548970296365,0.9269722073226452
7,bernoulli,54,none,0.9,1.0,sae,none,,12,0.4271921178237478,0.5935949409006179,0.2982477648500208,0.9157820580559424
12,bernoulli,54,none,0.9,1.0,sae,none,,2,0.4173072143123962,0.6166674428713363,0.3374249330679262,0.8673415140370679
6,bernoulli,54,none,0.9,1.0,sae,none,,10,0.4336557429905084,0.5836575310649169,0.2929179592610504,0.9233881282865128
