seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
3,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,20,0.5649968216713119,0.4263845421845302,3,2,30,2
2,bernoulli,54,none,0.5,1.0,raw,none,,54,30.0,50,0.4878654422788605,0.4245905895692495,17,2,30,2
6,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.6255045687318004,0.428876857757992,10,2,30,2
1,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5049505760670333,0.4581888325080858,17,2,30,2
5,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.6124246339362619,0.4207859110157959,6,2,30,2
0,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5316626975535831,0.4459351987719221,4,2,30,2
8,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,5,0.5876246830092984,0.4351592969530911,12,2,30,2
10,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5560142751790982,0.4527681688626331,8,2,30,2
4,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5514354906640461,0.4480443613502345,18,2,30,2
12,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,20,0.5915088116105928,0.4363521436126988,13,2,30,2
11,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,10,0.5635372512393132,0.4410747025607128,11,2,30,2
14,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.628208481225481,0.4247344561871011,22,2,30,2
16,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5272366522366522,0.4399163072816672,18,2,30,2
42,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,20,0.5671762620581519,0.4297705136651957,2,2,30,2
38,bernoulli,54,none,0.5,1.0,raw,none,,54,30.0,20,0.5809245528046584,0.4344491339618376,24,2,30,2
34,bernoulli,54,none,0.5,1.0,raw,none,,54,30.0,5,0.5524631279478924,0.4558507884180369,11,2,30,2
26,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.6098400167668017,0.438065776114419,9,2,30,2
46,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5970219158713327,0.4083548268513182,2,2,30,2
22,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.6402200740436035,0.4235934297679336,21,2,30,2
35,bernoulli,54,none,0.5,1.0,raw,none,,54,30.0,5,0.5043901484579452,0.4264707319876484,5,2,30,2
15,bernoulli,54,none,0.5,1.0,raw,none,,54,31.0,50,0.5816923515981735,0.3763538201833158,2,2,30,2
39,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5635543390105433,0.4426837764735809,25,2,30,2
7,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5147286184210527,0.4312746731983813,9,2,30,2
43,bernoulli,54,none,0.5,1.0,raw,none,,54,31.0,5,0.6140546038203604,0.4004572743093662,8,2,30,2
19,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,20,0.5918501629661367,0.4377457916007367,14,2,30,2
18,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5290151276945114,0.4475257650076135,6,2,30,2
30,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.6104696520518021,0.4376303955307749,23,2,30,2
23,bernoulli,54,none,0.5,1.0,raw,none,,54,30.0,10,0.5534129353233831,0.4552369065850175,14,2,30,2
27,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5771017107725207,0.4391736307382207,22,2,30,2
47,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5820417919654561,0.4254478759352159,3,2,30,2
31,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.6007607864934343,0.4555043692426361,30,2,30,2
13,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.6091294158119934,0.4312637720811444,16,2,30,2
28,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5977779678778418,0.4144835400724125,4,2,30,2
9,bernoulli,54,none,0.5,1.0,raw,none,,54,30.0,20,0.5625882163164899,0.4462289581894378,5,2,30,2
24,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.5528951486697966,0.4458218221723263,18,2,30,2
44,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,20,0.5236844455027085,0.4572766778034723,27,2,30,2
40,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,5,0.572113153667678,0.4483921573058548,28,2,30,2
32,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,5,0.5849988838455242,0.4396844212818062,5,2,30,2
36,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,20,0.6222917009489332,0.4435173795019284,24,2,30,2
33,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,50,0.6013516075219898,0.4213358471553742,9,2,30,2
25,bernoulli,54,none,0.5,1.0,raw,none,,54,31.0,50,0.5288848771004027,0.4166392456409533,13,2,30,2
37,bernoulli,54,none,0.5,1.0,raw,none,,54,30.0,50,0.6139890895250983,0.4203721759223736,10,2,30,2
20,bernoulli,54,none,0.5,1.0,raw,none,,54,30.0,50,0.5560801781737195,0.418316081822961,2,2,30,2
17,bernoulli,54,none,0.5,1.0,raw,none,,54,29.0,10,0.5253611412062116,0.4425368219885087,16,2,30,2
