seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
3,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.5719923685678667,0.4235214670971441,2,2,30,2
7,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.5805973497412233,0.4134115284196288,2,2,30,2
2,bernoulli,54,none,0.9,1.0,sae,none,,54,30.0,50,0.5765191751107245,0.4297479413611795,7,2,30,2
1,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.5570930826926488,0.4466153711102565,7,2,30,2
6,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,20,0.5836575310649169,0.4336557429905084,10,2,30,2
5,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.5704191033138402,0.4311300338900282,4,2,30,2
4,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.5973532367337677,0.4332575482648089,4,2,30,2
0,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.5902991769707844,0.436722967983888,3,2,30,2
11,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.5955025671406003,0.4403236413741427,22,2,30,2
15,bernoulli,54,none,0.9,1.0,sae,none,,54,31.0,50,0.5801381587917165,0.4160900139005259,2,2,30,2
23,bernoulli,54,none,0.9,1.0,sae,none,,54,30.0,50,0.574378077590869,0.4198986668050686,2,2,30,2
31,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.5834433327987565,0.4321789728676399,15,2,30,2
8,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.591130795219033,0.4253029542926653,14,2,30,2
39,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.5660912889354497,0.4384104587538627,27,2,30,2
27,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.5862005086358314,0.45061645338337,23,2,30,2
47,bernoulli,54,none,0.9,1.0,sae,none,,54,29.0,50,0.55188279222834,0.4518813957458194,15,2,30,2
