Rank,Scaffold,"Primary ModelPrimary ModelThis is the primary model used by the agent. In some cases, an embedding model is used for RAG, or a secondary model like GPT-4o for image processing.Note:For non-OpenAI reasoning models, the reasoning token budget is set at 1,024 (low), 2,048 (medium), and 4,096 (high).",VerifiedVerified ResultsResults have been reproduced by the HAL team,AccuracyAccuracyConfidence intervals show the min-max values across runs for those agents where multiple runs are available,Cost (USD)Total CostTotal API cost for running the agent on all tasks. Confidence intervals show the min-max values across runs for those agents where multiple runs are available,"RunsNumber of RunsThe number of runs for this agent submitted to the leaderboard. To submit multiple evaluations, rerun the same agent and set the same agent name",Traces
1,SeeAct,GPT-5 Medium (August 2025),Yes,42.33%,$171.07,1,Download
2,Browser-Use,Claude Sonnet 4 (May 2025),Yes,40.00%,$1577.26,1,Download
3,Browser-Use,Claude-3.7 Sonnet High (February 2025),Yes,39.33%,$1151.88,1,Download
4,Browser-Use,Claude Sonnet 4 High (May 2025),Yes,39.33%,$1609.92,1,Download
5,SeeAct,o3 Medium (April 2025),Yes,39.00%,$258.74,1,Download
6,Browser-Use,Claude-3.7 Sonnet (February 2025),Yes,38.33%,$926.48,1,Download
7,SeeAct,Claude Sonnet 4 (May 2025),Yes,36.67%,$246.18,1,Download
8,SeeAct,Claude Sonnet 4 High (May 2025),Yes,36.67%,$326.41,1,Download
9,Browser-Use,GPT-4.1 (April 2025),Yes,36.33%,$236.62,1,Download
10,Browser-Use,DeepSeek V3 (March 2025),Yes,32.33%,$214.74,1,Download
11,SeeAct,o4-mini High (April 2025),Yes,32.00%,$228.98,1,Download
12,Browser-Use,GPT-5 Medium (August 2025),Yes,32.00%,$736.31,1,Download
13,SeeAct,o4-mini Low (April 2025),Yes,31.67%,$162.36,1,Download
14,SeeAct,GPT-4.1 (April 2025),Yes,30.33%,$271.24,1,Download
15,SeeAct,Claude-3.7 Sonnet High (February 2025),Yes,30.33%,$367.51,1,Download
16,Browser-Use,Gemini 2.0 Flash (February 2025),Yes,29.00%,$8.83,1,Download
17,Browser-Use,o3 Medium (April 2025),Yes,29.00%,$371.59,1,Download
18,SeeAct,Claude-3.7 Sonnet (February 2025),Yes,28.33%,$291.97,1,Download
19,SeeAct,Gemini 2.0 Flash (February 2025),Yes,26.67%,$5.03,1,Download
20,Browser-Use,DeepSeek R1 (January 2025),Yes,25.33%,$280.93,1,Download
21,Browser-Use,o4-mini High (April 2025),Yes,20.00%,$297.93,1,Download
22,Browser-Use,o4-mini Low (April 2025),Yes,18.33%,$201.44,1,Download
