n_batches,batch_added,rmse_mean,rmse_rasch,rmse_beta
2,resmat_moon23.csv,0.31199571929648207,0.31169762121503847,0.29778472901000486
3,resmat_moon24.csv,0.29781049851808733,0.2980662588313239,0.27283007046288976
4,resmat_sun12.csv,0.25058664097319266,0.2519226942980667,0.2334073755316564
5,resmat_sun17.csv,0.22777919622660617,0.23248927157014362,0.210609551975389
6,resmat_sun19.csv,0.21772337881297865,0.22245803174674034,0.19933708266838115
7,resmat_sun20.csv,0.2127927677736563,0.21882468889910117,0.193745603050054
8,resmat_sun13.csv,0.20006298250678242,0.20604149834967034,0.1811830232454707
9,resmat_sun15.csv,0.19068483718955845,0.1983318595838154,0.17204627259897054
10,resmat_sun18.csv,0.18788059667841253,0.19594407011269205,0.16937865100247618
11,resmat_sun14.csv,0.18434884645563093,0.1921312556113934,0.1656056503023164
12,resmat_moon18.csv,0.1818227572637548,0.18974004236173292,0.16237229546944176
13,resmat_sun21.csv,0.1740110699061814,0.18441316686411546,0.15491555314046873
14,resmat_sun22.csv,0.1643545525854532,0.17795271614530828,0.14610591317608895
