seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
42,beta,1,max,1.0,0.25,raw,max,50,0.6567287522285018,0.4460674712395946,20,2,30,2
0,beta,1,max,1.0,0.25,raw,max,50,0.6329387885032056,0.4478751447934495,25,2,30,2
31,beta,1,max,1.0,0.25,raw,max,50,0.685668518912068,0.4245002971452677,23,2,30,2
22,beta,1,max,1.0,0.25,raw,max,50,0.6264732106670989,0.4389949359699478,13,2,30,2
4,beta,1,max,1.0,0.25,raw,max,50,0.6577858503063421,0.4411680878749754,12,2,30,2
28,beta,1,max,1.0,0.25,raw,max,50,0.6385796964145054,0.4426986375382756,18,2,30,2
1,beta,1,max,1.0,0.25,raw,max,50,0.6490811845079104,0.4388129424459804,6,2,30,2
17,beta,1,max,1.0,0.25,raw,max,50,0.6157623456790123,0.4514191680517546,25,2,30,2
3,beta,1,max,1.0,0.25,raw,max,50,0.6501143770753905,0.437370638795899,27,2,30,2
48,beta,1,max,1.0,0.25,raw,max,50,0.5798350113527725,0.4490521163377033,20,2,30,2
25,beta,1,max,1.0,0.25,raw,max,50,0.5930046669546022,0.4380076902718162,23,2,30,2
37,beta,1,max,1.0,0.25,raw,max,50,0.6444904855541449,0.4453942742471725,22,2,30,2
21,beta,1,max,1.0,0.25,raw,max,50,0.6627015732546706,0.433491067498431,22,2,30,2
46,beta,1,max,1.0,0.25,raw,max,50,0.6871834549249387,0.4338923105123813,19,2,30,2
5,beta,1,max,1.0,0.25,raw,max,50,0.694780637424665,0.4164001407139345,15,2,30,2
15,beta,1,max,1.0,0.25,raw,max,50,0.6247233026594567,0.4406633962310523,29,2,30,2
29,beta,1,max,1.0,0.25,raw,max,50,0.6557419054274402,0.435048797873899,29,2,30,2
27,beta,1,max,1.0,0.25,raw,max,50,0.6024308490443159,0.4532152447775703,24,2,30,2
7,beta,1,max,1.0,0.25,raw,max,50,0.6730367580257205,0.4313486760347423,28,2,30,2
19,beta,1,max,1.0,0.25,raw,max,50,0.6429075278298249,0.4308179377172965,23,2,30,2
9,beta,1,max,1.0,0.25,raw,max,50,0.6645560372120208,0.4312435585038465,25,2,30,2
2,beta,1,max,1.0,0.25,raw,max,50,0.6436981819201922,0.4302562590713999,24,2,30,2
33,beta,1,max,1.0,0.25,raw,max,50,0.6239021373146532,0.4351146589089779,18,2,30,2
13,beta,1,max,1.0,0.25,raw,max,50,0.641811527904849,0.4471622997356959,28,2,30,2
44,beta,1,max,1.0,0.25,raw,max,50,0.6178192340919114,0.436101346689536,21,2,30,2
41,beta,1,max,1.0,0.25,raw,max,50,0.6248528124763797,0.4407884781497342,16,2,30,2
39,beta,1,max,1.0,0.25,raw,max,50,0.6712570672010305,0.4237165172255586,14,2,30,2
35,beta,1,max,1.0,0.25,raw,max,50,0.6832442382723359,0.4326200980267236,24,2,30,2
38,beta,1,max,1.0,0.25,raw,max,50,0.65391220271008,0.4278717865417865,15,2,30,2
26,beta,1,max,1.0,0.25,raw,max,50,0.6152210280971653,0.4413629358696073,25,2,30,2
11,beta,1,max,1.0,0.25,raw,max,50,0.6300622420886373,0.446323184789463,20,2,30,2
23,beta,1,max,1.0,0.25,raw,max,50,0.6488220692865796,0.4316908172837851,22,2,30,2
14,beta,1,max,1.0,0.25,raw,max,50,0.5781267714022936,0.4411493076816675,21,2,30,2
30,beta,1,max,1.0,0.25,raw,max,50,0.6060981228135932,0.4532079291915155,18,2,30,2
47,beta,1,max,1.0,0.25,raw,max,50,0.6780314224521202,0.4177954840494098,6,2,30,2
43,beta,1,max,1.0,0.25,raw,max,50,0.6130771792775608,0.4405310232980873,20,2,30,2
18,beta,1,max,1.0,0.25,raw,max,50,0.6581782296020647,0.4388197509499066,30,2,30,2
6,beta,1,max,1.0,0.25,raw,max,50,0.6073096892033769,0.4433150416319767,23,2,30,2
10,beta,1,max,1.0,0.25,raw,max,50,0.6365691524503478,0.4354081895298115,30,2,30,2
34,beta,1,max,1.0,0.25,raw,max,50,0.6662613060452485,0.4396098217810216,29,2,30,2
16,beta,1,max,1.0,0.25,raw,max,50,0.6526454612513133,0.4321273372643215,20,2,30,2
20,beta,1,max,1.0,0.25,raw,max,50,0.6781792379059759,0.4185051550952156,12,2,30,2
49,beta,1,max,1.0,0.25,raw,max,50,0.645518517175088,0.4463989823617325,21,2,30,2
36,beta,1,max,1.0,0.25,raw,max,50,0.6066312387791741,0.4522521062857785,24,2,30,2
32,beta,1,max,1.0,0.25,raw,max,50,0.6186773113931112,0.4439118425983062,14,2,30,2
24,beta,1,max,1.0,0.25,raw,max,50,0.6298966134809508,0.43554218785796,26,2,30,2
8,beta,1,max,1.0,0.25,raw,max,50,0.6417031080505191,0.431096782970924,6,2,30,2
40,beta,1,max,1.0,0.25,raw,max,50,0.6651142041399001,0.4270401987142447,21,2,30,2
45,beta,1,max,1.0,0.25,raw,max,50,0.6728484335461562,0.4267407551374707,28,2,30,2
12,beta,1,max,1.0,0.25,raw,max,50,0.6399874074809144,0.4298796484214188,25,2,30,2
