seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_rasch,rmse_rasch
42,beta,1,max,1.0,0.25,raw,max,50,0.6645040918198228,0.4636029103000568
0,beta,1,max,1.0,0.25,raw,max,50,0.6364496441908465,0.4510071028342522
31,beta,1,max,1.0,0.25,raw,max,50,0.6729427747877166,0.4260324034892446
22,beta,1,max,1.0,0.25,raw,max,50,0.6182758827281666,0.4418102373687703
4,beta,1,max,1.0,0.25,raw,max,50,0.6469800463652923,0.4551658218430192
28,beta,1,max,1.0,0.25,raw,max,50,0.6393717786913358,0.4593484286973079
1,beta,1,max,1.0,0.25,raw,max,50,0.6028713786726937,0.4506943392479997
17,beta,1,max,1.0,0.25,raw,max,50,0.5790006858710562,0.4865661865712121
3,beta,1,max,1.0,0.25,raw,max,50,0.6684380764973558,0.4287934451988245
48,beta,1,max,1.0,0.25,raw,max,50,0.5915511472275334,0.4637704206222389
25,beta,1,max,1.0,0.25,raw,max,50,0.6394942532872636,0.4390491578596558
37,beta,1,max,1.0,0.25,raw,max,50,0.6379575294955563,0.4676555891252176
21,beta,1,max,1.0,0.25,raw,max,50,0.6591192583227982,0.4278989849628588
46,beta,1,max,1.0,0.25,raw,max,50,0.6833208869485294,0.4300157853489351
5,beta,1,max,1.0,0.25,raw,max,50,0.7019578629323532,0.4074526006244162
15,beta,1,max,1.0,0.25,raw,max,50,0.6402519526926603,0.4445543192691711
29,beta,1,max,1.0,0.25,raw,max,50,0.6913422938580173,0.4237022037050849
27,beta,1,max,1.0,0.25,raw,max,50,0.612835708802492,0.4605970094941902
7,beta,1,max,1.0,0.25,raw,max,50,0.6681251868889838,0.4213293573583245
19,beta,1,max,1.0,0.25,raw,max,50,0.6380669293508211,0.4290796488747379
9,beta,1,max,1.0,0.25,raw,max,50,0.6917405386975792,0.4321875408500823
2,beta,1,max,1.0,0.25,raw,max,50,0.6543340380549684,0.429137727848137
33,beta,1,max,1.0,0.25,raw,max,50,0.6415403394308051,0.4342804874540564
13,beta,1,max,1.0,0.25,raw,max,50,0.6253727338788587,0.4695818989581473
44,beta,1,max,1.0,0.25,raw,max,50,0.6193946545788217,0.437839920960525
41,beta,1,max,1.0,0.25,raw,max,50,0.6097158445299962,0.4529827157611544
39,beta,1,max,1.0,0.25,raw,max,50,0.673806328872349,0.4242685552202305
35,beta,1,max,1.0,0.25,raw,max,50,0.684426776264514,0.4341760797389329
38,beta,1,max,1.0,0.25,raw,max,50,0.6625890959339447,0.4254865764087338
26,beta,1,max,1.0,0.25,raw,max,50,0.6115263323100971,0.4618832212963048
11,beta,1,max,1.0,0.25,raw,max,50,0.6446374205846302,0.4462520993073822
23,beta,1,max,1.0,0.25,raw,max,50,0.6335241201388326,0.4299690018059884
14,beta,1,max,1.0,0.25,raw,max,50,0.6068449800101356,0.4500671171097998
30,beta,1,max,1.0,0.25,raw,max,50,0.6190342328835582,0.4562514409604245
47,beta,1,max,1.0,0.25,raw,max,50,0.6833714648436608,0.4157966431438655
43,beta,1,max,1.0,0.25,raw,max,50,0.6374531948607705,0.4490394400275083
18,beta,1,max,1.0,0.25,raw,max,50,0.6718173396004845,0.4309762355278003
6,beta,1,max,1.0,0.25,raw,max,50,0.6135662510247228,0.44956920056525
10,beta,1,max,1.0,0.25,raw,max,50,0.6732574048581731,0.4303054700677515
34,beta,1,max,1.0,0.25,raw,max,50,0.658188850360096,0.4405794755942228
16,beta,1,max,1.0,0.25,raw,max,50,0.663738867476266,0.4220721878935082
20,beta,1,max,1.0,0.25,raw,max,50,0.673240869217563,0.4136543781733556
49,beta,1,max,1.0,0.25,raw,max,50,0.6437487428237909,0.4599620875771433
36,beta,1,max,1.0,0.25,raw,max,50,0.6236014362657091,0.4782720451877454
32,beta,1,max,1.0,0.25,raw,max,50,0.6083893459768512,0.4678668126065856
24,beta,1,max,1.0,0.25,raw,max,50,0.6299824297188755,0.4329082809948035
8,beta,1,max,1.0,0.25,raw,max,50,0.6600394196497752,0.4331551988816117
40,beta,1,max,1.0,0.25,raw,max,50,0.6551799734883247,0.4267395853650078
45,beta,1,max,1.0,0.25,raw,max,50,0.6863343148996971,0.4323309129877853
12,beta,1,max,1.0,0.25,raw,max,50,0.6358551449679541,0.4307670037726526
