seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
42,bernoulli,54,none,1.0,0.25,raw,2,0.4969115087903692,0.5103510072920528,0.4953031322423722,0.8583333333333334
42,bernoulli,54,none,1.0,0.25,raw,3,0.4068313803488522,0.5781501050549994,0.331855300958059,0.8683201058201058
42,bernoulli,54,none,1.0,0.25,raw,4,0.4849349138987647,0.4895485724879496,0.4768480477272205,0.8808862433862434
42,bernoulli,54,none,1.0,0.25,raw,5,0.4125159910743759,0.5804559077987888,0.2860340820375682,0.901851851851852
42,bernoulli,54,none,1.0,0.25,raw,6,0.4164822070785025,0.583959028550241,0.3284484767440639,0.8621031746031745
42,bernoulli,54,none,1.0,0.25,raw,7,0.4908396415380643,0.4962767272277839,0.486095142859116,0.8773148148148149
42,bernoulli,54,none,1.0,0.25,raw,8,0.4164933698602723,0.5899919663824003,0.309972111212721,0.8832671957671958
42,bernoulli,54,none,1.0,0.25,raw,9,0.4102409456998526,0.611080212581881,0.2936952991485085,0.9005952380952381
42,bernoulli,54,none,1.0,0.25,raw,10,0.4188306069011475,0.5911738351254481,0.306317724310614,0.8843253968253968
42,bernoulli,54,none,1.0,0.25,raw,11,0.4849728617006844,0.4865514151526388,0.4770220744965174,0.8728174603174604
42,bernoulli,54,none,1.0,0.25,raw,12,0.4140644613255527,0.5881148807316772,0.3196091605898842,0.8783730158730159
42,bernoulli,54,none,1.0,0.25,raw,13,0.4969038768990171,0.5412920219997529,0.4952831253583319,0.8664021164021164
42,bernoulli,54,none,1.0,0.25,raw,14,0.4908278622940318,0.5382253429736745,0.4859400966857023,0.864021164021164
42,bernoulli,54,none,1.0,0.25,raw,15,0.4908523008743578,0.4988683413669509,0.4860493883805026,0.8599867724867725
42,bernoulli,54,none,1.0,0.25,raw,16,0.4177811816738557,0.6115668644172537,0.3146288599877048,0.8671296296296296
42,bernoulli,54,none,1.0,0.25,raw,17,0.4268565641976924,0.6090911197626993,0.2997033634502054,0.9006613756613757
42,bernoulli,54,none,1.0,0.25,raw,18,0.4222759354962059,0.5774857866765541,0.3092245583858539,0.8770502645502646
42,bernoulli,54,none,1.0,0.25,raw,19,0.4315030841131488,0.5746276727227784,0.3002133643853628,0.8858465608465609
42,bernoulli,54,none,1.0,0.25,raw,20,0.4259597509145944,0.6059626436781609,0.3131189177830399,0.8986111111111112
42,bernoulli,54,none,1.0,0.25,raw,21,0.4330999122443822,0.5910116178469905,0.3065314979509441,0.888558201058201
42,bernoulli,54,none,1.0,0.25,raw,22,0.4269476671210309,0.5852413175132863,0.3144692955834964,0.8803571428571428
42,bernoulli,54,none,1.0,0.25,raw,23,0.4277748715813217,0.5917377332838957,0.3068028525053568,0.8938492063492064
42,bernoulli,54,none,1.0,0.25,raw,24,0.4286435537018845,0.5914017117785193,0.2948659376439273,0.8952380952380952
42,bernoulli,54,none,1.0,0.25,raw,25,0.432654695628616,0.5702709801013472,0.3055556351789216,0.8815476190476191
42,bernoulli,54,none,1.0,0.25,raw,26,0.4307484792725679,0.6140232974910393,0.3102019211512237,0.8790343915343916
42,bernoulli,54,none,1.0,0.25,raw,27,0.4292404797264211,0.5996091336052404,0.3111454335518665,0.8833333333333333
42,bernoulli,54,none,1.0,0.25,raw,28,0.4336194211216629,0.5675055617352613,0.2982097910415059,0.8826058201058202
42,bernoulli,54,none,1.0,0.25,raw,29,0.4276267660985994,0.6357874490174268,0.3021854345927618,0.9017195767195766
42,bernoulli,54,none,1.0,0.25,raw,30,0.4280278666495476,0.5564516129032259,0.30877606523197393,0.8892857142857143
