seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_naive,rmse_naive
42,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4527525522106406
0,beta,1,max,1.0,0.25,raw,max,50,0.5,0.456983090985209
31,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4406364108021715
22,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4493984692192235
4,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4577865391423824
28,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4570111327349141
1,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4519054674558971
17,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4671802143817418
3,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4485060968335501
48,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4580672008019717
25,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4439118425983062
37,beta,1,max,1.0,0.25,raw,max,50,0.5,0.454366577915179
21,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4449726280087885
46,beta,1,max,1.0,0.25,raw,max,50,0.5,0.448793392314904
5,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4346503880480082
15,beta,1,max,1.0,0.25,raw,max,50,0.5,0.451683332518759
29,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4471802609202281
27,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4653613150349677
7,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4407309878149464
19,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4399258592845521
9,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4452674909901222
2,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4392233693013287
33,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4458448674442039
13,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4616520886782052
44,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4459322916113005
41,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4519371544234303
39,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4383968629173996
35,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4459416980452244
38,beta,1,max,1.0,0.25,raw,max,50,0.5,0.440182923337171
26,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4529585697099882
11,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4578737335135492
23,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4405508783912495
14,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4440617648178339
30,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4630593262052776
47,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4358795845363881
43,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4497556546212536
18,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4480033687098755
6,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4517143258267718
10,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4478544997906259
34,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4518215406618593
16,beta,1,max,1.0,0.25,raw,max,50,0.5,0.443619723068544
20,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4322671270490894
49,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4626268367571109
36,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4704515251672952
32,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4554647841370863
24,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4429970996268761
8,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4459269116433785
40,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4412372738297086
45,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4381227658931784
12,beta,1,max,1.0,0.25,raw,max,50,0.5,0.4373646083871786
