seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_knn,rmse_knn
42,beta,1,max,1.0,0.25,raw,max,50,0.7024394131715638,0.4217657901553164
0,beta,1,max,1.0,0.25,raw,max,50,0.6867729359132777,0.4292264372057741
31,beta,1,max,1.0,0.25,raw,max,50,0.737818589778439,0.3958292467341368
22,beta,1,max,1.0,0.25,raw,max,50,0.6560378641837386,0.4350649472510173
4,beta,1,max,1.0,0.25,raw,max,50,0.6898582822763151,0.4268617830701827
28,beta,1,max,1.0,0.25,raw,max,50,0.6955547035402138,0.4286131866865212
1,beta,1,max,1.0,0.25,raw,max,50,0.6852315337990549,0.4281017693948391
17,beta,1,max,1.0,0.25,raw,max,50,0.6933525377229081,0.4281204432224103
3,beta,1,max,1.0,0.25,raw,max,50,0.6998893125076867,0.4214920495777881
48,beta,1,max,1.0,0.25,raw,max,50,0.6005314143164436,0.4556329316755722
25,beta,1,max,1.0,0.25,raw,max,50,0.629894153709569,0.4400184047436833
37,beta,1,max,1.0,0.25,raw,max,50,0.6824976259044788,0.4223890704622126
21,beta,1,max,1.0,0.25,raw,max,50,0.6728262396403988,0.4268586761905668
46,beta,1,max,1.0,0.25,raw,max,50,0.7030101102941176,0.4199602686163765
5,beta,1,max,1.0,0.25,raw,max,50,0.7351992018963285,0.3926084895750801
15,beta,1,max,1.0,0.25,raw,max,50,0.6781324774162265,0.4306128335183578
29,beta,1,max,1.0,0.25,raw,max,50,0.7078354675838954,0.4159342726561472
27,beta,1,max,1.0,0.25,raw,max,50,0.6272125395950017,0.4479626716970459
7,beta,1,max,1.0,0.25,raw,max,50,0.755577510544398,0.3955074922536801
19,beta,1,max,1.0,0.25,raw,max,50,0.6890933263529152,0.4179453976961567
9,beta,1,max,1.0,0.25,raw,max,50,0.7120999951293168,0.4127038581999632
2,beta,1,max,1.0,0.25,raw,max,50,0.681968647112979,0.4165634166424132
33,beta,1,max,1.0,0.25,raw,max,50,0.6749428832945348,0.4244045960467343
13,beta,1,max,1.0,0.25,raw,max,50,0.7082832942493709,0.4207781378584553
44,beta,1,max,1.0,0.25,raw,max,50,0.6493763093543193,0.4338264528225479
41,beta,1,max,1.0,0.25,raw,max,50,0.6779958634449597,0.427477912137023
39,beta,1,max,1.0,0.25,raw,max,50,0.7235984875593406,0.4020242255583499
35,beta,1,max,1.0,0.25,raw,max,50,0.744343887431277,0.4016349437692469
38,beta,1,max,1.0,0.25,raw,max,50,0.6864858833017833,0.418188429527407
26,beta,1,max,1.0,0.25,raw,max,50,0.6541701825116799,0.4338326354559142
11,beta,1,max,1.0,0.25,raw,max,50,0.6688149308872116,0.4305204467747089
23,beta,1,max,1.0,0.25,raw,max,50,0.6810145835855568,0.4204386348139142
14,beta,1,max,1.0,0.25,raw,max,50,0.6384758901589803,0.4417633536360053
30,beta,1,max,1.0,0.25,raw,max,50,0.6547222482508746,0.4452985460203237
47,beta,1,max,1.0,0.25,raw,max,50,0.7362336766800208,0.3964029613774963
43,beta,1,max,1.0,0.25,raw,max,50,0.6903792519924776,0.4257230106385011
18,beta,1,max,1.0,0.25,raw,max,50,0.7270814678023554,0.4150929494544358
6,beta,1,max,1.0,0.25,raw,max,50,0.6618015705225008,0.4327019119826996
10,beta,1,max,1.0,0.25,raw,max,50,0.6825562706758247,0.420633396331285
34,beta,1,max,1.0,0.25,raw,max,50,0.7108950265525351,0.4146582258653063
16,beta,1,max,1.0,0.25,raw,max,50,0.7100016285656807,0.4130983102807767
20,beta,1,max,1.0,0.25,raw,max,50,0.6925993185719997,0.4104838017033538
49,beta,1,max,1.0,0.25,raw,max,50,0.693273736311206,0.4261477406745895
36,beta,1,max,1.0,0.25,raw,max,50,0.6653213644524238,0.4333293039641966
32,beta,1,max,1.0,0.25,raw,max,50,0.6467267466183237,0.4400041643400798
24,beta,1,max,1.0,0.25,raw,max,50,0.6799987110604581,0.4268302070440376
8,beta,1,max,1.0,0.25,raw,max,50,0.703667988726174,0.4145759062684834
40,beta,1,max,1.0,0.25,raw,max,50,0.6938360354848578,0.4143557140125751
45,beta,1,max,1.0,0.25,raw,max,50,0.715976418393413,0.4087752389552638
12,beta,1,max,1.0,0.25,raw,max,50,0.7200559819598475,0.40549975590869036
