seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version,knn_selection_version
1,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5653164600954875,0.3135631833767606,3,2,30,2,2.0
3,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.580309420237786,0.3052599981452968,6,2,30,2,2.0
0,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.516812509140545,0.3401264352309043,17,2,30,2,2.0
2,beta,54,none,1.0,0.25,raw,none,,54,30.0,50,0.6088731234763269,0.2920258544088698,25,2,30,2,2.0
6,beta,54,none,1.0,0.25,raw,none,,54,29.0,10,0.5493293132098744,0.3201038448585773,24,2,30,2,2.0
12,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5757845146824003,0.3576104547355386,13,2,30,2,2.0
16,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5614631598831072,0.3295103641328637,19,2,30,2,2.0
4,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5563958554779894,0.327218745633372,24,2,30,2,2.0
14,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.576341719647159,0.3426782742200625,24,2,30,2,2.0
23,beta,54,none,1.0,0.25,raw,none,,54,30.0,10,0.5908770601595714,0.3086112536524357,25,2,30,2,2.0
46,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5657263443670377,0.3252554027495686,25,2,30,2,2.0
28,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5359255916566387,0.3289384862365666,22,2,30,2,2.0
42,beta,54,none,1.0,0.25,raw,none,,54,29.0,20,0.5831093299447729,0.3114149209560462,19,2,30,2,2.0
30,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5837082040675629,0.3131643386312387,19,2,30,2,2.0
34,beta,54,none,1.0,0.25,raw,none,,54,30.0,50,0.6306611791552181,0.3300077713246386,25,2,30,2,2.0
40,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5245330930537353,0.34111144957882,24,2,30,2,2.0
43,beta,54,none,1.0,0.25,raw,none,,54,31.0,20,0.5580858441072825,0.2784229959163177,4,2,30,2,2.0
32,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5987665446613428,0.320345865233161,21,2,30,2,2.0
38,beta,54,none,1.0,0.25,raw,none,,54,30.0,20,0.5303654438602535,0.3325980117655272,30,2,30,2,2.0
15,beta,54,none,1.0,0.25,raw,none,,54,31.0,50,0.5723917084332767,0.2783918322307743,3,2,30,2,2.0
33,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5484662323740415,0.3329940860190203,29,2,30,2,2.0
26,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5777697658635901,0.3217237946057843,17,2,30,2,2.0
10,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5475762370540852,0.3308137787946081,24,2,30,2,2.0
18,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5849017847633249,0.3103631873861459,9,2,30,2,2.0
27,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5542843408244201,0.3254598280644811,30,2,30,2,2.0
22,beta,54,none,1.0,0.25,raw,none,,54,29.0,50,0.5382043664622247,0.3210235240462981,17,2,30,2,2.0
