seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl,knn_selection_version
2,beta,54,none,1.0,1.0,sae,none,,54,8.0,20,0.1709401709401709,0.2822163985907034,2.0
1,beta,54,none,1.0,1.0,sae,none,,54,6.0,50,0.5542505154908255,0.4109703159646172,2.0
6,beta,54,none,1.0,1.0,sae,none,,54,8.0,20,0.5,0.2799577829559279,2.0
5,beta,54,none,1.0,1.0,sae,none,,54,6.0,50,0.6569997670626602,0.4233490306029029,2.0
4,beta,54,none,1.0,1.0,sae,none,,54,8.0,5,0.6562310030395136,0.3082045744848554,2.0
0,beta,54,none,1.0,1.0,sae,none,,54,6.0,50,0.5750229568411387,0.4189066480032123,2.0
8,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.5564764492753623,0.4439488831631162,2.0
44,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.5661904761904761,0.4759421610463086,2.0
9,beta,54,none,1.0,1.0,sae,none,,54,6.0,50,0.6083998005982053,0.3863355491241115,2.0
28,beta,54,none,1.0,1.0,sae,none,,54,6.0,50,0.5824581701673194,0.3878941830628428,2.0
14,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.4881701758194052,0.2959214255087174,2.0
32,beta,54,none,1.0,1.0,sae,none,,54,7.0,10,0.7001223990208079,0.4466322199357744,2.0
45,beta,54,none,1.0,1.0,sae,none,,54,8.0,20,0.6345811051693405,0.2642009231220249,2.0
48,beta,54,none,1.0,1.0,sae,none,,54,7.0,20,0.5977294007490637,0.4837777547242473,2.0
16,beta,54,none,1.0,1.0,sae,none,,54,8.0,50,0.4326216156724631,0.365299728992653,2.0
12,beta,54,none,1.0,1.0,sae,none,,54,7.0,20,0.5995122811141145,0.3126246561332986,2.0
22,beta,54,none,1.0,1.0,sae,none,,54,8.0,50,0.6113476687247179,0.3921587777733793,2.0
46,beta,54,none,1.0,1.0,sae,none,,54,8.0,50,0.5577277970011534,0.355786611108675,2.0
34,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.6879206730769232,0.3604135847603041,2.0
41,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.5681818181818181,0.269918412491359,2.0
40,beta,54,none,1.0,1.0,sae,none,,54,8.0,20,0.4354598177299089,0.3426986569291738,2.0
24,beta,54,none,1.0,1.0,sae,none,,54,7.0,10,0.4016995614035087,0.4105857416950376,2.0
27,beta,54,none,1.0,1.0,sae,none,,54,5.0,50,0.5395434349624636,0.3605099875115543,2.0
3,beta,54,none,1.0,1.0,sae,none,,54,8.0,20,0.4702508960573477,0.3723065885119663,2.0
20,beta,54,none,1.0,1.0,sae,none,,54,8.0,50,0.5001581277672359,0.3089078801275607,2.0
19,beta,54,none,1.0,1.0,sae,none,,54,7.0,20,0.6327185244587009,0.448149012769518,2.0
36,beta,54,none,1.0,1.0,sae,none,,54,8.0,20,0.5365025466893039,0.3334243272719526,2.0
43,beta,54,none,1.0,1.0,sae,none,,54,7.0,20,0.4586339586339586,0.3382162058012991,2.0
38,beta,54,none,1.0,1.0,sae,none,,54,8.0,50,0.4915254237288136,0.3703729354860082,2.0
18,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.5722500616117637,0.3014086335732129,2.0
26,beta,54,none,1.0,1.0,sae,none,,54,8.0,5,0.4067688378033205,0.308483828511817,2.0
10,beta,54,none,1.0,1.0,sae,none,,54,8.0,20,0.5378167565679692,0.3469289179300386,2.0
42,beta,54,none,1.0,1.0,sae,none,,54,8.0,50,0.4373865698729582,0.2691378971177537,2.0
30,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.4620142290229165,0.3876639480779768,2.0
29,beta,54,none,1.0,1.0,sae,none,,54,7.0,20,0.5657481688175794,0.3232494825940221,2.0
33,beta,54,none,1.0,1.0,sae,none,,54,8.0,50,0.5087738459298092,0.3645728336820503,2.0
49,beta,54,none,1.0,1.0,sae,none,,54,8.0,5,0.5685941043083901,0.3534076167390614,2.0
11,beta,54,none,1.0,1.0,sae,none,,54,8.0,50,0.5320251572327044,0.3627919213753492,2.0
17,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.4884907451352634,0.3152716745765201,2.0
13,beta,54,none,1.0,1.0,sae,none,,54,7.0,5,0.4624236579877853,0.3533162139435551,2.0
25,beta,54,none,1.0,1.0,sae,none,,54,8.0,10,0.5342342342342342,0.3161849554931842,2.0
37,beta,54,none,1.0,1.0,sae,none,,54,8.0,50,0.575595238095238,0.3404431592647033,2.0
21,beta,54,none,1.0,1.0,sae,none,,54,8.0,5,0.5982417582417584,0.365644907613165,2.0
31,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.4361430395913154,0.3697432387793237,2.0
35,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.4053119071532195,0.4091589656125832,2.0
47,beta,54,none,1.0,1.0,sae,none,,54,8.0,50,0.3938294010889293,0.3797393174781578,2.0
39,beta,54,none,1.0,1.0,sae,none,,54,8.0,5,0.567027027027027,0.332441558882679,2.0
23,beta,54,none,1.0,1.0,sae,none,,54,7.0,50,0.4916943521594685,0.388235546929975,2.0
7,beta,54,none,1.0,1.0,sae,none,,54,8.0,10,0.5084782608695653,0.3707706651169419,2.0
15,beta,54,none,1.0,1.0,sae,none,,54,8.0,5,0.458793324775353,0.31201464393450407,2.0
