seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl,knn_selection_version
0,bernoulli,54,none,1.0,1.0,raw,none,,54,6.0,50,0.6049127640036731,0.4986788013137999,2.0
3,bernoulli,54,none,1.0,1.0,raw,none,,54,8.0,20,0.5,0.4607914515439981,2.0
2,bernoulli,54,none,1.0,1.0,raw,none,,54,8.0,10,0.5,0.2672612478861786,2.0
1,bernoulli,54,none,1.0,1.0,raw,none,,54,6.0,50,0.5591705165348575,0.4940005469521881,2.0
8,bernoulli,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5492753623188406,0.5002610002229998,2.0
9,bernoulli,54,none,1.0,1.0,raw,none,,54,6.0,50,0.617148554336989,0.4682562611951009,2.0
10,bernoulli,54,none,1.0,1.0,raw,none,,54,8.0,50,0.492490977531142,0.4139583384656722,2.0
4,bernoulli,54,none,1.0,1.0,raw,none,,54,8.0,5,0.5,0.5208817904500959,2.0
12,bernoulli,54,none,1.0,1.0,raw,none,,54,7.0,50,0.586937360441885,0.4407585083815876,2.0
5,bernoulli,54,none,1.0,1.0,raw,none,,54,6.0,50,0.6569997670626602,0.4831367786348493,2.0
11,bernoulli,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.4696682201801559,2.0
14,bernoulli,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5022067867737501,0.4494609180015528,2.0
41,bernoulli,54,none,1.0,1.0,raw,none,,54,7.0,50,0.5841836734693878,0.3844838926317165,2.0
27,bernoulli,54,none,1.0,1.0,raw,none,,54,5.0,50,0.5329707369388693,0.4849797288600883,2.0
45,bernoulli,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5828877005347594,0.4212117986874575,2.0
47,bernoulli,54,none,1.0,1.0,raw,none,,54,8.0,50,0.4907441016333939,0.4827831012454032,2.0
32,bernoulli,54,none,1.0,1.0,raw,none,,54,7.0,10,0.6314565483476131,0.4628308736488298,2.0
28,bernoulli,54,none,1.0,1.0,raw,none,,54,6.0,50,0.5691527233891064,0.5075481313516029,2.0
20,bernoulli,54,none,1.0,1.0,raw,none,,54,8.0,50,0.4946236559139785,0.3931227365255769,2.0
6,bernoulli,54,none,1.0,1.0,raw,none,,54,8.0,10,0.5,0.3015113490706327,2.0
16,bernoulli,54,none,1.0,1.0,raw,none,,54,8.0,50,0.5,0.4586120881243447,2.0
