study,study_group,artifact_path,araf_rows,araf_seeds,baseline_missing
default_flat,default,model/result/default_araf_flat/araf/araf_raw_beta_pre-false_n-max_k-128_d-0p0_229c1039f80f.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_raw_beta_pre-false_n-max_k-128_d-0p2_7d45aa62a7f3.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_raw_beta_pre-false_n-max_k-128_d-0p5_82b8d50ef66f.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_raw_beta_pre-false_n-max_k-30_d-0p0_02aa244e6bd0.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_raw_beta_pre-false_n-max_k-30_d-0p2_8cc92d334c7a.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_raw_beta_pre-false_n-max_k-30_d-0p5_8c703062d66e.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_raw_beta_pre-false_n-max_k-64_d-0p0_f40a3c909226.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_raw_beta_pre-false_n-max_k-64_d-0p2_d463fd189136.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_raw_beta_pre-false_n-max_k-64_d-0p5_6b4d1ad45613.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-10_d-0p0_784b3469a7ce.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-10_d-0p2_7f6a1be120bf.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-10_d-0p5_d9a7705f92e5.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-128_d-0p0_0524502bec98.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-128_d-0p2_e618c569d0e5.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-128_d-0p5_f7f45e07abb0.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-30_d-0p0_416d613ff0c6.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-30_d-0p2_004f0a92d9ce.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-30_d-0p5_e9782a1214eb.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-64_d-0p0_ecec036e67d1.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-64_d-0p2_f4009d53d1c7.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_bernoulli_pre-false_n-1_k-64_d-0p5_aeed177f35ce.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-10_d-0p0_970e9c37f231.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-10_d-0p2_adc8c65bf227.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-10_d-0p5_2604ff09c276.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-128_d-0p0_c88d754b3834.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-128_d-0p2_0b20df728060.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-128_d-0p5_289be2f644a7.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-30_d-0p0_a9d31d298ed1.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-30_d-0p2_ec23e71a2c5c.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-30_d-0p5_f86d1e2e181b.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-64_d-0p0_e95f394c1690.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-64_d-0p2_663a6d1ceac0.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-false_n-max_k-64_d-0p5_20429ad3e487.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-10_d-0p0_5cccb18b3a99.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-10_d-0p2_c562a61fc1d6.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-10_d-0p5_3c57f2b86870.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-128_d-0p0_72b4d221f9b1.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-128_d-0p2_7272b4d72af2.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-128_d-0p5_9c9b451270a6.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-30_d-0p0_5c9f3ae8e1b1.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-30_d-0p2_5a79e2136069.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-30_d-0p5_71f019ca14f9.csv,3,3,0
default_flat,default,model/result/default_araf_flat/araf/araf_sae_beta_pre-max_n-max_k-64_d-0p0_f258535c8aaf.csv,3,3,0
