embedding_type,model_type,pre_join,n_join,j_join,ret_join,araf_latent_dim,araf_dropout,lambda_tau,artifact_path,seeds,mean_auc,mean_rmse,mean_knn_auc,mean_knn_rmse,mean_auc_diff_vs_knn,mean_rmse_diff_vs_knn,auc_wins_vs_knn,rmse_wins_vs_knn,missing_baseline_rows
pca,bernoulli,none,1,1.0,1.0,10,0.0,0.0155,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p0_ce31b6ccd2a5.csv,3,0.6836321574377607,0.40640961541852016,0.6319971439030047,0.41160447759566976,0.05163501353475608,-0.005194862177149577,2,2,0
pca,bernoulli,none,1,1.0,1.0,10,0.2,0.0155,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p2_d82d7d9e95e8.csv,3,0.6836069291640521,0.40642180049537263,0.6319971439030047,0.41160447759566976,0.0516097852610475,-0.005182677100297128,2,2,0
pca,bernoulli,none,1,1.0,1.0,10,0.5,0.0155,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-10_d-0p5_326a628fac56.csv,3,0.683504318980121,0.4064396143952929,0.6319971439030047,0.41160447759566976,0.05150717507711633,-0.0051648632003768275,2,2,0
pca,bernoulli,none,1,1.0,1.0,30,0.0,0.0155,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-30_d-0p0_875611ed83a0.csv,3,0.6855374926743326,0.4061266825951024,0.6319971439030047,0.41160447759566976,0.053540348771327996,-0.005477795000567369,3,2,0
pca,bernoulli,none,1,1.0,1.0,30,0.2,0.0155,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-30_d-0p2_cf63d1c542de.csv,3,0.6853388278965334,0.406153111954856,0.6319971439030047,0.41160447759566976,0.05334168399352882,-0.005451365640813795,3,2,0
pca,bernoulli,none,1,1.0,1.0,30,0.5,0.0155,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-30_d-0p5_87e5c04534e4.csv,3,0.6851571092315653,0.40619255407216587,0.6319971439030047,0.41160447759566976,0.053159965328560564,-0.005411923523503874,3,2,0
pca,bernoulli,none,1,1.0,1.0,64,0.0,0.0155,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-64_d-0p0_e935cc372277.csv,3,0.6838815409873839,0.4068128270917121,0.6319971439030047,0.41160447759566976,0.05188439708437934,-0.004791650503957634,2,1,0
pca,bernoulli,none,1,1.0,1.0,64,0.2,0.0155,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-64_d-0p2_f60f8eb67cd7.csv,3,0.6838098978140253,0.4068148369050196,0.6319971439030047,0.41160447759566976,0.05181275391102069,-0.00478964069065015,2,1,0
pca,bernoulli,none,1,1.0,1.0,64,0.5,0.0155,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-64_d-0p5_5041b029c7e0.csv,3,0.6838244098081097,0.4068138417223315,0.6319971439030047,0.41160447759566976,0.05182726590510504,-0.004790635873338296,2,1,0
pca,bernoulli,none,1,1.0,1.0,128,0.0,0.0155,model/result/default_araf_flat/araf/araf_pca_bernoulli_pre-false_n-1_k-128_d-0p0_6c4788d572a4.csv,3,0.6811939042105623,0.40730725656318323,0.6319971439030047,0.41160447759566976,0.04919676030755767,-0.004297221032486513,2,1,0
