train_auc,train_acc,test_auc,test_acc,final_epoch,active_dims,n_test_samples,n_train_samples,K_MODEL,lambda_tau,scenario,n_models,n_items
0.7934286505258593,0.7117204245895621,0.7885583984990339,0.7068179510610214,1999,50,196980,1773289,50,5,civil_comments,183,29407
0.7931719008008373,0.7114350791100604,0.7885326476493473,0.7066250380749315,1999,50,196980,1773289,50,15,civil_comments,183,29407
0.792976251528325,0.7113217304116813,0.7884777520824221,0.7068230277185501,1999,50,196980,1773289,50,25,civil_comments,183,29407
0.792894405649868,0.7111846969106559,0.7884671762075912,0.706889024266423,1999,50,196980,1773289,50,30,civil_comments,183,29407
0.7926397112707196,0.7110769874510021,0.7884286459903119,0.7070260940196974,1999,50,196980,1773289,50,40,civil_comments,183,29407
0.792937679891693,0.7111576285647743,0.7884273382035873,0.7070717839374556,1999,99,196980,1773289,100,25,civil_comments,183,29407
0.792746670479531,0.7110053691191904,0.7883668081062565,0.7070768605949843,1999,94,196980,1773289,100,30,civil_comments,183,29407
0.7927788509963545,0.7112095095610473,0.7883022870902974,0.7068433343486649,1999,50,196980,1773289,50,20,civil_comments,183,29407
0.7924002715098246,0.710751039452678,0.7882946061858341,0.7069144075540664,1999,49,196980,1773289,50,50,civil_comments,183,29407
0.792417292601004,0.7108350641096854,0.7882776650621421,0.7068941009239517,1999,84,196980,1773289,100,40,civil_comments,183,29407
0.7921496544509243,0.7106179534187603,0.7881807025799066,0.7068839476088943,1999,72,196980,1773289,100,50,civil_comments,183,29407
0.7922357601555979,0.7106202091142504,0.7879248973326255,0.7065641181845873,1960,100,196980,1773289,100,5,civil_comments,183,29407
0.7917083571638313,0.7101386181271073,0.7878696649052692,0.7063001319930957,1999,46,196980,1773289,100,80,civil_comments,183,29407
0.7917608499212843,0.7102384326525456,0.787833601166919,0.706584424814702,1999,47,196980,1773289,50,75,civil_comments,183,29407
0.7916641934279468,0.710038803601669,0.7877803403075153,0.7062239821301655,1999,47,196980,1773289,50,80,civil_comments,183,29407
0.7914718556974057,0.7099435004672109,0.7877021590238404,0.7063559752259113,1999,42,196980,1773289,100,100,civil_comments,183,29407
0.7917741400196443,0.7103726465342085,0.7876758761966233,0.7063965884861407,1999,48,196980,1773289,100,75,civil_comments,183,29407
0.7922052629807332,0.709327695598405,0.7874616354989503,0.7046603716113311,1999,99,196980,1773289,100,20,civil_comments,183,29407
0.7911743783783269,0.7097354125582462,0.7874311532278521,0.7061630622398213,1520,50,196980,1773289,50,100,civil_comments,183,29407
0.7853602936773177,0.690748659693936,0.780680638484017,0.684891867194639,1999,100,196980,1773289,100,15,civil_comments,183,29407
