seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt
0,beta,1,32,0.7,raw,2,0.4549926382821183,0.5928421152164149
0,beta,1,32,0.7,raw,3,0.4550181173291237,0.5587074202775216
0,beta,1,32,0.7,raw,4,0.4550257640398153,0.5499137177032362
0,beta,1,32,0.7,raw,5,0.454655545216239,0.5667092168404132
0,beta,1,32,0.7,raw,6,0.4546536606718769,0.5868378129210694
0,beta,1,32,0.7,raw,7,0.4546077737027772,0.5818027090277286
0,beta,1,32,0.7,raw,8,0.4537645627672012,0.5839893151785924
0,beta,1,32,0.7,raw,9,0.4533187024680838,0.585809517055528
0,beta,1,32,0.7,raw,10,0.4535710342821739,0.5832565066307354
0,beta,1,32,0.7,raw,11,0.4529422029556645,0.5661537006831667
3,beta,1,32,0.7,raw,2,0.4504365584944678,0.6350810341501062
0,beta,1,32,0.7,raw,12,0.4522420073678597,0.5874406070491454
39,beta,1,32,0.7,raw,2,0.4354335312414013,0.6305603763244428
43,beta,1,32,0.7,raw,2,0.4421807810943532,0.6325746965452846
3,beta,1,32,0.7,raw,3,0.4485708124932752,0.6279664287092417
17,beta,1,32,0.7,raw,2,0.4521684250831979,0.5315489777087077
0,beta,1,32,0.7,raw,13,0.4536031633609891,0.5746164574616457
39,beta,1,32,0.7,raw,3,0.4359757403210537,0.6174187066130801
43,beta,1,32,0.7,raw,3,0.4412982606026285,0.6378151260504202
3,beta,1,32,0.7,raw,4,0.4489463311853205,0.6314875554698052
17,beta,1,32,0.7,raw,3,0.4521386493587362,0.552541158758681
13,beta,1,32,0.7,raw,2,0.4477076116526192,0.6323325358851675
0,beta,1,32,0.7,raw,14,0.4519888841466942,0.5882088740751247
39,beta,1,32,0.7,raw,4,0.4337617875017341,0.6324785348922177
43,beta,1,32,0.7,raw,4,0.4416232461848608,0.6243930905695612
3,beta,1,32,0.7,raw,5,0.447965099983793,0.6348036851244453
17,beta,1,32,0.7,raw,4,0.4521166005470988,0.5429010247195376
39,beta,1,32,0.7,raw,5,0.4328417399751326,0.6421492510047497
0,beta,1,32,0.7,raw,15,0.4523075062886067,0.5810758102262251
13,beta,1,32,0.7,raw,3,0.448897255005095,0.6613157894736842
49,beta,1,32,0.7,raw,2,0.4460562635127159,0.5745780109489051
43,beta,1,32,0.7,raw,5,0.441307343736344,0.6221055088702148
3,beta,1,32,0.7,raw,6,0.4483273660015677,0.6226123866486591
17,beta,1,32,0.7,raw,5,0.4521615209808098,0.5324656403282988
39,beta,1,32,0.7,raw,6,0.4334600603355926,0.6459170624771647
0,beta,1,32,0.7,raw,16,0.4521961228208247,0.5757747677469683
13,beta,1,32,0.7,raw,4,0.4498229565970628,0.6305741626794258
49,beta,1,32,0.7,raw,3,0.4451288212540122,0.589290602189781
43,beta,1,32,0.7,raw,6,0.4400388755747147,0.6322128851540616
3,beta,1,32,0.7,raw,7,0.4483550019091668,0.62771319699016
17,beta,1,32,0.7,raw,6,0.4520796523698764,0.5671409839250158
39,beta,1,32,0.7,raw,7,0.432298150837385,0.6320560833028863
0,beta,1,32,0.7,raw,17,0.4529810051840879,0.5648653759780631
13,beta,1,32,0.7,raw,5,0.4502592724031198,0.6247129186602871
49,beta,1,32,0.7,raw,4,0.4456689478803459,0.5884694343065694
43,beta,1,32,0.7,raw,7,0.439793230478942,0.623249299719888
2,beta,1,32,0.7,raw,2,0.456266219360303,0.5735482915267629
3,beta,1,32,0.7,raw,8,0.4462634189842756,0.6367571869573606
6,beta,1,32,0.7,raw,2,0.4493427271389264,0.5605525061825201
17,beta,1,32,0.7,raw,7,0.4521877197602534,0.5272691952794911
26,beta,1,32,0.7,raw,2,0.4435022266830919,0.5956612287400208
34,beta,1,32,0.7,raw,2,0.4509228931739225,0.5476429697996379
7,beta,1,32,0.7,raw,2,0.457304864474287,0.5803455696361828
9,beta,1,32,0.7,raw,2,0.464951590843322,0.4963639214172868
18,beta,1,32,0.7,raw,2,0.4582288814502455,0.5261206218619563
39,beta,1,32,0.7,raw,8,0.433490895624484,0.6300922542930216
37,beta,1,32,0.7,raw,2,0.4465500884203257,0.605588981154592
0,beta,1,32,0.7,raw,18,0.4517450366293778,0.5895681157364726
13,beta,1,32,0.7,raw,6,0.4480945452047175,0.6224342105263158
