seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max
46,beta,1,4,0.1,raw,0.5095666957623062,0.7319325351007604,0.4802182172418696,0.4743098345892882,0.5,0.6666666666666667,0.4285714285714286,0.7142857142857143,0.4419235810062575,0.7142857142857143,4,18,2,30
19,beta,1,4,0.1,raw,0.4773855918364497,0.5034528067195835,0.5038791323913235,0.4665199320154468,0.5,0.7083333333333333,0.3333333333333333,1.0,0.4528964551517822,0.7916666666666667,4,13,2,30
18,beta,1,4,0.1,raw,0.4907392660338092,0.609212878253482,0.4782490201681801,0.4846849065400126,0.5,0.75,0.4583333333333333,1.0,0.5241972974318954,0.6666666666666666,4,26,2,30
31,beta,1,4,0.1,raw,0.4775114773074969,0.565344558658731,0.5348873715967986,0.4754901766078213,0.5,0.75,0.4166666666666666,0.9166666666666669,0.5565372571837861,0.4166666666666666,4,6,2,30
35,beta,1,4,0.1,raw,0.4785647464374149,0.5196211314072259,0.5347327902879389,0.4725725556983651,0.5,0.4583333333333333,0.5833333333333334,0.8333333333333334,0.4439314122169949,0.7916666666666666,4,27,2,30
38,beta,1,4,0.1,raw,0.4413570950575803,0.5870848040791327,0.5074824214108311,0.4393164697734475,0.5,0.4583333333333333,0.625,0.8333333333333334,0.5475718826414901,0.1666666666666666,4,16,2,30
49,beta,1,4,0.1,raw,0.4268856250004754,0.3862251059525168,0.512968735219936,0.4141791377342293,0.5,0.1111111111111111,0.0,0.8888888888888888,0.4319754807690821,0.1111111111111111,4,3,2,30
2,beta,1,4,0.1,raw,0.3931570007933174,0.5250076826986667,0.485488104850337,0.3904890586819721,0.5,0.7142857142857142,0.7142857142857143,0.9523809523809524,0.4315963480752918,0.5714285714285714,4,4,2,30
15,beta,1,4,0.1,raw,0.4641246683369712,0.4598247221089369,0.5470822350354682,0.4579248576896735,0.5,0.4761904761904761,0.4761904761904761,0.9047619047619048,0.5474393929506376,0.1904761904761905,4,27,2,30
30,beta,1,4,0.1,raw,0.4714040800050349,0.5894539157465237,0.4782020475602597,0.469501734994439,0.5,0.5833333333333334,0.5416666666666666,0.9166666666666669,0.50557686122719,0.5,4,3,2,30
