seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max
6,beta,1,4,0.1,raw,0.4127464973998874,0.4325947637322206,0.4112600641555469,0.3984860222386076,0.5,0.8095238095238095,0.5714285714285714,0.8571428571428572,0.4443711989947082,0.6190476190476191,4,5,2,30
14,beta,1,4,0.1,raw,0.4673790752613769,0.6563366878111235,0.4657794926510086,0.4377619606216256,0.5,0.7142857142857144,0.9523809523809524,1.0,0.3875458282627593,0.7142857142857144,4,6,2,30
42,beta,1,4,0.1,raw,0.4080793384695066,0.52295639930732,0.4192930614510532,0.4031870993755753,0.5,0.1904761904761904,0.3333333333333333,0.9047619047619048,0.3500503444226405,0.9047619047619048,4,30,2,30
22,beta,1,4,0.1,raw,0.4724747963647188,0.5512317952028362,0.4783271729867893,0.465265467427111,0.5,0.375,0.4583333333333333,1.0,0.5394496356870598,0.4166666666666667,4,20,2,30
39,beta,1,4,0.1,raw,0.4712016840787271,0.6225722367530844,0.5454897365723436,0.4647159240382265,0.5,0.5599999999999999,0.5599999999999999,0.92,0.4534717909914893,0.64,4,17,2,30
8,beta,1,4,0.1,raw,0.511131240556608,0.7712253183901068,0.426783877347127,0.4897345316198118,0.5,0.3333333333333333,0.5555555555555556,1.0,0.5855416041283938,0.1111111111111111,4,7,2,30
47,beta,1,4,0.1,raw,0.4631910355267897,0.6400287691370637,0.475520887371393,0.4312635647672116,0.5,0.2916666666666666,0.8333333333333333,0.8333333333333334,0.3495201444502914,0.75,4,11,2,30
26,beta,1,4,0.1,raw,0.4714955351487669,0.6624340285436903,0.5636566244641117,0.4592747844971088,0.5,0.44,0.64,0.88,0.4409146229563152,0.6,4,10,2,30
34,beta,1,4,0.1,raw,0.4729134829101721,0.4913447294554822,0.4646120215084481,0.4680611635388469,0.5,0.5833333333333334,0.5833333333333334,0.8333333333333334,0.4170741909611705,0.9166666666666669,4,4,2,30
10,beta,1,4,0.1,raw,0.4835553001438755,0.5432774057545777,0.4844605923984362,0.4804626712569609,0.5,0.75,0.9166666666666669,1.0,0.4926602197614796,0.5,4,24,2,30
11,beta,1,4,0.1,raw,0.4745160234738464,0.4285605825175737,0.4156286382874451,0.4583557531624316,0.5,0.25,1.0,1.0,0.5832100522242492,0.5,4,20,2,30
24,beta,1,4,0.1,raw,0.5001369229234844,0.5201627865326471,0.6045775715268357,0.4963673715612854,0.5,0.64,0.36,0.8400000000000001,0.5799612833123401,0.36,4,10,2,30
7,beta,1,4,0.1,raw,0.5065092235508639,0.6947475238219201,0.4688603906981826,0.4908526044515553,0.5,0.4800000000000001,0.96,0.8800000000000001,0.4471933564682974,0.8,4,6,2,30
9,beta,1,4,0.1,raw,0.4908026938382364,0.5134963109051979,0.4915170644677268,0.4888630262160433,0.5,0.9166666666666669,0.4166666666666667,0.7916666666666667,0.499414369227226,0.6666666666666667,4,3,2,30
23,beta,1,4,0.1,raw,0.4695301398646581,0.488993940940912,0.4816546497638899,0.4683267271802263,0.5,0.5833333333333333,0.6666666666666666,0.75,0.4928797440500095,0.5,4,4,2,30
28,beta,1,4,0.1,raw,0.4362283174159843,0.5258049731407899,0.455102911671155,0.4319837423351618,0.5,0.5238095238095238,0.7619047619047619,0.9047619047619048,0.3348978277871804,0.9523809523809524,4,25,2,30
45,beta,1,4,0.1,raw,0.4214305125583205,0.5450489073866022,0.4219910320791246,0.4191326620548943,0.5,0.2857142857142857,0.4761904761904761,1.0,0.421133767740723,0.5714285714285714,4,9,2,30
20,beta,1,4,0.1,raw,0.4974068212710186,0.7038456932040708,0.4781101610960226,0.4753125480034858,0.5,0.52,0.52,0.88,0.4771569718524015,0.76,4,25,2,30
27,beta,1,4,0.1,raw,0.5135114295935502,0.6619703658924803,0.4498715177540621,0.4987502423383846,0.5,0.96,0.8400000000000001,0.92,0.4308667387207713,0.88,4,28,2,30
3,beta,1,4,0.1,raw,0.4622322583401696,0.5192107739497438,0.4755439191425246,0.45173560259855,0.5,0.5833333333333333,0.75,1.0,0.4060809627396964,0.7083333333333334,4,8,2,30
43,beta,1,4,0.1,raw,0.4712974942809088,0.5788157177353632,0.52556400203683,0.4588855880590238,0.5,0.6399999999999999,0.6000000000000001,0.96,0.4721384759191202,0.56,4,8,2,30
13,beta,1,4,0.1,raw,0.4953130150440318,0.6069644297149619,0.5100594912219273,0.4868659603567605,0.5,0.56,0.76,1.0,0.4838298375391823,0.6,4,6,2,30
40,beta,1,4,0.1,raw,0.4968714138117516,0.6697502027484947,0.6800270986066106,0.481030686058894,0.5,0.3199999999999999,0.1199999999999999,0.96,0.5271828299939092,0.6000000000000001,4,6,2,30
25,beta,1,4,0.1,raw,0.4490571436234057,0.6100675608789755,0.529930439378879,0.4469999498798248,0.5,0.4166666666666666,0.5833333333333334,0.8333333333333334,0.3665504204466269,0.875,4,13,2,30
29,beta,1,4,0.1,raw,0.4433421833217422,0.5158579906841944,0.4570120456931919,0.4398885138382442,0.5,0.3333333333333333,0.625,0.875,0.434336086972706,0.625,4,20,2,30
33,beta,1,4,0.1,raw,0.4429573219076539,0.6281017583845815,0.5467457754864116,0.4366861163999576,0.5,0.0833333333333333,0.875,0.9583333333333334,0.4743827938299021,0.5416666666666667,4,7,2,30
12,beta,1,4,0.1,raw,0.47200605896621,0.524166737916797,0.4809737149360859,0.4671380141213636,0.5,0.2083333333333333,0.5416666666666667,0.9166666666666669,0.3734944040844425,1.0,4,16,2,30
17,beta,1,4,0.1,raw,0.5218566537247747,0.732568182001599,0.3587277430099901,0.4680224494501474,0.5,0.5,0.5,0.5,0.3884428873708961,0.5,4,9,2,30
5,beta,1,4,0.1,raw,0.4690415588268761,0.5418894352469629,0.606662434949194,0.4686400443496289,0.5,0.625,0.5833333333333333,0.8333333333333333,0.3622020154386126,0.875,4,3,2,30
21,beta,1,4,0.1,raw,0.4846239219448879,0.6644308975691157,0.5599156989779851,0.4689961422942545,0.5,0.6000000000000001,0.3199999999999999,1.0,0.5136840006626386,0.4,4,24,2,30
41,beta,1,4,0.1,raw,0.5049311247681795,0.6037661825503112,0.499568275986202,0.4766935262192857,0.5,0.8333333333333334,0.875,0.875,0.4267409122708409,0.75,4,3,2,30
44,beta,1,4,0.1,raw,0.4137250316784675,0.5586586227626934,0.4659673910447999,0.4115228682823209,0.5,0.7916666666666667,0.375,0.8333333333333334,0.4526104307308218,0.4166666666666667,4,22,2,30
48,beta,1,4,0.1,raw,0.4490251538615963,0.5965012503624447,0.4553590161421254,0.4393416030096554,0.5,0.4583333333333333,0.2083333333333333,0.875,0.4265088155870676,0.625,4,12,2,30
36,beta,1,4,0.1,raw,0.4277309957571102,0.5737334295967483,0.5769186579094887,0.423789431304307,0.5,0.1904761904761905,0.4285714285714285,0.9523809523809524,0.4202633910578749,0.7142857142857143,4,8,2,30
0,beta,1,4,0.1,raw,0.4546069706395811,0.5996691894518825,0.457420281359391,0.4456231723389457,0.5,0.4285714285714286,0.4761904761904762,0.9523809523809524,0.6547160841134806,0.0,4,21,2,30
4,beta,1,4,0.1,raw,0.4647229462414199,0.6007405648016425,0.5137682342077871,0.4557961296657899,0.5,0.4583333333333333,0.75,0.875,0.3566547144501895,0.9166666666666669,4,13,2,30
32,beta,1,4,0.1,raw,0.4266975936478053,0.4233300935003003,0.4114351225796882,0.4245518425196703,0.5,0.5,0.6666666666666666,0.8333333333333334,0.4011004970385777,0.625,4,25,2,30
1,beta,1,4,0.1,raw,0.4400342870758775,0.5884251493271053,0.4497427165134529,0.4376011629311017,0.5,0.5833333333333334,0.8333333333333334,0.8333333333333334,0.4166810529927343,0.625,4,2,2,30
37,beta,1,4,0.1,raw,0.4751402629005532,0.5016773223167743,0.4437654291076432,0.4653048752569289,0.5,0.6666666666666666,0.7142857142857143,0.9047619047619048,0.4663834916126205,0.6666666666666666,4,20,2,30
16,beta,1,4,0.1,raw,0.5179933429938316,0.6515937879995136,0.6589107614769381,0.4981929490041832,0.5,0.3333333333333333,0.4761904761904762,0.8095238095238095,0.5720868140510903,0.4285714285714285,4,5,2,30
34,beta,1,4,0.3,raw,0.4687933742800745,0.6335674068745981,0.4376353156773428,0.4546801419006855,0.5,0.3991596638655462,0.6596638655462185,0.7773109243697478,0.4329979041535574,0.6680672268907563,4,16,2,30
14,beta,1,4,0.3,raw,0.4773148242283959,0.6535426105188038,0.4742300456428445,0.4564746662800327,0.5,0.5,0.631578947368421,0.7039473684210525,0.455874813965743,0.5526315789473684,4,5,2,30
43,beta,1,4,0.3,raw,0.4863641717872573,0.5631030876308057,0.4915191259970398,0.4825481913519947,0.5,0.5877192982456141,0.5307017543859649,0.7302631578947368,0.4973125354728001,0.6228070175438597,4,9,2,30
18,beta,1,4,0.3,raw,0.414447101977103,0.4739375598952205,0.5169800956185325,0.4133719678224844,0.5,0.4572649572649573,0.3119658119658119,0.7393162393162394,0.4113227242516441,0.5598290598290598,4,13,2,30
16,beta,1,4,0.3,raw,0.4643044910066231,0.4632749933396056,0.4650785510309371,0.4659950200631337,0.5,0.5657894736842105,0.5482456140350878,0.6973684210526316,0.4765652046752223,0.6447368421052632,4,30,2,30
23,beta,1,4,0.3,raw,0.4558444794588665,0.4251003420407757,0.4660036378071784,0.4458958001211253,0.5,0.55,0.5181818181818182,0.7681818181818182,0.3593796024857073,0.85,4,23,2,30
3,beta,1,4,0.3,raw,0.4593092235521515,0.6198766046446739,0.4608909130799709,0.4503991747373013,0.5,0.6166666666666667,0.525,0.7625,0.3826266051492106,0.8666666666666667,4,15,2,30
33,beta,1,4,0.3,raw,0.4396925549463965,0.4576925888820455,0.404721925810347,0.4268096962123204,0.5,0.7010869565217391,0.6141304347826086,0.7663043478260869,0.4044612974034222,0.8097826086956521,4,15,2,30
42,beta,1,4,0.3,raw,0.4479449581112438,0.5637307477992057,0.4597192603160231,0.4441131536330195,0.5,0.6196581196581197,0.6324786324786325,0.7820512820512822,0.3979199919470141,0.7905982905982906,4,26,2,30
30,beta,1,4,0.3,raw,0.4436130890052052,0.4852753393238357,0.4472508990266484,0.4418944806683759,0.5,0.4649122807017544,0.4517543859649122,0.7280701754385965,0.4654116807560703,0.4298245614035088,4,3,2,30
12,beta,1,4,0.3,raw,0.4519611077687572,0.4994704750612173,0.4833287352584396,0.4414565977566806,0.5,0.6818181818181818,0.5227272727272727,0.7954545454545454,0.4492145206418177,0.65,4,4,2,30
27,beta,1,4,0.3,raw,0.4658389777516592,0.5147982529491992,0.4912690873356944,0.4601925309390757,0.5,0.5714285714285714,0.5428571428571429,0.819047619047619,0.4626420717859326,0.6047619047619048,4,27,2,30
21,beta,1,4,0.3,raw,0.4551035010339583,0.5035900632112,0.4684933436611962,0.4479563015398021,0.5,0.5630252100840336,0.4327731092436975,0.7142857142857143,0.4594590674568848,0.5504201680672269,4,21,2,30
7,beta,1,4,0.3,raw,0.4567452049097628,0.5552504731648167,0.4567884794833474,0.452166035847283,0.5,0.4912280701754386,0.4605263157894737,0.7850877192982455,0.448745843501486,0.6403508771929826,4,19,2,30
46,beta,1,4,0.3,raw,0.4594915307087392,0.5295350781007172,0.4503283355861698,0.4541844774247741,0.5,0.4090909090909091,0.5772727272727274,0.7636363636363637,0.4434487677037133,0.6045454545454545,4,8,2,30
11,beta,1,4,0.3,raw,0.4607231482258537,0.5259031044042385,0.4771501482551502,0.4571600512427964,0.5,0.4829059829059829,0.5427350427350428,0.7264957264957265,0.4507553522878653,0.6623931623931625,4,22,2,30
22,beta,1,4,0.3,raw,0.4606929712339382,0.5509011969936438,0.4569209202025704,0.4575749936679735,0.5,0.5427350427350427,0.5213675213675214,0.6837606837606838,0.4354146748212797,0.6837606837606838,4,13,2,30
13,beta,1,4,0.3,raw,0.481739751139621,0.4775197467915028,0.4847929136109664,0.4794121576403615,0.5,0.5708333333333333,0.4625,0.7208333333333334,0.5108330027728025,0.5083333333333333,4,20,2,30
47,beta,1,4,0.3,raw,0.4302303353226135,0.5079043965452241,0.4184626753614495,0.4254149339804389,0.5,0.6714285714285715,0.6428571428571429,0.7714285714285715,0.3767804160291192,0.7285714285714286,4,29,2,30
28,beta,1,4,0.3,raw,0.4632052225704636,0.4339696440441311,0.4344402161360869,0.4501164298964467,0.5,0.5818181818181818,0.5636363636363636,0.740909090909091,0.5206852766041488,0.5727272727272728,4,9,2,30
5,beta,1,4,0.3,raw,0.4519835597863136,0.4987424443803175,0.4434005617345074,0.4470270678402241,0.5,0.5454545454545455,0.6681818181818182,0.85,0.4703381971771931,0.55,4,26,2,30
2,beta,1,4,0.3,raw,0.4648933063666048,0.6233116472223703,0.5091537954802408,0.4636403864490092,0.5,0.3418803418803419,0.4957264957264957,0.7008547008547008,0.4580744062540088,0.6538461538461539,4,13,2,30
4,beta,1,4,0.3,raw,0.4377478510565872,0.4368844981927853,0.3993109684268599,0.4267502528727876,0.5,0.6318181818181818,0.6590909090909092,0.8181818181818181,0.4383855100709189,0.5727272727272728,4,26,2,30
32,beta,1,4,0.3,raw,0.4236590843795256,0.5376970440067301,0.4140221558115621,0.4160585336540534,0.5,0.3162393162393163,0.5042735042735043,0.7435897435897436,0.392111182671344,0.7136752136752137,4,3,2,30
38,beta,1,4,0.3,raw,0.4866466474933586,0.5689245082038598,0.4945294806522579,0.4848630814873628,0.5,0.4291666666666667,0.5041666666666667,0.6916666666666667,0.4937321478598099,0.5833333333333334,4,5,2,30
15,beta,1,4,0.3,raw,0.4633812215926086,0.517463268275644,0.4671010419016467,0.4623398219925048,0.5,0.5541666666666667,0.4375,0.6583333333333333,0.4462952895116127,0.6125,4,8,2,30
35,beta,1,4,0.3,raw,0.4543449323956134,0.5903661826882884,0.4680308865926997,0.4495478046857495,0.5,0.35,0.6125,0.7125,0.4620773639700422,0.5958333333333333,4,21,2,30
39,beta,1,4,0.3,raw,0.4629344677986104,0.6042877492480684,0.4712831872288495,0.4609016792473688,0.5,0.6622807017543859,0.4342105263157895,0.7105263157894737,0.3913294734006297,0.8991228070175438,4,13,2,30
0,beta,1,4,0.3,raw,0.4506192311196753,0.4593419893561787,0.5191591694363482,0.4491401105961729,0.5,0.4285714285714285,0.5798319327731092,0.76890756302521,0.4575523437979805,0.5378151260504201,4,10,2,30
9,beta,1,4,0.3,raw,0.481057217614927,0.5851281234439443,0.5288797684636877,0.4758570562145534,0.5,0.6333333333333333,0.5291666666666667,0.6958333333333333,0.4822429989454392,0.5375,4,8,2,30
10,beta,1,4,0.3,raw,0.4640741308276785,0.4505082902283129,0.4455751514508826,0.4537108021874294,0.5,0.5761904761904761,0.7000000000000001,0.7761904761904762,0.5025394740660813,0.5476190476190477,4,6,2,30
19,beta,1,4,0.3,raw,0.4599193546102341,0.6034915018044312,0.4562783193291007,0.4530096729447921,0.5,0.4625,0.4666666666666667,0.6749999999999999,0.4792233274656023,0.5375000000000001,4,14,2,30
6,beta,1,4,0.3,raw,0.4233108387374778,0.4597893818151929,0.4588312745923959,0.4195283864809765,0.5,0.6318181818181818,0.5272727272727273,0.7454545454545455,0.413480187257385,0.6954545454545455,4,21,2,30
40,beta,1,4,0.3,raw,0.4368167037161196,0.5802995406898234,0.4736623538528074,0.4346104464054016,0.5,0.4545454545454546,0.5409090909090909,0.6818181818181819,0.4692922793309883,0.4409090909090909,4,22,2,30
31,beta,1,4,0.3,raw,0.4218654278269706,0.5336852356884673,0.4299140506332544,0.4173436347735612,0.5,0.6092436974789917,0.3697478991596638,0.7226890756302521,0.4318399443800672,0.5672268907563025,4,28,2,30
25,beta,1,4,0.3,raw,0.4363984648067821,0.5274666819513545,0.5196616790651218,0.4273734115544289,0.5,0.6302521008403361,0.4453781512605042,0.7226890756302522,0.4051875747358143,0.680672268907563,4,10,2,30
48,beta,1,4,0.3,raw,0.4787955419079104,0.6027763307596038,0.4580775128586327,0.4669311202712112,0.5,0.6291666666666667,0.5708333333333333,0.7166666666666667,0.4556748076217227,0.6291666666666667,4,20,2,30
49,beta,1,4,0.3,raw,0.4731930136076589,0.6462739907539452,0.426032805719853,0.4554777559989833,0.5,0.6916666666666667,0.5791666666666666,0.7166666666666667,0.4223176788231585,0.7375,4,11,2,30
17,beta,1,4,0.3,raw,0.439187864142479,0.5785605362299105,0.4265683624367765,0.4313205723445876,0.5,0.5249999999999999,0.6333333333333333,0.7625,0.4507371203211032,0.6,4,6,2,30
26,beta,1,4,0.3,raw,0.4618831890345533,0.6071123272769174,0.4950746897981139,0.4593854085560487,0.5,0.5168067226890757,0.7352941176470589,0.7941176470588235,0.4492917374735224,0.6722689075630253,4,22,2,30
44,beta,1,4,0.3,raw,0.4572152313562165,0.6868523451494118,0.4690268970272003,0.4391890007591636,0.5,0.6638655462184874,0.4495798319327731,0.73109243697479,0.4128159526764308,0.680672268907563,4,13,2,30
20,beta,1,4,0.3,raw,0.4550853122913106,0.5573878041944217,0.4756454649844677,0.4491744973320472,0.5,0.7564102564102564,0.5641025641025641,0.7435897435897436,0.4638995189441819,0.576923076923077,4,16,2,30
29,beta,1,4,0.3,raw,0.4415353063105054,0.4363147655002567,0.4378144973066734,0.4359098213733733,0.5,0.3714285714285714,0.2714285714285714,0.7952380952380953,0.4638896254081869,0.6142857142857142,4,13,2,30
45,beta,1,4,0.3,raw,0.4779272081741856,0.6373300718582503,0.4655737394240337,0.4693491444533277,0.5,0.7208333333333333,0.5375,0.7083333333333334,0.4722313350222065,0.5874999999999999,4,13,2,30
8,beta,1,4,0.3,raw,0.4650525978294303,0.5138514099830762,0.5372752817719157,0.4502497079552821,0.5,0.5394736842105263,0.631578947368421,0.7543859649122807,0.3815370838969996,0.8245614035087719,4,19,2,30
41,beta,1,4,0.3,raw,0.4697345566416294,0.4840082195033298,0.4502528685478915,0.4602350928437452,0.5,0.7571428571428571,0.5428571428571429,0.819047619047619,0.4339216727791022,0.7285714285714286,4,14,2,30
37,beta,1,4,0.3,raw,0.4674690387030545,0.6094257138008143,0.4668984083259236,0.4608102396489601,0.5,0.5714285714285714,0.5546218487394957,0.7857142857142857,0.4788414138042877,0.5378151260504203,4,15,2,30
36,beta,1,4,0.3,raw,0.4670929867373316,0.5487612483320726,0.4803908215105316,0.4628047622044123,0.5,0.6470588235294118,0.5966386554621849,0.7394957983193277,0.4844835836465757,0.5798319327731092,4,30,2,30
1,beta,1,4,0.3,raw,0.4146417668471301,0.5151992253713086,0.4158864783470761,0.4102875998757657,0.5,0.4166666666666667,0.2807017543859649,0.7192982456140351,0.4103759722051802,0.6447368421052632,4,30,2,30
24,beta,1,4,0.3,raw,0.4641086632472973,0.4793375235857651,0.4579516703799159,0.4591369050806528,0.5,0.4912280701754385,0.6271929824561404,0.6535087719298246,0.4651836787226645,0.6359649122807018,4,29,2,30
30,beta,1,4,0.5,raw,0.46195575614656,0.5460765732231753,0.4675898022257168,0.4591612292514144,0.5,0.5929339477726574,0.4208909370199693,0.6651305683563749,0.4488150897677124,0.5806451612903226,4,18,2,30
3,beta,1,4,0.5,raw,0.4335814121999758,0.5200361795402094,0.4222913735979465,0.4281613905260983,0.5,0.4950980392156863,0.6225490196078431,0.6993464052287582,0.452912988062884,0.5849673202614378,4,11,2,30
36,beta,1,4,0.5,raw,0.4592458751100746,0.668209969315922,0.4466801772221264,0.4461330750563737,0.5,0.5699404761904763,0.6130952380952381,0.6994047619047619,0.4167737902582722,0.7172619047619048,4,2,2,30
14,beta,1,4,0.5,raw,0.4397602618648262,0.5303807720775588,0.4462551212551199,0.4332837035876252,0.5,0.4767616191904048,0.568215892053973,0.7316341829085458,0.4663790345039174,0.5382308845577212,4,11,2,30
11,beta,1,4,0.5,raw,0.4812633487782212,0.5203294287324712,0.4713580217432122,0.4753955405113593,0.5,0.4035087719298245,0.6140350877192983,0.6786283891547049,0.5094438026627095,0.6092503987240829,4,27,2,30
46,beta,1,4,0.5,raw,0.461566657303959,0.6043295202333088,0.4479414984746955,0.4549337657466531,0.5,0.623688155922039,0.5502248875562219,0.7871064467766118,0.4592885896286143,0.5982008995502248,4,13,2,30
6,beta,1,4,0.5,raw,0.4774160402191432,0.5445744764118053,0.4724856297260507,0.4746832142599383,0.5,0.5059523809523809,0.5610119047619049,0.6264880952380952,0.4993627928434205,0.5252976190476191,4,12,2,30
7,beta,1,4,0.5,raw,0.4688175788485285,0.6393533040352798,0.470075101280029,0.4621849959114131,0.5,0.5970370370370371,0.44,0.728888888888889,0.4333776158698668,0.7288888888888889,4,28,2,30
38,beta,1,4,0.5,raw,0.4445777654194892,0.4850795144595574,0.469044926369446,0.4438729861242512,0.5,0.5362962962962963,0.365925925925926,0.6251851851851852,0.4737234441817917,0.4740740740740741,4,15,2,30
43,beta,1,4,0.5,raw,0.4550613924151064,0.6122879196377694,0.4342679804415961,0.4400311716102805,0.5,0.7083333333333333,0.5863095238095238,0.6607142857142857,0.4185635621397871,0.6339285714285714,4,23,2,30
4,beta,1,4,0.5,raw,0.4517882954051481,0.6424999711300142,0.4269752734024528,0.4354470827196134,0.5,0.5550595238095238,0.5119047619047619,0.6666666666666667,0.423203847967963,0.625,4,3,2,30
10,beta,1,4,0.5,raw,0.4399165105179306,0.5269393500584143,0.4422069646372698,0.4370771817240217,0.5,0.3958020989505247,0.4482758620689655,0.6761619190404797,0.4276631265463014,0.6371814092953523,4,15,2,30
16,beta,1,4,0.5,raw,0.4719626957832725,0.6218236556973901,0.475831346426967,0.4630244419771136,0.5,0.5303703703703704,0.3377777777777778,0.6429629629629631,0.4471422216763675,0.6785185185185186,4,3,2,30
34,beta,1,4,0.5,raw,0.4578052389981702,0.5308654739894082,0.4855939233132604,0.4544725768772727,0.5,0.4925595238095238,0.5163690476190477,0.7261904761904762,0.4667709215682404,0.5208333333333334,4,29,2,30
49,beta,1,4,0.5,raw,0.4789865006483824,0.6348156014355697,0.4682022072821091,0.4697258011460826,0.5,0.5547337278106509,0.4127218934911242,0.680473372781065,0.4649095568838357,0.6346153846153846,4,14,2,30
22,beta,1,4,0.5,raw,0.4929307291207454,0.6393520920901602,0.46135862154377,0.4805571001900243,0.5,0.5232383808095953,0.6581709145427286,0.6371814092953524,0.4490278087003312,0.7241379310344828,4,29,2,30
19,beta,1,4,0.5,raw,0.4668448994085701,0.6130462487806883,0.4749028903425406,0.4582238247123471,0.5,0.5762962962962963,0.6133333333333334,0.7437037037037038,0.4432719644428479,0.6414814814814815,4,3,2,30
27,beta,1,4,0.5,raw,0.4356397179151894,0.4875932805976449,0.4989527971468928,0.4326403506172487,0.5,0.519327731092437,0.2857142857142857,0.6369747899159665,0.4130271707491946,0.7882352941176471,4,28,2,30
35,beta,1,4,0.5,raw,0.4371452937227439,0.4055738507659268,0.4089268561051791,0.4272465297151793,0.5,0.609375,0.5277777777777778,0.767361111111111,0.4858448890922464,0.5729166666666667,4,28,2,30
42,beta,1,4,0.5,raw,0.4418682954703127,0.4828975509988677,0.4329775306254584,0.4338072002248188,0.5,0.580542264752791,0.5550239234449761,0.7272727272727272,0.3870945270358382,0.7799043062200957,4,2,2,30
18,beta,1,4,0.5,raw,0.4757833208311518,0.5098707594923141,0.4982543214092822,0.468426624652826,0.5,0.5762962962962963,0.5392592592592593,0.7525925925925926,0.4572747877680139,0.6888888888888889,4,14,2,30
24,beta,1,4,0.5,raw,0.4756894478763669,0.5397391840446055,0.4714346460445416,0.4717446671423527,0.5,0.534375,0.4921874999999999,0.6187499999999999,0.4665804085740616,0.6625,4,17,2,30
23,beta,1,4,0.5,raw,0.440014374807019,0.4264113112862514,0.5273554482751942,0.4274660078555171,0.5,0.3680555555555556,0.5277777777777777,0.6979166666666667,0.4418581278438133,0.6354166666666667,4,6,2,30
39,beta,1,4,0.5,raw,0.4245260618396156,0.524973906141041,0.4100337981040294,0.4133482476717447,0.5,0.6482334869431644,0.6620583717357911,0.685099846390169,0.4064328809062419,0.7081413210445469,4,3,2,30
15,beta,1,4,0.5,raw,0.4758156568241361,0.561847255051478,0.4980200666804564,0.4728373031010322,0.5,0.5112443778110944,0.5592203898050975,0.7376311844077961,0.4308768544667627,0.7376311844077962,4,29,2,30
31,beta,1,4,0.5,raw,0.4636255538414645,0.5252539588129029,0.4435925815643476,0.4576035690072152,0.5,0.631184407796102,0.5982008995502248,0.6686656671664168,0.4256064204783536,0.679160419790105,4,22,2,30
2,beta,1,4,0.5,raw,0.4591991327955866,0.585240878210472,0.4512860372529931,0.455910457700703,0.5,0.5742424242424242,0.4696969696969697,0.6848484848484849,0.4639184220780293,0.5712121212121212,4,22,2,30
26,beta,1,4,0.5,raw,0.47598470775599,0.5730133379670396,0.4739672866087419,0.4742627703174488,0.5,0.44375,0.4859375,0.6203125,0.4857196141524715,0.6171875,4,17,2,30
47,beta,1,4,0.5,raw,0.4307471820088209,0.5591364005359487,0.4612805657739309,0.4267646387457751,0.5,0.5060606060606061,0.593939393939394,0.7196969696969697,0.3983221261025367,0.6772727272727272,4,24,2,30
28,beta,1,4,0.5,raw,0.4601589351763528,0.5281660662152404,0.4930785605461952,0.4577017047901588,0.5,0.522962962962963,0.4533333333333333,0.6903703703703704,0.474810381109449,0.5125925925925927,4,12,2,30
21,beta,1,4,0.5,raw,0.4589022299123199,0.504212840648218,0.4743452082641148,0.4551921423324778,0.5,0.3881481481481481,0.6355555555555554,0.6903703703703703,0.4537766145094143,0.6237037037037036,4,13,2,30
