seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,max,1.0,raw,,,,,,,,,0.4115775776550956,0.7288634986702083,max,,,,
1,beta,1,max,1.0,raw,,,,,,,,,0.4131200970172657,0.714263791863571,max,,,,
2,beta,1,max,1.0,raw,,,,,,,,,0.4024543425034365,0.7185737930260612,max,,,,
3,beta,1,max,1.0,raw,,,,,,,,,0.4085265525571734,0.7238636084122494,max,,,,
4,beta,1,max,1.0,raw,,,,,,,,,0.4120234539985526,0.7223912623502787,max,,,,
5,beta,1,max,1.0,raw,,,,,,,,,0.3794827352574685,0.7553631508448043,max,,,,
6,beta,1,max,1.0,raw,,,,,,,,,0.4180141852095998,0.6993952337806159,max,,,,
7,beta,1,max,1.0,raw,,,,,,,,,0.3781628542465958,0.7951839673693979,max,,,,
8,beta,1,max,1.0,raw,,,,,,,,,0.4049931303666147,0.7302983471834806,max,,,,
9,beta,1,max,1.0,raw,,,,,,,,,0.3979072595486289,0.7406765988018119,max,,,,
10,beta,1,max,1.0,raw,,,,,,,,,0.4028473822240773,0.7244088245681051,max,,,,
11,beta,1,max,1.0,raw,,,,,,,,,0.4120198374018643,0.7300390738532591,max,,,,
12,beta,1,max,1.0,raw,,,,,,,,,0.3940900847712468,0.7554440402823736,max,,,,
13,beta,1,max,1.0,raw,,,,,,,,,0.4030414938377994,0.7446506309355521,max,,,,
14,beta,1,max,1.0,raw,,,,,,,,,0.4305708734631429,0.6643778741295494,max,,,,
15,beta,1,max,1.0,raw,,,,,,,,,0.4143025404233248,0.7197200876998808,max,,,,
16,beta,1,max,1.0,raw,,,,,,,,,0.4031773607123059,0.7337774101973759,max,,,,
17,beta,1,max,1.0,raw,,,,,,,,,0.4131014304716451,0.7324039780521262,max,,,,
18,beta,1,max,1.0,raw,,,,,,,,,0.3981347523307765,0.765941730365835,max,,,,
19,beta,1,max,1.0,raw,,,,,,,,,0.4033338900074913,0.7206991210184062,max,,,,
20,beta,1,max,1.0,raw,,,,,,,,,0.3975693650872578,0.7197851502786857,max,,,,
21,beta,1,max,1.0,raw,,,,,,,,,0.4126035610882479,0.7090637730018261,max,,,,
22,beta,1,max,1.0,raw,,,,,,,,,0.42095778681885,0.6951742901346604,max,,,,
23,beta,1,max,1.0,raw,,,,,,,,,0.4019442491505999,0.7158993389461265,max,,,,
24,beta,1,max,1.0,raw,,,,,,,,,0.4138129760031936,0.699850075979594,max,,,,
25,beta,1,max,1.0,raw,,,,,,,,,0.4253686252926804,0.6684880086860543,max,,,,
26,beta,1,max,1.0,raw,,,,,,,,,0.4189031086184604,0.6909165012733942,max,,,,
27,beta,1,max,1.0,raw,,,,,,,,,0.435057960107344,0.6602790425699961,max,,,,
28,beta,1,max,1.0,raw,,,,,,,,,0.4144875486065961,0.7269340991588632,max,,,,
29,beta,1,max,1.0,raw,,,,,,,,,0.4043673578274241,0.7363839049373642,max,,,,
30,beta,1,max,1.0,raw,,,,,,,,,0.4309869364708089,0.7016815810844578,max,,,,
31,beta,1,max,1.0,raw,,,,,,,,,0.3787346677540985,0.7696137302289415,max,,,,
32,beta,1,max,1.0,raw,,,,,,,,,0.4248485674064109,0.6710312369265096,max,,,,
33,beta,1,max,1.0,raw,,,,,,,,,0.405775581793256,0.7293320080903594,max,,,,
34,beta,1,max,1.0,raw,,,,,,,,,0.4000072039015089,0.7387527583113073,max,,,,
35,beta,1,max,1.0,raw,,,,,,,,,0.387478073330377,0.7714758495432512,max,,,,
36,beta,1,max,1.0,raw,,,,,,,,,0.4219190963022425,0.6972373429084381,max,,,,
37,beta,1,max,1.0,raw,,,,,,,,,0.4034079024777265,0.7328465147245534,max,,,,
38,beta,1,max,1.0,raw,,,,,,,,,0.4039422474800104,0.7136234339930013,max,,,,
39,beta,1,max,1.0,raw,,,,,,,,,0.3836135462918348,0.7586866933848613,max,,,,
40,beta,1,max,1.0,raw,,,,,,,,,0.3970570116869201,0.7325322473743244,max,,,,
41,beta,1,max,1.0,raw,,,,,,,,,0.4103118782881292,0.7150374582487168,max,,,,
42,beta,1,max,1.0,raw,,,,,,,,,0.4115599816548687,0.7215341368242879,max,,,,
43,beta,1,max,1.0,raw,,,,,,,,,0.4108398553563999,0.7215867152464482,max,,,,
44,beta,1,max,1.0,raw,,,,,,,,,0.4147251512787842,0.6852894524692216,max,,,,
45,beta,1,max,1.0,raw,,,,,,,,,0.3929492088601142,0.7459844330178512,max,,,,
46,beta,1,max,1.0,raw,,,,,,,,,0.4046985823538825,0.7340518727022061,max,,,,
47,beta,1,max,1.0,raw,,,,,,,,,0.3801083716406206,0.773942445883591,max,,,,
48,beta,1,max,1.0,raw,,,,,,,,,0.4409518308088293,0.6309766371892925,max,,,,
49,beta,1,max,1.0,raw,,,,,,,,,0.4160914642981715,0.7238855235953426,max,,,,
