n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,28,0.002,94,0.6532116672745253,0.64,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.960344076156616, 4.0006513595581055, 3.8130695819854736, 4.319733142852783, 3.711061477661133, 3.9709272384643555, 4.04412317276001, 4.065797328948975, 3.8328323364257812, 3.9409310817718506, 4.1847920417785645, 3.857642889022827, 3.9884700775146484, 3.8476202487945557, 4.110513687133789, 3.8835561275482178, 3.8098626136779785, 3.9216065406799316, 4.2211432456970215, 3.9274096488952637, 3.9541468620300293, 3.905626058578491, 4.12820291519165, 3.965027332305908, 3.920825481414795, 4.243382453918457, 3.9909305572509766, 4.095439434051514, 4.003081798553467, 4.114489555358887]",sae,Pre-4
1,beta,6,0.004,94,0.6528766305849418,0.5,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.63538122177124, 4.616479396820068, 4.694527626037598, 4.67066764831543, 4.588223457336426, 4.682738304138184, 4.725583553314209, 4.594657897949219, 4.633224964141846, 4.695486545562744, 4.698938846588135, 4.538532257080078, 4.598353385925293, 4.711289405822754, 4.630062580108643, 4.473351955413818, 4.6922478675842285, 4.668575286865234, 4.749019622802734, 4.647531032562256, 4.728879928588867, 4.7690253257751465, 4.6120147705078125, 4.7000250816345215, 4.656728744506836, 4.647148132324219, 4.64393949508667, 4.647214889526367, 4.719487190246582, 4.743617057800293]",sae,Pre-4
1,beta,44,0.016,94,0.6220426208943945,0.2916666666666667,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.043074607849121, 4.037220478057861, 4.20747709274292, 4.276012897491455, 3.9600603580474854, 4.279232025146484, 4.215447902679443, 4.248050212860107, 4.00603723526001, 4.058421611785889, 4.026707649230957, 4.052003383636475, 4.182951927185059, 4.235998630523682, 4.11209774017334, 4.2585344314575195, 4.225739002227783, 4.1040496826171875, 4.189865589141846, 4.279546737670898, 4.010693550109863, 4.1089558601379395, 4.108421325683594, 4.068807601928711, 4.140700817108154, 4.155867099761963, 4.1608123779296875, 4.165241718292236, 3.961890935897827, 4.04505729675293]",sae,Pre-4
1,beta,22,0.018,94,0.5976920023677467,0.5416666666666667,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.611205101013184, 4.625955104827881, 4.6500935554504395, 4.592052936553955, 4.6320390701293945, 4.63137149810791, 4.649840354919434, 4.761813163757324, 4.704559326171875, 4.534104347229004, 4.71182918548584, 4.629281044006348, 4.745960712432861, 4.694914817810059, 4.667600154876709, 4.737854957580566, 4.615270614624023, 4.687380790710449, 4.635779857635498, 4.616124629974365, 4.432338237762451, 4.616918087005615, 4.589239597320557, 4.55670166015625, 4.642933368682861, 4.641092777252197, 4.679585933685303, 4.672094821929932, 4.71058988571167, 4.643710136413574]",sae,Pre-4
1,beta,12,0.005,94,0.4719324323301008,0.7083333333333334,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.572129726409912, 4.6354570388793945, 4.5409650802612305, 4.4333672523498535, 4.622401237487793, 4.625792980194092, 4.663857936859131, 4.487968921661377, 4.5361833572387695, 4.676743984222412, 4.7150163650512695, 4.526425361633301, 4.5489678382873535, 4.719247341156006, 4.693575382232666, 4.517279624938965, 4.557862281799316, 4.623111248016357, 4.640594959259033, 4.761241912841797, 4.614800930023193, 4.498696804046631, 4.63946533203125, 4.592677593231201, 4.545392990112305, 4.679976940155029, 4.5684733390808105, 4.591941833496094, 4.578383445739746, 4.65048360824585]",sae,Pre-4
1,beta,4,0.0155,94,0.583136232887336,0.4375,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.158749580383301, 4.129836559295654, 4.0525712966918945, 4.128643035888672, 4.202445030212402, 4.155201435089111, 4.167166709899902, 4.136363506317139, 4.138031005859375, 4.010350704193115, 4.095268249511719, 3.898200511932373, 4.016353130340576, 4.0619025230407715, 4.072055339813232, 4.142238616943359, 4.122087001800537, 4.15993070602417, 4.102154731750488, 4.170021057128906, 4.120062828063965, 4.053256034851074, 4.095922470092773, 4.181545734405518, 4.138147830963135, 4.091582775115967, 4.1754279136657715, 4.048896789550781, 4.015781402587891, 4.055543422698975]",sae,Pre-4
1,beta,32,0.0155,94,0.5266594296674422,0.6666666666666667,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.3426618576049805, 4.098329067230225, 4.104011058807373, 4.1927714347839355, 4.237633228302002, 4.18061637878418, 4.256810188293457, 4.342751502990723, 4.1940598487854, 4.168038368225098, 4.281727313995361, 4.252326965332031, 4.235689640045166, 4.211374759674072, 4.358977317810059, 4.199549198150635, 4.2113871574401855, 4.315031051635742, 4.244498252868652, 4.292727470397949, 4.254602432250977, 4.209885120391846, 4.26458740234375, 4.184177875518799, 4.360474109649658, 4.221808910369873, 4.1062116622924805, 4.210694789886475, 4.214291095733643, 4.346278667449951]",sae,Pre-4
1,beta,40,0.005,94,0.516920571722597,0.6666666666666667,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.818343162536621, 4.732632160186768, 4.808654308319092, 4.948245048522949, 4.837947845458984, 4.748197555541992, 4.8769121170043945, 4.842639923095703, 4.7926411628723145, 4.8917741775512695, 4.719836235046387, 4.891971588134766, 4.7988786697387695, 4.770020008087158, 4.96449089050293, 4.926400184631348, 4.898613929748535, 4.9240617752075195, 4.819047927856445, 4.821335315704346, 4.748933792114258, 4.7870612144470215, 4.882629871368408, 4.910081386566162, 4.85833740234375, 4.889607906341553, 4.8440937995910645, 4.966947078704834, 4.816932201385498, 4.853158473968506]",sae,Pre-4
1,beta,24,0.008,97,0.5343927659321743,0.7916666666666666,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.8406596183776855, 4.824807167053223, 4.755605220794678, 4.644489288330078, 4.7920403480529785, 4.637651443481445, 4.919968605041504, 4.752854347229004, 4.671916484832764, 4.6024699211120605, 4.835421562194824, 4.768861293792725, 4.838879108428955, 4.665285110473633, 4.7339911460876465, 4.726386070251465, 4.73428201675415, 4.731605529785156, 4.728362083435059, 4.852620601654053, 4.628489971160889, 4.721865653991699, 4.765285015106201, 4.690134048461914, 4.5827107429504395, 4.852365016937256, 4.653519153594971, 4.766796588897705, 4.716300964355469, 4.718223571777344]",sae,Pre-4
1,beta,10,0.0159,94,0.6232808549697554,0.52,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.343857288360596, 4.373429775238037, 4.298182964324951, 4.320009231567383, 4.38614559173584, 4.327882766723633, 4.270506858825684, 4.23577356338501, 4.167480945587158, 4.429799556732178, 4.219390392303467, 4.298501491546631, 4.26653528213501, 4.30596923828125, 4.428488254547119, 4.143453121185303, 4.3307785987854, 4.24562931060791, 4.4242472648620605, 4.33695650100708, 4.189338207244873, 4.209920406341553, 4.288291931152344, 4.3096466064453125, 4.309625625610352, 4.343989372253418, 4.378937244415283, 4.343376159667969, 4.278048992156982, 4.348979473114014]",sae,Pre-4
1,beta,36,0.012,94,0.5498577519179009,0.5833333333333333,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[4.580032825469971, 4.643339157104492, 4.449684143066406, 4.61233377456665, 4.500146389007568, 4.50892448425293, 4.655769348144531, 4.502841472625732, 4.610139846801758, 4.648873329162598, 4.4967732429504395, 4.6476287841796875, 4.5795464515686035, 4.61297607421875, 4.625749588012695, 4.509458065032959, 4.654757976531982, 4.525471210479736, 4.674253463745117, 4.5798139572143555, 4.648357391357422, 4.457101345062256, 4.652750015258789, 4.651358127593994, 4.647992134094238, 4.68380880355835, 4.559943675994873, 4.6516313552856445, 4.5269975662231445, 4.586880207061768]",sae,Pre-4
