seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,observed_train_pairs,auc_knn,rmse_knn,auc_araf,rmse_araf
0,0.002,1,bernoulli,4,0.1,sae,raw,94,0.2083333333333333,0.5018649487658748,0.4583333333333333,0.5250763644583539
1,0.002,1,bernoulli,4,0.1,sae,raw,94,0.0952380952380952,0.4837952651549117,0.0416666666666666,0.6719799625114286
28,0.002,1,bernoulli,4,0.1,sae,raw,94,0.28,0.56609641183748,0.48,0.556106203759198
2,0.01,1,bernoulli,4,0.1,sae,raw,94,0.6875,0.4408028791408875,0.6875,0.343673697586239
20,0.015,1,bernoulli,4,0.1,sae,raw,97,0.0833333333333333,0.524008084078302,0.8333333333333333,0.4153084811725883
46,0.006,1,bernoulli,4,0.1,sae,raw,94,0.5,0.5198061796416196,0.8333333333333333,0.3902546080268975
29,0.002,1,bernoulli,4,0.1,sae,raw,94,0.5833333333333334,0.4272000533228923,0.3333333333333333,0.4401439238729386
3,0.01,1,bernoulli,4,0.1,sae,raw,94,0.375,0.467494602758698,0.6666666666666667,0.421811346267567
21,0.015,1,bernoulli,4,0.1,sae,raw,97,0.4583333333333333,0.4451854926239046,0.56,0.5204291078420685
47,0.006,1,bernoulli,4,0.1,sae,raw,94,0.8095238095238095,0.3948131158717347,0.7916666666666667,0.4388041133060156
36,0.012,1,bernoulli,4,0.1,sae,raw,94,0.5416666666666667,0.4573697360951202,0.7083333333333333,0.4022330344743525
30,0.01,1,bernoulli,4,0.1,sae,raw,97,0.2857142857142857,0.6183555993298022,0.3333333333333333,0.5386275596177161
0,0.02,1,bernoulli,4,0.1,sae,raw,94,0.2083333333333333,0.5018649487658748,0.5833333333333334,0.4696771512442856
32,0.0155,1,bernoulli,4,0.1,sae,raw,94,0.7142857142857144,0.4113590406372366,0.5238095238095238,0.4286094840927349
37,0.012,1,bernoulli,4,0.1,sae,raw,94,0.5238095238095238,0.4753873437848163,0.75,0.4171365313880834
4,0.0155,1,bernoulli,4,0.1,sae,raw,94,0.375,0.490674843048282,0.5,0.536301410896043
6,0.004,1,bernoulli,4,0.1,sae,raw,94,0.4583333333333333,0.5452997135095142,0.375,0.5630979803294681
40,0.005,1,bernoulli,4,0.1,sae,raw,94,0.5,0.4660424876244922,0.7083333333333334,0.3968579641575638
24,0.008,1,bernoulli,4,0.1,sae,raw,97,0.4166666666666667,0.535302719899819,0.625,0.5198328390487045
8,0.012,1,bernoulli,4,0.1,sae,raw,94,0.3333333333333333,0.4081273350787579,0.1111111111111111,0.4674022850638175
18,0.006,1,bernoulli,4,0.1,sae,raw,94,0.5833333333333333,0.5381792544884096,0.6666666666666667,0.4444038423065657
38,0.0159,1,bernoulli,4,0.1,sae,raw,94,0.2222222222222222,0.4579464641551162,0.4444444444444444,0.3703126215230364
31,0.01,1,bernoulli,4,0.1,sae,raw,97,0.625,0.4254350216959936,0.5714285714285714,0.4177716583741957
48,0.015,1,bernoulli,4,0.1,sae,raw,94,0.7142857142857142,0.4095722582274695,0.6666666666666666,0.4375252546105773
34,0.004,1,bernoulli,4,0.1,sae,raw,94,0.3333333333333333,0.4785871491208943,0.3333333333333333,0.559360911016077
12,0.005,1,bernoulli,4,0.1,sae,raw,94,0.5833333333333333,0.5199097136831357,0.5833333333333334,0.5179450407974154
14,0.014,1,bernoulli,4,0.1,sae,raw,94,0.625,0.5257947990859644,0.7083333333333333,0.4953899798278505
22,0.018,1,bernoulli,4,0.1,sae,raw,94,0.8333333333333333,0.4114616691679472,0.7083333333333333,0.4749251206254632
26,0.0151,1,bernoulli,4,0.1,sae,raw,94,0.4,0.5656322057275553,0.4,0.6016188260745832
16,0.016,1,bernoulli,4,0.1,sae,raw,97,0.5833333333333334,0.4779932245658168,0.9166666666666669,0.3838698712176808
42,0.014,1,bernoulli,4,0.1,sae,raw,94,0.9047619047619048,0.3690474861960751,0.7619047619047619,0.417239988789758
44,0.016,1,bernoulli,4,0.1,sae,raw,94,0.3333333333333333,0.4515601134979649,0.4166666666666666,0.4623700204123731
10,0.0159,1,bernoulli,4,0.1,sae,raw,94,0.4,0.5140975232933384,0.56,0.4877041572621228
28,0.02,1,bernoulli,4,0.1,sae,raw,94,0.28,0.56609641183748,0.4399999999999999,0.5496949921531664
