seed,lambda_tau,n_samples,model_type,pre_revision,j_percentage,embedding_type,baseline_embedding_type,observed_train_pairs,auc_knn,rmse_knn,auc_araf,rmse_araf
0,0.002,1,beta,4,0.1,sae,raw,94,0.0,0.6547160841134806,0.25,0.7517530695348601
1,0.002,1,beta,4,0.1,sae,raw,94,0.625,0.4166810529927343,0.2083333333333333,0.7708169875259071
20,0.015,1,beta,4,0.1,sae,raw,97,0.76,0.4771569718524015,0.5416666666666667,0.5250271812850305
0,0.02,1,beta,4,0.1,sae,raw,94,0.0,0.6547160841134806,0.25,0.7482939230036301
21,0.015,1,beta,4,0.1,sae,raw,97,0.4,0.5136840006626386,0.48,0.6348560210198495
1,0.02,1,beta,4,0.1,sae,raw,94,0.625,0.4166810529927343,0.2083333333333333,0.7699845813470797
26,0.0151,1,beta,4,0.1,sae,raw,94,0.6,0.4409146229563152,0.56,0.6517914587017819
2,0.01,1,beta,4,0.1,sae,raw,94,0.5714285714285714,0.4315963480752918,1.0,0.3668078428016008
34,0.004,1,beta,4,0.1,sae,raw,94,0.9166666666666669,0.4170741909611705,0.1666666666666666,0.5543370819026222
18,0.006,1,beta,4,0.1,sae,raw,94,0.6666666666666666,0.5241972974318954,0.75,0.4307581826814897
28,0.002,1,beta,4,0.1,sae,raw,94,0.9523809523809524,0.3348978277871804,0.64,0.6532116672745253
6,0.004,1,beta,4,0.1,sae,raw,94,0.6190476190476191,0.4443711989947082,0.5,0.6528766305849418
44,0.016,1,beta,4,0.1,sae,raw,94,0.4166666666666667,0.4526104307308218,0.2916666666666667,0.6220426208943945
22,0.018,1,beta,4,0.1,sae,raw,94,0.4166666666666667,0.5394496356870598,0.5416666666666667,0.5976920023677467
12,0.005,1,beta,4,0.1,sae,raw,94,1.0,0.3734944040844425,0.7083333333333334,0.4719324323301008
4,0.0155,1,beta,4,0.1,sae,raw,94,0.9166666666666669,0.3566547144501895,0.4375,0.583136232887336
32,0.0155,1,beta,4,0.1,sae,raw,94,0.625,0.4011004970385777,0.6666666666666667,0.5266594296674422
40,0.005,1,beta,4,0.1,sae,raw,94,0.6000000000000001,0.5271828299939092,0.6666666666666667,0.516920571722597
24,0.008,1,beta,4,0.1,sae,raw,97,0.36,0.5799612833123401,0.7916666666666666,0.5343927659321743
10,0.0159,1,beta,4,0.1,sae,raw,94,0.5,0.4926602197614796,0.52,0.6232808549697554
36,0.012,1,beta,4,0.1,sae,raw,94,0.7142857142857143,0.4202633910578749,0.5833333333333333,0.5498577519179009
28,0.02,1,beta,4,0.1,sae,raw,94,0.9523809523809524,0.3348978277871804,0.64,0.6522433038004483
16,0.016,1,beta,4,0.1,sae,raw,97,0.4285714285714285,0.5720868140510903,1.0,0.2283047901682402
46,0.006,1,beta,4,0.1,sae,raw,94,0.7142857142857143,0.4419235810062575,0.6666666666666667,0.5164681101811378
48,0.015,1,beta,4,0.1,sae,raw,94,0.625,0.4265088155870676,0.4761904761904761,0.5555441514142765
14,0.014,1,beta,4,0.1,sae,raw,94,0.7142857142857144,0.3875458282627593,0.5833333333333334,0.5508074111677432
12,0.024,1,beta,4,0.1,sae,raw,94,1.0,0.3734944040844425,0.7083333333333334,0.4695613515030742
8,0.012,1,beta,4,0.1,sae,raw,94,0.1111111111111111,0.5855416041283938,0.2222222222222222,0.5575619752075612
42,0.014,1,beta,4,0.1,sae,raw,94,0.9047619047619048,0.3500503444226405,0.6666666666666666,0.3889968701815279
30,0.01,1,beta,4,0.1,sae,raw,97,0.5,0.50557686122719,0.5238095238095238,0.623123666461524
38,0.0159,1,beta,4,0.1,sae,raw,94,0.1666666666666666,0.5475718826414901,0.5555555555555556,0.3990843141548645
40,0.024,1,beta,4,0.1,sae,raw,94,0.6000000000000001,0.5271828299939092,0.7083333333333334,0.5156455180391809
6,0.022,1,beta,4,0.1,sae,raw,94,0.6190476190476191,0.4443711989947082,0.5,0.6434493260827605
46,0.025,1,beta,4,0.1,sae,raw,94,0.7142857142857143,0.4419235810062575,0.6666666666666667,0.5097515937364929
18,0.025,1,beta,4,0.1,sae,raw,94,0.6666666666666666,0.5241972974318954,0.7083333333333333,0.4331648483771489
34,0.022,1,beta,4,0.1,sae,raw,94,0.9166666666666669,0.4170741909611705,0.2083333333333333,0.5525142109885909
8,0.029,1,beta,4,0.1,sae,raw,94,0.1111111111111111,0.5855416041283938,0.3333333333333333,0.5557804622649927
24,0.026,1,beta,4,0.1,sae,raw,97,0.36,0.5799612833123401,0.7916666666666666,0.5247232956799863
36,0.029,1,beta,4,0.1,sae,raw,94,0.7142857142857143,0.4202633910578749,0.5833333333333333,0.5442547012444968
42,0.03,1,beta,4,0.1,sae,raw,94,0.9047619047619048,0.3500503444226405,0.6190476190476191,0.3917344360193273
26,0.034,1,beta,4,0.1,sae,raw,94,0.6,0.4409146229563152,0.56,0.6301859518022861
14,0.03,1,beta,4,0.1,sae,raw,94,0.7142857142857144,0.3875458282627593,0.625,0.5532911482159619
48,0.032,1,beta,4,0.1,sae,raw,94,0.625,0.4265088155870676,0.4761904761904761,0.5493768141698122
30,0.028,1,beta,4,0.1,sae,raw,97,0.5,0.50557686122719,0.4761904761904762,0.5972431475524479
20,0.032,1,beta,4,0.1,sae,raw,97,0.76,0.4771569718524015,0.5416666666666667,0.5256415693141304
2,0.028,1,beta,4,0.1,sae,raw,94,0.5714285714285714,0.4315963480752918,1.0,0.3446317115381981
27,0.0151,1,beta,4,0.1,sae,raw,94,0.88,0.4308667387207713,0.7916666666666666,0.4028014200312917
4,0.035,1,beta,4,0.1,sae,raw,94,0.9166666666666669,0.3566547144501895,0.4375,0.5552146180055446
32,0.035,1,beta,4,0.1,sae,raw,94,0.625,0.4011004970385777,0.6190476190476191,0.5201981358667432
10,0.036,1,beta,4,0.1,sae,raw,94,0.5,0.4926602197614796,0.56,0.6182876150070153
38,0.036,1,beta,4,0.1,sae,raw,94,0.1666666666666666,0.5475718826414901,0.5555555555555556,0.3919399065051187
16,0.038,1,beta,4,0.1,sae,raw,97,0.4285714285714285,0.5720868140510903,1.0,0.2408526149101766
22,0.04,1,beta,4,0.1,sae,raw,94,0.4166666666666667,0.5394496356870598,0.5416666666666667,0.5873081705734138
44,0.038,1,beta,4,0.1,sae,raw,94,0.4166666666666667,0.4526104307308218,0.25,0.6196663246249602
3,0.01,1,beta,4,0.1,sae,raw,94,0.7083333333333334,0.4060809627396964,0.8333333333333334,0.3970979725012873
14,0.002,1,beta,4,0.1,sae,raw,94,0.7142857142857144,0.3875458282627593,0.5833333333333334,0.5487692316026443
35,0.004,1,beta,4,0.1,sae,raw,94,0.7916666666666666,0.4439314122169949,0.8333333333333334,0.4788692957947381
19,0.006,1,beta,4,0.1,sae,raw,94,0.7916666666666667,0.4528964551517822,0.625,0.5548865538715686
29,0.002,1,beta,4,0.1,sae,raw,94,0.625,0.434336086972706,0.0,0.5085097587834324
7,0.004,1,beta,4,0.1,sae,raw,94,0.8,0.4471933564682974,0.25,0.612294952947938
20,0.004,1,beta,4,0.1,sae,raw,97,0.76,0.4771569718524015,0.5416666666666667,0.5266690777419628
0,0.014,1,beta,4,0.1,sae,raw,94,0.0,0.6547160841134806,0.25,0.7496274579179449
26,0.005,1,beta,4,0.1,sae,raw,94,0.6,0.4409146229563152,0.56,0.6529140834558439
48,0.004,1,beta,4,0.1,sae,raw,94,0.625,0.4265088155870676,0.4761904761904761,0.5583809400540981
4,0.006,1,beta,4,0.1,sae,raw,94,0.9166666666666669,0.3566547144501895,0.4375,0.5847915123845426
22,0.012,1,beta,4,0.1,sae,raw,94,0.4166666666666667,0.5394496356870598,0.5416666666666667,0.599261005607698
2,0.016,1,beta,4,0.1,sae,raw,94,0.5714285714285714,0.4315963480752918,1.0,0.3591694866181827
38,0.008,1,beta,4,0.1,sae,raw,94,0.1666666666666666,0.5475718826414901,0.5555555555555556,0.4016083969426657
18,0.0155,1,beta,4,0.1,sae,raw,94,0.6666666666666666,0.5241972974318954,0.7083333333333333,0.4320282382411728
42,0.002,1,beta,4,0.1,sae,raw,94,0.9047619047619048,0.3500503444226405,0.6666666666666666,0.3869512995479108
32,0.006,1,beta,4,0.1,sae,raw,94,0.625,0.4011004970385777,0.6666666666666667,0.5297273806522111
20,0.022,1,beta,4,0.1,sae,raw,97,0.76,0.4771569718524015,0.5416666666666667,0.5271684708521689
6,0.015,1,beta,4,0.1,sae,raw,94,0.6190476190476191,0.4443711989947082,0.5,0.6461669972608873
40,0.0151,1,beta,4,0.1,sae,raw,94,0.6000000000000001,0.5271828299939092,0.7083333333333334,0.5163321414467485
28,0.014,1,beta,4,0.1,sae,raw,94,0.9523809523809524,0.3348978277871804,0.64,0.6525806750559753
16,0.01,1,beta,4,0.1,sae,raw,97,0.4285714285714285,0.5720868140510903,1.0,0.2253706015778098
10,0.008,1,beta,4,0.1,sae,raw,94,0.5,0.4926602197614796,0.48,0.6248696668152719
12,0.0151,1,beta,4,0.1,sae,raw,94,1.0,0.3734944040844425,0.7083333333333334,0.4705069041926261
45,0.016,1,beta,4,0.1,sae,raw,94,0.5714285714285714,0.421133767740723,0.4166666666666667,0.65984147371572
24,0.0159,1,beta,4,0.1,sae,raw,97,0.36,0.5799612833123401,0.7916666666666666,0.5302945970560368
34,0.015,1,beta,4,0.1,sae,raw,94,0.9166666666666669,0.4170741909611705,0.1666666666666666,0.5531348405382921
4,0.025,1,beta,4,0.1,sae,raw,94,0.9166666666666669,0.3566547144501895,0.4375,0.5814506912367079
