seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,bernoulli,1,16,1.0,raw,16,0.5075757575757576,0.636339460802359
47,bernoulli,1,16,1.0,raw,16,0.5217092803030303,0.6763163746609208
39,bernoulli,1,16,1.0,raw,16,0.5996361794234134,0.6385794523135222
18,bernoulli,1,16,1.0,raw,16,0.5861895161290323,0.6547166303467689
31,bernoulli,1,16,1.0,raw,16,0.5659114553230841,0.6403648964931679
15,bernoulli,1,16,1.0,raw,16,0.5601155079166973,0.5506965626209128
6,bernoulli,1,16,1.0,raw,16,0.5563031816500185,0.6212814335383151
30,bernoulli,1,16,1.0,raw,16,0.533937863483318,0.626812119834055
46,bernoulli,1,16,1.0,raw,16,0.5892020534290272,0.6185464264029252
43,bernoulli,1,16,1.0,raw,16,0.5706889264581572,0.6527154971120356
35,bernoulli,1,16,1.0,raw,16,0.6064639723149178,0.5733310559092615
38,bernoulli,1,16,1.0,raw,16,0.5433642597821702,0.6813624560430185
3,bernoulli,1,16,1.0,raw,16,0.6321685782875434,0.5576823609006418
42,bernoulli,1,16,1.0,raw,16,0.606323959791322,0.6945972406985513
26,bernoulli,1,16,1.0,raw,16,0.5854689842578711,0.6345615000067385
23,bernoulli,1,16,1.0,raw,16,0.590154503616042,0.6512350151329599
2,bernoulli,1,16,1.0,raw,16,0.5838600201657527,0.6180186891692727
7,bernoulli,1,16,1.0,raw,16,0.6238942354427919,0.6494378336521114
27,bernoulli,1,16,1.0,raw,16,0.6183824855699857,0.5674363339207635
14,bernoulli,1,16,1.0,raw,16,0.5609809027777778,0.7068470035138945
11,bernoulli,1,16,1.0,raw,16,0.6152132325494587,0.588056091139068
34,bernoulli,1,16,1.0,raw,16,0.552364093193239,0.642229118762043
19,bernoulli,1,16,1.0,raw,16,0.6129337999416739,0.6229712222097851
22,bernoulli,1,16,1.0,raw,16,0.5953801331853497,0.6271897817056051
10,bernoulli,1,16,1.0,raw,16,0.6390102396967385,0.5942078381202788
1,bernoulli,1,16,1.0,raw,16,0.627145176252319,0.6210258254810205
28,bernoulli,1,16,1.0,raw,16,0.6130537770585615,0.6006776817153635
40,bernoulli,1,16,1.0,raw,16,0.6207382394038192,0.6191262324733162
36,bernoulli,1,16,1.0,raw,16,0.5903306095613787,0.6433659972988997
4,bernoulli,1,16,1.0,raw,16,0.5434475055845123,0.6655446062207188
16,bernoulli,1,16,1.0,raw,16,0.560878823073945,0.6588524352240648
48,bernoulli,1,16,1.0,raw,16,0.5849848179310664,0.5995975704460088
8,bernoulli,1,16,1.0,raw,16,0.571236559139785,0.6394569168491061
44,bernoulli,1,16,1.0,raw,16,0.6019574175824176,0.6283236583256595
32,bernoulli,1,16,1.0,raw,16,0.5643098598208165,0.6514591912716432
24,bernoulli,1,16,1.0,raw,16,0.5619145130160523,0.6490040337976491
20,bernoulli,1,16,1.0,raw,16,0.5960836038961039,0.6520837277014112
12,bernoulli,1,16,1.0,raw,16,0.6179746659565106,0.6053675166992213
41,bernoulli,1,16,1.0,raw,16,0.568215030064921,0.5557084158038577
33,bernoulli,1,16,1.0,raw,16,0.5747272559171598,0.6077344525591312
37,bernoulli,1,16,1.0,raw,16,0.5831687539208625,0.6286432178214296
45,bernoulli,1,16,1.0,raw,16,0.6229691476961869,0.5044270271402334
17,bernoulli,1,16,1.0,raw,16,0.5542491560988961,0.6442163796465685
25,bernoulli,1,16,1.0,raw,16,0.5492133924969747,0.662272137916673
9,bernoulli,1,16,1.0,raw,16,0.5949234319278373,0.6469789439921461
13,bernoulli,1,16,1.0,raw,16,0.5916046511627907,0.6777966165682152
21,bernoulli,1,16,1.0,raw,16,0.6799526255306175,0.6089663969644269
5,bernoulli,1,16,1.0,raw,16,0.6259684361549498,0.6491553228543652
49,bernoulli,1,16,1.0,raw,16,0.5660477945437267,0.6358067117928361
29,bernoulli,1,16,1.0,raw,16,0.6203671511021487,0.5957975218977138
