seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
0,beta,1,64,1.0,raw,64,0.6117927509023503,0.4525324136495002
46,beta,1,64,1.0,raw,64,0.6141791953471382,0.4512885136957166
39,beta,1,64,1.0,raw,64,0.6332866757542213,0.4309061282705004
42,beta,1,64,1.0,raw,64,0.6336081445133979,0.4407690563496341
35,beta,1,64,1.0,raw,64,0.6229517245494689,0.4334857565619894
7,beta,1,64,1.0,raw,64,0.6268021200092695,0.4370436161270666
18,beta,1,64,1.0,raw,64,0.608646345973535,0.4462386088159574
31,beta,1,64,1.0,raw,64,0.59403008033807,0.4593439519860867
43,beta,1,64,1.0,raw,64,0.6121098505500743,0.4551406620917055
19,beta,1,64,1.0,raw,64,0.592523977961741,0.4411833208618146
23,beta,1,64,1.0,raw,64,0.622586563123397,0.4411594578674382
3,beta,1,64,1.0,raw,64,0.6015755614107828,0.4405934775690045
15,beta,1,64,1.0,raw,64,0.6233428809125906,0.4457650478452499
11,beta,1,64,1.0,raw,64,0.6120704538959802,0.4478142717410255
47,beta,1,64,1.0,raw,64,0.6105549363819387,0.4354927474117661
14,beta,1,64,1.0,raw,64,0.5810855810855811,0.4449239173152358
27,beta,1,64,1.0,raw,64,0.595360778370598,0.4618059802073324
2,beta,1,64,1.0,raw,64,0.5820545609548167,0.440544012080356
6,beta,1,64,1.0,raw,64,0.608760508691935,0.4436648824482978
30,beta,1,64,1.0,raw,64,0.6133908974466249,0.452932316820574
22,beta,1,64,1.0,raw,64,0.6301123588994738,0.4480532910952676
34,beta,1,64,1.0,raw,64,0.5921151816674205,0.4465002649505102
26,beta,1,64,1.0,raw,64,0.5737658866040961,0.4542024889942876
38,beta,1,64,1.0,raw,64,0.626479154531081,0.432917436899498
10,beta,1,64,1.0,raw,64,0.6144658087248713,0.442339914022971
40,beta,1,64,1.0,raw,64,0.6059907594408109,0.4404970612346724
28,beta,1,64,1.0,raw,64,0.615350052370977,0.448359222757726
16,beta,1,64,1.0,raw,64,0.6342422540080377,0.4320174941068334
32,beta,1,64,1.0,raw,64,0.5843665680665522,0.4497474710214196
24,beta,1,64,1.0,raw,64,0.6295791230039919,0.4351344358226031
36,beta,1,64,1.0,raw,64,0.6072341347825265,0.4527084968550214
4,beta,1,64,1.0,raw,64,0.6080004303785794,0.4539283668264207
8,beta,1,64,1.0,raw,64,0.6277134915907995,0.44100468016323
44,beta,1,64,1.0,raw,64,0.608443540183113,0.44016359330546
20,beta,1,64,1.0,raw,64,0.6203487807247644,0.4223831613084641
48,beta,1,64,1.0,raw,64,0.6050367002942894,0.4531876257666214
12,beta,1,64,1.0,raw,64,0.5928642338142933,0.4426669456732878
45,beta,1,64,1.0,raw,64,0.6344895544730759,0.4332248561901818
41,beta,1,64,1.0,raw,64,0.6439160039969604,0.4388007683738981
21,beta,1,64,1.0,raw,64,0.658849030243261,0.4396886406390937
33,beta,1,64,1.0,raw,64,0.6183321719795621,0.4370110708903194
17,beta,1,64,1.0,raw,64,0.6059175216206959,0.4593125651223643
13,beta,1,64,1.0,raw,64,0.5827732275819708,0.4745800809885545
9,beta,1,64,1.0,raw,64,0.6206853162566004,0.4421364475070013
1,beta,1,64,1.0,raw,64,0.5972757351574408,0.4508288346798875
37,beta,1,64,1.0,raw,64,0.5927486910994764,0.4491920960853207
25,beta,1,64,1.0,raw,64,0.6314151409452238,0.4335343775609239
49,beta,1,64,1.0,raw,64,0.6053270712367105,0.4561502001317363
29,beta,1,64,1.0,raw,64,0.6209230006534916,0.4363636688809039
5,beta,1,64,1.0,raw,64,0.6311658393706503,0.4203073905435728
