seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,32,0.1,raw,32,0.4761904761904762,0.448460477977968,11,2,30,2
3,beta,1,32,0.1,raw,32,0.7250793650793651,0.4353683516361393,7,2,30,2
31,beta,1,32,0.1,raw,32,0.5741687979539642,0.4526973383370434,9,2,30,2
2,beta,1,32,0.1,raw,32,0.5142450142450142,0.4117846542973842,28,2,30,2
14,beta,1,32,0.1,raw,32,0.5120120120120121,0.4719209389714087,17,2,30,2
7,beta,1,32,0.1,raw,32,0.5096935584740463,0.4752033739390032,14,2,30,2
27,beta,1,32,0.1,raw,32,0.5313479623824452,0.4494502424773957,11,2,30,2
30,beta,1,32,0.1,raw,32,0.5290404040404041,0.4604972094286634,16,2,30,2
15,beta,1,32,0.1,raw,32,0.6472727272727273,0.4345999718306629,14,2,30,2
11,beta,1,32,0.1,raw,32,0.5383623468729851,0.455147373677324,23,2,30,2
39,beta,1,32,0.1,raw,32,0.6413793103448276,0.4719764297306089,22,2,30,2
38,beta,1,32,0.1,raw,32,0.5612403100775194,0.4261527409440876,5,2,30,2
18,beta,1,32,0.1,raw,32,0.4779202279202279,0.4605141975127801,29,2,30,2
42,beta,1,32,0.1,raw,32,0.4200131665569453,0.4710832699041741,19,2,30,2
34,beta,1,32,0.1,raw,32,0.6745524296675192,0.4435355050874571,7,2,30,2
47,beta,1,32,0.1,raw,32,0.4853033145716072,0.4743036769127243,27,2,30,2
35,beta,1,32,0.1,raw,32,0.655,0.4365946393753789,18,2,30,2
23,beta,1,32,0.1,raw,32,0.6391494684177611,0.4347968379055735,7,2,30,2
43,beta,1,32,0.1,raw,32,0.7024739583333334,0.4135443846695731,18,2,30,2
10,beta,1,32,0.1,raw,32,0.4961636828644501,0.4488884084404419,29,2,30,2
19,beta,1,32,0.1,raw,32,0.6679174484052534,0.4446004897432808,2,2,30,2
6,beta,1,32,0.1,raw,32,0.6431863067807768,0.4219725284165708,25,2,30,2
46,beta,1,32,0.1,raw,32,0.494140625,0.4583356452652391,24,2,30,2
26,beta,1,32,0.1,raw,32,0.583125,0.4708241667178695,8,2,30,2
22,beta,1,32,0.1,raw,32,0.6174242424242424,0.4760176561450933,21,2,30,2
1,beta,1,32,0.1,raw,32,0.6418495297805643,0.3861457548543587,15,2,30,2
28,beta,1,32,0.1,raw,32,0.4895238095238096,0.4500622335421781,8,2,30,2
12,beta,1,32,0.1,raw,32,0.5911111111111111,0.4679909759745753,28,2,30,2
40,beta,1,32,0.1,raw,32,0.6053783614759225,0.4662319419933126,2,2,30,2
20,beta,1,32,0.1,raw,32,0.5562870309414089,0.4646789515105991,23,2,30,2
48,beta,1,32,0.1,raw,32,0.6403508771929824,0.4640169885583677,25,2,30,2
24,beta,1,32,0.1,raw,32,0.5390869293308318,0.4667389326964614,9,2,30,2
8,beta,1,32,0.1,raw,32,0.6414285714285713,0.4364251659813208,16,2,30,2
4,beta,1,32,0.1,raw,32,0.57875,0.4750709643809978,16,2,30,2
16,beta,1,32,0.1,raw,32,0.5482456140350878,0.4913315369009426,3,2,30,2
32,beta,1,32,0.1,raw,32,0.48,0.4649654517619224,18,2,30,2
44,beta,1,32,0.1,raw,32,0.6131713554987213,0.4770102664294538,22,2,30,2
36,beta,1,32,0.1,raw,32,0.5134271099744245,0.4679206186548312,18,2,30,2
13,beta,1,32,0.1,raw,32,0.596547314578005,0.4538214691351734,19,2,30,2
5,beta,1,32,0.1,raw,32,0.4913333333333334,0.4877427755961696,12,2,30,2
45,beta,1,32,0.1,raw,32,0.5476190476190477,0.4409062076660239,22,2,30,2
9,beta,1,32,0.1,raw,32,0.6153846153846154,0.4700021391424238,18,2,30,2
41,beta,1,32,0.1,raw,32,0.6954346466541589,0.442361793271345,3,2,30,2
49,beta,1,32,0.1,raw,32,0.5338923829489868,0.4504149391512894,19,2,30,2
25,beta,1,32,0.1,raw,32,0.5890313390313391,0.4444232393792434,5,2,30,2
29,beta,1,32,0.1,raw,32,0.6553708439897697,0.4379722396651679,23,2,30,2
17,beta,1,32,0.1,raw,32,0.5359477124183006,0.4589332552098847,9,2,30,2
33,beta,1,32,0.1,raw,32,0.6511857707509882,0.4240448568970719,15,2,30,2
37,beta,1,32,0.1,raw,32,0.5380852550663872,0.5091351230962675,10,2,30,2
21,beta,1,32,0.1,raw,32,0.5872420262664164,0.45525338723222936,14,2,30,2
