seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
2,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.524980218981224,0.491548259332396,22,2,30,2
3,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5356098585554862,0.4952472764161275,16,2,30,2
6,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,5,0.5161525876689566,0.4977249601111678,28,2,30,2
1,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5320652339185097,0.481541080505964,17,2,30,2
0,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5255163392320317,0.4789295041535535,20,2,30,2
4,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5591465808651019,0.4438699815295082,25,2,30,2
5,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,20,0.5469699909455439,0.4928569781854011,17,2,30,2
23,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5040882883932211,0.4858192477820749,24,2,30,2
45,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5193825895350729,0.4569431122132694,28,2,30,2
43,bernoulli,54,none,1.0,0.1,raw,none,,54,31.0,50,0.4841478476652351,0.490043177308025,12,2,30,2
30,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5585358497069975,0.4477600296916342,4,2,30,2
48,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.600238197262622,0.4416804516938264,21,2,30,2
26,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.483850101798439,0.4977917335570663,17,2,30,2
19,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5817887184562098,0.4651491460235278,2,2,30,2
34,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.598708261537745,0.4867765358655397,3,2,30,2
13,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5883173843700159,0.4443345457621147,9,2,30,2
38,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.564508156203658,0.4556251643354541,12,2,30,2
32,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5443470866607513,0.4450867733308499,5,2,30,2
25,bernoulli,54,none,1.0,0.1,raw,none,,54,31.0,50,0.5256322302932472,0.4668108566935557,14,2,30,2
11,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5866740430157622,0.4469830982471249,30,2,30,2
21,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5839912244708146,0.4297640298835625,12,2,30,2
17,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,20,0.5313644665543233,0.4974923281581282,22,2,30,2
24,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,5,0.5135925762852073,0.476065767653355,25,2,30,2
9,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.563334542815675,0.475383425605568,18,2,30,2
44,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5065594304172985,0.4971992460358305,25,2,30,2
35,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,20,0.5043242121285502,0.4609649940954743,20,2,30,2
8,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5616725628930819,0.4405923783962578,21,2,30,2
14,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5906917350431995,0.465224630924808,28,2,30,2
37,bernoulli,54,none,1.0,0.1,raw,none,,54,30.0,50,0.5889675540650575,0.4356129685961136,6,2,30,2
10,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.573589934151643,0.4482283912147849,29,2,30,2
33,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5342685742557929,0.4751687383845184,26,2,30,2
22,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5540754809032619,0.4552560875793042,24,2,30,2
29,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.5619514661274014,0.4446549329004279,28,2,30,2
31,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6132342874256621,0.4370952505057438,18,2,30,2
46,bernoulli,54,none,1.0,0.1,raw,none,,54,29.0,50,0.6004871940896999,0.4440072321474609,19,2,30,2
