seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_rasch,rmse_rasch
42,beta,1,max,1.0,0.1,raw,max,50,0.646621856007923,0.488116961497253
46,beta,1,max,1.0,0.1,raw,max,50,0.6466240976371017,0.4932389759537097
17,beta,1,max,1.0,0.1,raw,max,50,0.5489492455418381,0.5088026810066346
1,beta,1,max,1.0,0.1,raw,max,50,0.5736946527635093,0.4721956294260608
41,beta,1,max,1.0,0.1,raw,max,50,0.5676106865794337,0.496588107721741
34,beta,1,max,1.0,0.1,raw,max,50,0.6235341545624287,0.499453946797175
37,beta,1,max,1.0,0.1,raw,max,50,0.6103535079841865,0.493298230946785
39,beta,1,max,1.0,0.1,raw,max,50,0.6170268851833297,0.4555410232913905
13,beta,1,max,1.0,0.1,raw,max,50,0.5860528620522534,0.5220004039558221
44,beta,1,max,1.0,0.1,raw,max,50,0.5848431392686478,0.4868147686440062
5,beta,1,max,1.0,0.1,raw,max,50,0.6675818540809174,0.4349037862572106
21,beta,1,max,1.0,0.1,raw,max,5,0.6391761483354403,0.4406560751596289
33,beta,1,max,1.0,0.1,raw,max,50,0.6319099420086081,0.4463738125187342
19,beta,1,max,1.0,0.1,raw,max,50,0.6217100187369118,0.4357712514119408
9,beta,1,max,1.0,0.1,raw,max,50,0.6541492133846379,0.466262335754719
29,beta,1,max,1.0,0.1,raw,max,50,0.6588396695314935,0.4369715837344332
27,beta,1,max,1.0,0.1,raw,max,50,0.6009634437328353,0.5122591324918814
48,beta,1,max,1.0,0.1,raw,max,5,0.5826153202676865,0.4712320577054175
7,beta,1,max,1.0,0.1,raw,max,50,0.6121505426141187,0.4682341916582329
25,beta,1,max,1.0,0.1,raw,max,50,0.6312528493617431,0.4625815796429165
35,beta,1,max,1.0,0.1,raw,max,50,0.6606566508838901,0.4482311837501657
15,beta,1,max,1.0,0.1,raw,max,50,0.6109319166429498,0.4782471351208702
3,beta,1,max,1.0,0.1,raw,max,50,0.6239552330586644,0.4767894829682247
14,beta,1,max,1.0,0.1,raw,max,50,0.5985727424592227,0.4881022773807168
31,beta,1,max,1.0,0.1,raw,max,50,0.634596407643354,0.4440593655211863
11,beta,1,max,1.0,0.1,raw,max,50,0.6310583374779504,0.4641535627882785
2,beta,1,max,1.0,0.1,raw,max,50,0.6343164157636624,0.4657399970018072
18,beta,1,max,1.0,0.1,raw,max,50,0.6510396881710102,0.4544544284612342
23,beta,1,max,1.0,0.1,raw,max,50,0.6017014963509264,0.4606579078089141
6,beta,1,max,1.0,0.1,raw,max,50,0.5955135119586947,0.4995503937337601
30,beta,1,max,1.0,0.1,raw,max,50,0.5983633183408296,0.4669151475539996
22,beta,1,max,1.0,0.1,raw,max,50,0.6007386758108342,0.4650611529336539
47,beta,1,max,1.0,0.1,raw,max,50,0.6542890936051924,0.4513617442193621
10,beta,1,max,1.0,0.1,raw,max,50,0.637056243047998,0.5040248169503533
26,beta,1,max,1.0,0.1,raw,max,5,0.5923146133083153,0.4917825667986694
43,beta,1,max,1.0,0.1,raw,max,50,0.6226259323180025,0.4477440053995402
38,beta,1,max,1.0,0.1,raw,max,50,0.640579301478523,0.4423099483078416
20,beta,1,max,1.0,0.1,raw,max,50,0.6446748371392959,0.4316526040188558
24,beta,1,max,1.0,0.1,raw,max,50,0.60671333984587,0.4465899632139687
0,beta,1,max,1.0,0.1,raw,max,50,0.6073352478683969,0.4659354269594349
32,beta,1,max,1.0,0.1,raw,max,50,0.5836940454608841,0.5078723578754025
28,beta,1,max,1.0,0.1,raw,max,50,0.6172568145691928,0.4925852031637855
40,beta,1,max,1.0,0.1,raw,max,50,0.628419113898236,0.4485700816703947
16,beta,1,max,1.0,0.1,raw,max,50,0.6487605337863513,0.4318473804049922
36,beta,1,max,1.0,0.1,raw,max,50,0.6227188509874327,0.5073516221488659
49,beta,1,max,1.0,0.1,raw,max,50,0.6271952357555752,0.5213432835507834
12,beta,1,max,1.0,0.1,raw,max,50,0.6079124135547518,0.4462708484096473
45,beta,1,max,1.0,0.1,raw,max,50,0.6287559922075037,0.4737081880663464
8,beta,1,max,1.0,0.1,raw,max,50,0.6166487486440415,0.4815190473504774
4,beta,1,max,1.0,0.1,raw,max,50,0.6323884335154827,0.46930904430438486
