Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19
0.0,0.0,0.0,0.0,8.165563944325482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04612180379340529,0.03681582731476532,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.80470680507302,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015246842369977807,0.0,0.0,0.0,0.0,0.0,0.0,7.743252205411635,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1454546787023415,0.0,57.47703598287072,0.717455743700865,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6148605746291543,0.0,0.0,88.66830352404253,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.06966054381629633,0.0,0.0,0.0,0.07205428161970104,0.0,0.0,0.0,19.718405955265833,0.0,0.0,0.0,0.0,0.0
0.303814761352708,0.0,0.0,0.0,0.0,0.8031168449990058,0.0,0.01682257685588371,0.0,95.57779605572597,0.0,0.0,0.0,0.17742193742880702,0.0,0.0,0.0,0.0,0.0
0.7795005640837118,0.0,0.0,0.0,0.0,65.30894647113476,0.0,0.28665511562429696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.16658098195958,0.0,0.0,0.0,0.0,0.0,0.0,0.8383786023492663,0.20902710516241557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.500920691749,0.6175151366885995,0.0,0.0,0.0,0.0,0.017434669889496036,0.0,0.0,0.0,0.0,0.0
0.0,50.84755941465513,0.0,0.0,0.0,0.0,0.0,0.0,0.3358117551677717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.049444460037285344,0.0,0.0,0.0,46.816824659146185,0.0,0.20939325448253632,0.0,0.0,0.0,0.0,0.24492173856118613,0.0,0.0,0.0,0.0,0.0
0.0,0.01238672516841166,0.4479316121121373,0.0,0.0,0.0,0.033777632230059834,0.0,42.331128533941865,0.0,0.12161412625320034,0.0,0.0,0.04839216640464152,0.0,0.0,0.0,0.1401770805301055,0.0
0.0,0.0,28.491088743169225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37889540025468443,0.0,0.0,0.0025969682401989734,0.0,0.0,0.0,0.16390392710610854,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.09705228699204,0.0,0.0,0.07494554373789747,0.2932169929586234,0.0,0.0,0.10830412210263804,0.0
0.0,0.0,0.0,0.13821615439007584,0.0,0.0,0.03668893196529563,0.0,0.0,0.0,0.0,0.12100283114443167,0.0,0.03334282161285533,20.94765048158596,0.0,0.0,0.12954962458482988,0.0
0.0,0.0,0.0,0.0336867627839333,0.0,0.0,0.002807054329934445,0.0,0.0,0.0,0.0,0.019519377293733136,0.0,0.004577944752636298,0.0,0.0,0.0,5.923617638733977,0.09391111972001441
0.0,0.08046719602252524,0.0,0.12543445587406155,0.0,0.0,0.0505505538917773,0.0,0.0,0.0,0.0,0.04375047834031675,0.0,0.0377386048654804,0.0,0.0,0.0,0.0,15.747892556068958
0.0,0.08920260932069049,0.0,7.9884584623978,0.1758371910929522,0.024238210852170736,0.08889924251847017,0.0,0.0,0.0,0.0,0.11459112547474562,0.001018225586314779,0.09578175395640495,0.0,0.10963399396795084,0.10408302465201481,0.0,0.0
