item,assigned_skill,max_loading
0,14,0.03613628357856351
1,14,0.058891784277523986
2,14,0.034983267848158105
3,14,0.034630171437606216
4,12,0.03228870251386551
5,14,0.0398894466486925
6,14,0.032998383027963256
7,12,0.02244004104529794
8,14,0.04612877064689313
9,14,0.07089775262189874
10,14,0.06471809367802041
11,14,0.05886231464799665
12,14,0.040105847495571376
13,11,0.038008908405090885
14,11,0.029962766218832797
15,11,0.04725496698993785
16,11,0.052988221852392166
17,14,0.03403674802190798
18,11,0.05163734880083034
19,11,0.05008737723247763
20,14,0.04399459051882874
21,11,0.058143138000881334
22,12,0.03663589572070217
23,14,0.06904627876788844
24,14,0.03582178642576583
25,14,0.050170457337438024
26,5,0.02153675213136093
27,11,0.048548197974176116
28,14,0.05379249964510282
29,14,0.05658183442179755
30,14,0.030640792625693986
31,11,0.026926624361047737
32,11,0.06340533785868913
33,11,0.04417259050514218
34,14,0.03505899220978328
35,14,0.07101455572873029
36,14,0.06694054883221237
37,5,0.03060255348901977
38,14,0.07816313120457401
39,14,0.051823284684272886
40,12,0.026980926365698425
41,12,0.041287655885316125
42,11,0.053699824482351124
43,13,0.03440405218297475
44,14,0.06353165198919179
45,13,0.029028713938332514
46,14,0.04627198696595277
47,11,0.04398837776331539
48,11,0.047128464676722694
49,14,0.02552807332233109
50,14,0.0474947302360607
51,14,0.035045873751087586
52,2,0.022576917819970604
53,11,0.033982631181592476
54,14,0.07672189970661357
55,14,0.03385619514007148
56,14,0.05042016393928423
57,14,0.0418726488339523
58,11,0.0632499297048497
59,12,0.03030457100972582
60,14,0.0664900516346201
61,14,0.04899626935911768
62,14,0.031854416082972195
63,14,0.06993351299560525
64,11,0.042148611808945705
65,14,0.03916245870962678
66,14,0.03341125917437289
67,14,0.040100252401760496
68,14,0.023234291295510905
69,2,0.02717722309428695
70,11,0.05045973422681368
71,11,0.050453819668138535
72,2,0.031645608411457166
73,14,0.032659567557768845
74,14,0.036123258673888034
75,14,0.04107440266133754
76,11,0.04852694633057262
77,12,0.03332962567187147
78,10,0.024814813257612776
79,11,0.060221752218011064
80,12,0.030323385242349923
81,5,0.033660508448169806
82,14,0.04131685605220863
83,14,0.03822268930424493
84,14,0.04960082007141593
85,14,0.0365902049213728
86,14,0.0468139935981222
87,14,0.06680867292995121
88,14,0.04772434146767466
89,2,0.020715546386720848
90,5,0.0321621602194463
91,5,0.030949803867993994
92,5,0.02652355140635196
93,14,0.05621406390308586
94,11,0.04320788693933165
95,14,0.03754322852540592
96,11,0.06025836963100412
97,14,0.08101942710108687
98,14,0.04826319179490545
99,14,0.040002404318038816
100,9,0.023807659204828233
101,14,0.021098218584041827
102,11,0.04152868375158968
103,12,0.03043167661656027
104,14,0.030483369414545904
105,14,0.027456035065425016
106,11,0.05251436714938314
107,12,0.020258452044125925
108,14,0.054967883962194486
109,0,0.02571236409664492
110,14,0.047147786152248794
111,11,0.05619629880309014
112,13,0.03319800207982277
113,14,0.05435150082019196
114,13,0.024758551308537255
115,14,0.03837233167696012
116,11,0.050875027973065826
117,11,0.07360994872859633
118,14,0.03463960642785608
119,12,0.03387723057627583
120,14,0.050310226294694664
121,9,0.018616427530038615
122,11,0.04717127551407761
123,11,0.04124438840015212
124,11,0.04843652450453006
