seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn,selected_knn_k
0,bernoulli,54,none,1.0,0.05,raw,54,0.5591064203539187,0.4802953205498601,
7,bernoulli,54,none,1.0,0.05,raw,54,0.5531102349636062,0.4808427239145095,
28,bernoulli,54,none,1.0,0.05,raw,54,0.582836008813346,0.5110264528635241,
35,bernoulli,54,none,1.0,0.05,raw,54,0.5656548847322993,0.4879726808202153,
21,bernoulli,54,none,1.0,0.05,raw,54,0.6065299198291525,0.4472441855543615,
43,bernoulli,54,none,1.0,0.05,raw,54,0.5614152336112995,0.4856836729310021,
14,bernoulli,54,none,1.0,0.05,raw,54,0.5953949295680341,0.450053227773432,
1,bernoulli,54,none,1.0,0.05,raw,54,0.5856182320050958,0.4886240404411881,
8,bernoulli,54,none,1.0,0.05,raw,54,0.5733993102414154,0.4901469331244381,
29,bernoulli,54,none,1.0,0.05,raw,54,0.5524451246826938,0.5158734445532274,
2,bernoulli,54,none,1.0,0.05,raw,54,0.6046218021783182,0.4528251181793185,
9,bernoulli,54,none,1.0,0.05,raw,54,0.5633277027027026,0.4651214026845351,
44,bernoulli,54,none,1.0,0.05,raw,54,0.5738327613327614,0.4447815389917008,
36,bernoulli,54,none,1.0,0.05,raw,54,0.5550927358170917,0.48346842249564,
22,bernoulli,54,none,1.0,0.05,raw,54,0.5656352539260299,0.5108056402815834,
15,bernoulli,54,none,1.0,0.05,raw,54,0.5857013438019025,0.4813264773649755,
30,bernoulli,54,none,1.0,0.05,raw,54,0.5705278342828894,0.467104455335313,
45,bernoulli,54,none,1.0,0.05,raw,54,0.5819605040925035,0.4985296863700445,
37,bernoulli,54,none,1.0,0.05,raw,54,0.5666825469008279,0.4825424321693958,
23,bernoulli,54,none,1.0,0.05,raw,54,0.5553822879921995,0.4841333370943672,
16,bernoulli,54,none,1.0,0.05,raw,54,0.5816878305775072,0.4974081543866016,
3,bernoulli,54,none,1.0,0.05,raw,54,0.5500572211597825,0.482355522503917,
10,bernoulli,54,none,1.0,0.05,raw,54,0.5246212121212122,0.4831354678254929,
17,bernoulli,54,none,1.0,0.05,raw,54,0.5763455822356918,0.5166863874804364,
31,bernoulli,54,none,1.0,0.05,raw,54,0.6229816861725184,0.4496520399171854,
24,bernoulli,54,none,1.0,0.05,raw,54,0.548170731707317,0.53000011390109,
46,bernoulli,54,none,1.0,0.05,raw,54,0.5072375219690284,0.4719560970319535,
38,bernoulli,54,none,1.0,0.05,raw,54,0.5531527874865644,0.5066732685805075,
18,bernoulli,54,none,1.0,0.05,raw,54,0.5995819452609576,0.4607963669225569,
25,bernoulli,54,none,1.0,0.05,raw,54,0.5565725892098555,0.4989973983391039,
4,bernoulli,54,none,1.0,0.05,raw,54,0.5555361006054381,0.5131122165625528,
32,bernoulli,54,none,1.0,0.05,raw,54,0.5591001375885097,0.4592179535985104,
47,bernoulli,54,none,1.0,0.05,raw,54,0.6222312006844757,0.4590071002934617,
11,bernoulli,54,none,1.0,0.05,raw,54,0.51854912157001,0.4931109409237908,
39,bernoulli,54,none,1.0,0.05,raw,54,0.5985162323763757,0.4927681117123423,
19,bernoulli,54,none,1.0,0.05,raw,54,0.5785230400112906,0.4809466985376832,
12,bernoulli,54,none,1.0,0.05,raw,54,0.56802066772655,0.4734701447515745,
5,bernoulli,54,none,1.0,0.05,raw,54,0.5420509539149493,0.5201112191763512,
26,bernoulli,54,none,1.0,0.05,raw,54,0.5825982303740957,0.4803975680586682,
33,bernoulli,54,none,1.0,0.05,raw,54,0.55075423582296,0.4884800010538773,
48,bernoulli,54,none,1.0,0.05,raw,54,0.5639806920530414,0.4788163933146915,
40,bernoulli,54,none,1.0,0.05,raw,54,0.5288923516426438,0.4802921094518686,
6,bernoulli,54,none,1.0,0.05,raw,54,0.5937483556958696,0.4967399053637427,
13,bernoulli,54,none,1.0,0.05,raw,54,0.5700136517830056,0.4876090190716363,
20,bernoulli,54,none,1.0,0.05,raw,54,0.5973066127937819,0.4598688572035,
34,bernoulli,54,none,1.0,0.05,raw,54,0.5690011411577564,0.4957470170256899,
27,bernoulli,54,none,1.0,0.05,raw,54,0.5538949275362318,0.4802354075425533,
49,bernoulli,54,none,1.0,0.05,raw,54,0.6119810606060605,0.4584718967995652,
41,bernoulli,54,none,1.0,0.05,raw,54,0.5537784766663018,0.4806866035616745,
42,bernoulli,54,none,1.0,0.05,raw,54,0.6175882153009515,0.4034111714950519,50.0
