seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_2pl,rmse_2pl
42,beta,1,max,1.0,0.05,raw,max,5,0.6091268454345848,0.5023704604764557
0,beta,1,max,1.0,0.05,raw,max,50,0.5243723280084613,0.5759739422665794
5,beta,1,max,1.0,0.05,raw,max,5,0.577628424000899,0.5094192614369409
41,beta,1,max,1.0,0.05,raw,max,50,0.5743833428387062,0.5094194661958013
33,beta,1,max,1.0,0.05,raw,max,5,0.5726314175622649,0.5200983838397123
23,beta,1,max,1.0,0.05,raw,max,5,0.5977949040726083,0.5052934227564239
29,beta,1,max,1.0,0.05,raw,max,5,0.5612192605903298,0.4920173381148192
17,beta,1,max,1.0,0.05,raw,max,50,0.5383045267489712,0.5431614540693138
9,beta,1,max,1.0,0.05,raw,max,50,0.5929859115483903,0.5388786997711235
25,beta,1,max,1.0,0.05,raw,max,50,0.5874259165946828,0.5685468279374928
1,beta,1,max,1.0,0.05,raw,max,5,0.6008517182042326,0.5889005888770293
37,beta,1,max,1.0,0.05,raw,max,5,0.5900962798955398,0.5053079316847469
18,beta,1,max,1.0,0.05,raw,max,5,0.5720515831580122,0.5116211019051077
21,beta,1,max,1.0,0.05,raw,max,5,0.6350014046916702,0.479690091377739
48,beta,1,max,1.0,0.05,raw,max,5,0.584187529875717,0.5145355622000526
13,beta,1,max,1.0,0.05,raw,max,5,0.5464821072459038,0.5526487196478563
46,beta,1,max,1.0,0.05,raw,max,5,0.5665522556678921,0.5411114934820478
35,beta,1,max,1.0,0.05,raw,max,50,0.5735841725978855,0.5579288500233565
15,beta,1,max,1.0,0.05,raw,max,50,0.539686304272207,0.5443558573286036
7,beta,1,max,1.0,0.05,raw,max,50,0.5330276787230429,0.4845338991468552
14,beta,1,max,1.0,0.05,raw,max,10,0.5542654428740358,0.5955761133087889
19,beta,1,max,1.0,0.05,raw,max,5,0.5464310316323157,0.5248253202481806
39,beta,1,max,1.0,0.05,raw,max,50,0.6000817051933491,0.5058737204148812
10,beta,1,max,1.0,0.05,raw,max,50,0.585589205447727,0.5053518982710927
6,beta,1,max,1.0,0.05,raw,max,5,0.5582531532697645,0.5407885133288025
3,beta,1,max,1.0,0.05,raw,max,50,0.613500184479154,0.5077121928990173
2,beta,1,max,1.0,0.05,raw,max,5,0.6220012139233954,0.4835736198118059
43,beta,1,max,1.0,0.05,raw,max,50,0.5567330433349146,0.517452095090381
38,beta,1,max,1.0,0.05,raw,max,10,0.5760653925900782,0.5243739959925428
31,beta,1,max,1.0,0.05,raw,max,5,0.6276003784665077,0.4700208919528435
8,beta,1,max,1.0,0.05,raw,max,50,0.528083473771889,0.5869881175412828
11,beta,1,max,1.0,0.05,raw,max,50,0.5931706423774772,0.5182590539898606
27,beta,1,max,1.0,0.05,raw,max,5,0.5920031260305785,0.5440852534812917
44,beta,1,max,1.0,0.05,raw,max,5,0.5864672252797597,0.5055941619239477
30,beta,1,max,1.0,0.05,raw,max,5,0.5731712268865568,0.5325570016896554
26,beta,1,max,1.0,0.05,raw,max,50,0.5835913561595857,0.5345833210587098
34,beta,1,max,1.0,0.05,raw,max,5,0.5469488833385873,0.5545205146995109
22,beta,1,max,1.0,0.05,raw,max,50,0.5525584050805108,0.565384647242377
47,beta,1,max,1.0,0.05,raw,max,50,0.6667345140075401,0.4937208148925915
12,beta,1,max,1.0,0.05,raw,max,50,0.5699196200344241,0.4986937267901021
20,beta,1,max,1.0,0.05,raw,max,10,0.5846949154535406,0.4972522904615167
45,beta,1,max,1.0,0.05,raw,max,50,0.5845467834940761,0.4662641414205699
49,beta,1,max,1.0,0.05,raw,max,50,0.5637702425979114,0.5791347294744973
36,beta,1,max,1.0,0.05,raw,max,50,0.576926750448833,0.6082900977991674
32,beta,1,max,1.0,0.05,raw,max,5,0.5656341514433133,0.5136549043934252
4,beta,1,max,1.0,0.05,raw,max,5,0.6062627642545675,0.5801291652021126
24,beta,1,max,1.0,0.05,raw,max,5,0.4975357511125583,0.5399547048839742
40,beta,1,max,1.0,0.05,raw,max,10,0.5544343326195575,0.5439445454508169
28,beta,1,max,1.0,0.05,raw,max,5,0.5887378096482427,0.5218620789807141
16,beta,1,max,1.0,0.05,raw,max,5,0.5656934656197012,0.6027791983748346
