seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,rmse_naive,rmse_rasch,rmse_2pl,rmse_mirt,auc_naive,auc_rasch,auc_2pl,auc_mirt,rmse_knn,auc_knn,agent_batch_size,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,max,1.0,raw,,,,,,,,,0.4206105462434957,0.7162511851747897,max,,,,
1,beta,1,max,1.0,raw,,,,,,,,,0.4279827285272004,0.6988814978426134,max,,,,
2,beta,1,max,1.0,raw,,,,,,,,,0.4085598714579665,0.7005826704784541,max,,,,
3,beta,1,max,1.0,raw,,,,,,,,,0.4372623513409137,0.6780036280900259,max,,,,
4,beta,1,max,1.0,raw,,,,,,,,,0.4224188971974511,0.7025117983109787,max,,,,
5,beta,1,max,1.0,raw,,,,,,,,,0.3798441928561228,0.7616747335145873,max,,,,
6,beta,1,max,1.0,raw,,,,,,,,,0.422884122726992,0.7046529605499705,max,,,,
7,beta,1,max,1.0,raw,,,,,,,,,0.3919067905617884,0.7672413842391768,max,,,,
8,beta,1,max,1.0,raw,,,,,,,,,0.4170618110798537,0.7217972745234775,max,,,,
9,beta,1,max,1.0,raw,,,,,,,,,0.4047305596026027,0.7387268033705129,max,,,,
10,beta,1,max,1.0,raw,,,,,,,,,0.4118085911574402,0.7093937013359854,max,,,,
11,beta,1,max,1.0,raw,,,,,,,,,0.4148847943994831,0.7212372253887789,max,,,,
12,beta,1,max,1.0,raw,,,,,,,,,0.397656067134313,0.7396010772078825,max,,,,
13,beta,1,max,1.0,raw,,,,,,,,,0.4132837133207986,0.7283215409165389,max,,,,
14,beta,1,max,1.0,raw,,,,,,,,,0.4426962645138506,0.6447667849165681,max,,,,
15,beta,1,max,1.0,raw,,,,,,,,,0.4270686538623606,0.7010324763621415,max,,,,
16,beta,1,max,1.0,raw,,,,,,,,,0.4026056196705538,0.7398152376268924,max,,,,
17,beta,1,max,1.0,raw,,,,,,,,,0.4325886667464523,0.6826093964334705,max,,,,
18,beta,1,max,1.0,raw,,,,,,,,,0.4036746189148943,0.7583381101254567,max,,,,
19,beta,1,max,1.0,raw,,,,,,,,,0.413702052153075,0.6972118510966604,max,,,,
20,beta,1,max,1.0,raw,,,,,,,,,0.4107620307021874,0.6958749059288352,max,,,,
21,beta,1,max,1.0,raw,,,,,,,,,0.426419401095322,0.6755604719764011,max,,,,
22,beta,1,max,1.0,raw,,,,,,,,,0.4276203369292271,0.6819831471959571,max,,,,
23,beta,1,max,1.0,raw,,,,,,,,,0.4091605498361039,0.7170902793710122,max,,,,
24,beta,1,max,1.0,raw,,,,,,,,,0.4160398198645335,0.7074320932378161,max,,,,
25,beta,1,max,1.0,raw,,,,,,,,,0.4386812679545392,0.6466847676120548,max,,,,
26,beta,1,max,1.0,raw,,,,,,,,,0.4237050347960212,0.687588129155659,max,,,,
27,beta,1,max,1.0,raw,,,,,,,,,0.4502647826242514,0.6296630648956189,max,,,,
28,beta,1,max,1.0,raw,,,,,,,,,0.4225875699974266,0.7181315752767908,max,,,,
29,beta,1,max,1.0,raw,,,,,,,,,0.4149197036551316,0.7278602133948047,max,,,,
30,beta,1,max,1.0,raw,,,,,,,,,0.4330887990192777,0.6961991660419791,max,,,,
31,beta,1,max,1.0,raw,,,,,,,,,0.3873483945776603,0.7642469960731079,max,,,,
32,beta,1,max,1.0,raw,,,,,,,,,0.4429991010329552,0.6366444707851067,max,,,,
33,beta,1,max,1.0,raw,,,,,,,,,0.4174942817410602,0.7000047829303113,max,,,,
34,beta,1,max,1.0,raw,,,,,,,,,0.4060480092477914,0.7340784815344698,max,,,,
35,beta,1,max,1.0,raw,,,,,,,,,0.3958065835380164,0.7624479531150895,max,,,,
36,beta,1,max,1.0,raw,,,,,,,,,0.4316335824245184,0.6762904847396769,max,,,,
37,beta,1,max,1.0,raw,,,,,,,,,0.4027104419660283,0.7435422021284283,max,,,,
38,beta,1,max,1.0,raw,,,,,,,,,0.422525504826546,0.6840947345280279,max,,,,
39,beta,1,max,1.0,raw,,,,,,,,,0.400151902651455,0.7272433144874639,max,,,,
40,beta,1,max,1.0,raw,,,,,,,,,0.4113695636391216,0.7128431859895993,max,,,,
41,beta,1,max,1.0,raw,,,,,,,,,0.4215080996987466,0.7038418364255468,max,,,,
42,beta,1,max,1.0,raw,,,,,,,,,0.4087023078439813,0.736994663354972,max,,,,
43,beta,1,max,1.0,raw,,,,,,,,,0.425535481067372,0.6932896653579731,max,,,,
44,beta,1,max,1.0,raw,,,,,,,,,0.4249518830044571,0.679956717889648,max,,,,
45,beta,1,max,1.0,raw,,,,,,,,,0.4091985875683308,0.7243686607172338,max,,,,
46,beta,1,max,1.0,raw,,,,,,,,,0.4160670754580931,0.7205897312538296,max,,,,
47,beta,1,max,1.0,raw,,,,,,,,,0.3796952282154394,0.7743051682059532,max,,,,
48,beta,1,max,1.0,raw,,,,,,,,,0.4608942593481247,0.5988045978728489,max,,,,
49,beta,1,max,1.0,raw,,,,,,,,,0.427437962637354,0.6976482148922207,max,,,,
