seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_rasch,rmse_rasch
42,bernoulli,54,none,1.0,1.0,raw,54,50,0.5482171548634285,0.4351860399168307
17,bernoulli,54,none,1.0,1.0,raw,54,20,0.5443132279503425,0.4413306753902312
41,bernoulli,54,none,1.0,1.0,raw,54,50,0.5832146530579951,0.3833777283620252
5,bernoulli,54,none,1.0,1.0,raw,54,50,0.623310239324537,0.4502805848363935
9,bernoulli,54,none,1.0,1.0,raw,54,20,0.6079983108108108,0.4216072857865106
13,bernoulli,54,none,1.0,1.0,raw,54,50,0.5852960644253841,0.4685226047817163
37,bernoulli,54,none,1.0,1.0,raw,54,50,0.5575261482492042,0.4527552345611517
33,bernoulli,54,none,1.0,1.0,raw,54,20,0.621326071922545,0.4580746014339772
3,bernoulli,54,none,1.0,1.0,raw,54,50,0.6325046303964824,0.4408504565356109
48,bernoulli,54,none,1.0,1.0,raw,54,50,0.6127868913095744,0.3893848952479571
21,bernoulli,54,none,1.0,1.0,raw,54,50,0.6254790014380807,0.4095861923930339
1,bernoulli,54,none,1.0,1.0,raw,54,50,0.5814990445183664,0.4678611911975009
25,bernoulli,54,none,1.0,1.0,raw,54,50,0.5656577764459094,0.4816009548460961
35,bernoulli,54,none,1.0,1.0,raw,54,20,0.614221157188607,0.4395389557836598
46,bernoulli,54,none,1.0,1.0,raw,54,50,0.5748712121212122,0.4359077361416066
29,bernoulli,54,none,1.0,1.0,raw,54,50,0.6142863516709053,0.4521913446290632
14,bernoulli,54,none,1.0,1.0,raw,54,50,0.6469446002159411,0.413222125895492
7,bernoulli,54,none,1.0,1.0,raw,54,50,0.5950229855701699,0.4203847418889004
10,bernoulli,54,none,1.0,1.0,raw,54,10,0.582961972667855,0.4403407309411547
23,bernoulli,54,none,1.0,1.0,raw,54,20,0.5417849665892339,0.4666148672845675
19,bernoulli,54,none,1.0,1.0,raw,54,50,0.5940388822242608,0.4023348983235382
15,bernoulli,54,none,1.0,1.0,raw,54,50,0.5796542352408274,0.441335368584039
31,bernoulli,54,none,1.0,1.0,raw,54,50,0.5611273659875741,0.3971442195562917
18,bernoulli,54,none,1.0,1.0,raw,54,20,0.6018191913253641,0.4200308547437074
34,bernoulli,54,none,1.0,1.0,raw,54,50,0.5333316222644285,0.4106918470994107
30,bernoulli,54,none,1.0,1.0,raw,54,50,0.5661109805415306,0.4208731057317312
11,bernoulli,54,none,1.0,1.0,raw,54,50,0.6332104137473266,0.4490885836220671
44,bernoulli,54,none,1.0,1.0,raw,54,20,0.6007078507078507,0.3953435109154124
38,bernoulli,54,none,1.0,1.0,raw,54,50,0.5823618283085665,0.4484265349373389
47,bernoulli,54,none,1.0,1.0,raw,54,20,0.5976138416199259,0.3817983545407766
22,bernoulli,54,none,1.0,1.0,raw,54,50,0.5647464104530836,0.4730497251467284
2,bernoulli,54,none,1.0,1.0,raw,54,50,0.5395097201114488,0.4272845964793837
26,bernoulli,54,none,1.0,1.0,raw,54,20,0.5641556625339538,0.4713271503890508
6,bernoulli,54,none,1.0,1.0,raw,54,20,0.5819323862141542,0.4813377151809351
39,bernoulli,54,none,1.0,1.0,raw,54,50,0.5851522332626561,0.4676703257789173
27,bernoulli,54,none,1.0,1.0,raw,54,50,0.5170839272986457,0.4486707579160265
43,bernoulli,54,none,1.0,1.0,raw,54,50,0.5501735626221921,0.4827174312237434
12,bernoulli,54,none,1.0,1.0,raw,54,50,0.5856756756756757,0.436015317664203
4,bernoulli,54,none,1.0,1.0,raw,54,50,0.5506062162456615,0.4422570696179972
0,bernoulli,54,none,1.0,1.0,raw,54,50,0.5596463693827303,0.4718905781075527
16,bernoulli,54,none,1.0,1.0,raw,54,5,0.542084487534626,0.4669093391577198
32,bernoulli,54,none,1.0,1.0,raw,54,50,0.5001258431490989,0.4072748425448802
20,bernoulli,54,none,1.0,1.0,raw,54,50,0.5589106162482265,0.4309804191268125
24,bernoulli,54,none,1.0,1.0,raw,54,10,0.5315997130559541,0.5154024857790847
36,bernoulli,54,none,1.0,1.0,raw,54,20,0.5446737673281183,0.4561854140409982
40,bernoulli,54,none,1.0,1.0,raw,54,50,0.6194740323029797,0.4091469471654055
45,bernoulli,54,none,1.0,1.0,raw,54,50,0.5695116756379972,0.4830887235812686
8,bernoulli,54,none,1.0,1.0,raw,54,50,0.5997189549286979,0.4453688134174063
49,bernoulli,54,none,1.0,1.0,raw,54,50,0.5162386363636363,0.4359537456589109
28,bernoulli,54,none,1.0,1.0,raw,54,20,0.5563707900535095,0.49162211566528013
