seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_rasch,rmse_rasch
42,beta,54,none,1.0,1.0,raw,54,50,0.6170127301940428,0.2545791512524064
21,beta,54,none,1.0,1.0,raw,54,20,0.6018066427273588,0.2566803725771483
23,beta,54,none,1.0,1.0,raw,54,50,0.5886102268490637,0.2788819919583407
43,beta,54,none,1.0,1.0,raw,54,20,0.5885302371357513,0.2885110466452057
40,beta,54,none,1.0,1.0,raw,54,50,0.4751374965190754,0.2855364342279729
28,beta,54,none,1.0,1.0,raw,54,20,0.5681177211205539,0.3070679499505309
20,beta,54,none,1.0,1.0,raw,54,50,0.5906329035839862,0.2615029455907067
48,beta,54,none,1.0,1.0,raw,54,50,0.5629727580403544,0.2530513014469549
33,beta,54,none,1.0,1.0,raw,54,20,0.516122060857538,0.3096909152707764
1,beta,54,none,1.0,1.0,raw,54,50,0.5665864533937292,0.2902501426716141
46,beta,54,none,1.0,1.0,raw,54,50,0.5228409090909091,0.2723697249893927
17,beta,54,none,1.0,1.0,raw,54,20,0.5986029254475581,0.2674946480732597
9,beta,54,none,1.0,1.0,raw,54,50,0.6115793918918919,0.2608492913457901
37,beta,54,none,1.0,1.0,raw,54,50,0.590795238817067,0.2698477255390873
25,beta,54,none,1.0,1.0,raw,54,20,0.5862418006859121,0.2913358577766932
2,beta,54,none,1.0,1.0,raw,54,50,0.6279682750759878,0.2434427663431785
13,beta,54,none,1.0,1.0,raw,54,5,0.6561267547367551,0.2529829403700694
5,beta,54,none,1.0,1.0,raw,54,20,0.6163379080064133,0.2684446490871227
15,beta,54,none,1.0,1.0,raw,54,50,0.5854673108863053,0.2729533950950198
41,beta,54,none,1.0,1.0,raw,54,5,0.4964099216710183,0.2566719547001531
35,beta,54,none,1.0,1.0,raw,54,20,0.5484035589873306,0.277191254505418
19,beta,54,none,1.0,1.0,raw,54,50,0.619239997177334,0.2585797741158689
29,beta,54,none,1.0,1.0,raw,54,50,0.5077633516262883,0.2988276637453995
3,beta,54,none,1.0,1.0,raw,54,50,0.5614374557665376,0.2699348220259572
10,beta,54,none,1.0,1.0,raw,54,10,0.5443998811645869,0.2819676250852603
27,beta,54,none,1.0,1.0,raw,54,50,0.6090891541933952,0.2615293557691809
31,beta,54,none,1.0,1.0,raw,54,50,0.4806025140875595,0.2573536054418309
44,beta,54,none,1.0,1.0,raw,54,20,0.573564636064636,0.2443068358168985
11,beta,54,none,1.0,1.0,raw,54,50,0.640718342060624,0.261959193222247
7,beta,54,none,1.0,1.0,raw,54,50,0.5319323841144171,0.2660151309374284
39,beta,54,none,1.0,1.0,raw,54,50,0.5256794024307432,0.2990913353893162
0,beta,54,none,1.0,1.0,raw,54,20,0.5996241954759471,0.2897992539503829
30,beta,54,none,1.0,1.0,raw,54,20,0.5473332739016622,0.2554948845890617
47,beta,54,none,1.0,1.0,raw,54,20,0.5301834775168742,0.2471959695438087
38,beta,54,none,1.0,1.0,raw,54,50,0.562104915026195,0.2874560306968496
26,beta,54,none,1.0,1.0,raw,54,20,0.5710270822687787,0.2778689690088576
6,beta,54,none,1.0,1.0,raw,54,20,0.6008714811891608,0.2769866175233411
18,beta,54,none,1.0,1.0,raw,54,20,0.6159530341629107,0.255262114573614
34,beta,54,none,1.0,1.0,raw,54,50,0.5232020943483394,0.2600009540622886
22,beta,54,none,1.0,1.0,raw,54,20,0.4992868004252284,0.3046494117796562
14,beta,54,none,1.0,1.0,raw,54,20,0.5706202867497511,0.2767156150162104
32,beta,54,none,1.0,1.0,raw,54,50,0.5481308097587168,0.2501939974533648
24,beta,54,none,1.0,1.0,raw,54,10,0.5854136776661885,0.2991071781878257
45,beta,54,none,1.0,1.0,raw,54,50,0.6329047748131511,0.2856205074282529
16,beta,54,none,1.0,1.0,raw,54,5,0.5937119113573407,0.2806376440135098
36,beta,54,none,1.0,1.0,raw,54,5,0.5659757516830924,0.267453714671273
12,beta,54,none,1.0,1.0,raw,54,50,0.5787281399046105,0.2622171893718359
8,beta,54,none,1.0,1.0,raw,54,10,0.5986706122024119,0.2725429616536821
4,beta,54,none,1.0,1.0,raw,54,50,0.569220712518093,0.2678962264611476
49,beta,54,none,1.0,1.0,raw,54,50,0.5452803030303031,0.2597201314684466
