seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_naive,rmse_naive
42,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3920777771495616
17,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.3959342635458263
41,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3586860978304677
5,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4021382223557661
9,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.3830146839511708
13,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4145920623965775
37,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4037496576809686
33,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.4073818834524473
3,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3957293984671116
48,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3623614613759703
21,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3751986494020197
1,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4141026243526021
25,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4237316039264258
35,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.3962588867009284
46,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3924700839796585
29,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4034769894622307
14,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3778133755493116
7,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.38228103179414
10,bernoulli,54,none,1.0,1.0,raw,54,10,0.5,0.3954408565407123
23,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.4131849995325238
19,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3706656948604011
15,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3960505023648264
31,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3672641308950265
18,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.3820276583949348
34,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3759672683954236
30,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3825726633614887
11,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3972286886112732
44,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.3662715607373668
38,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4008269932688938
47,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.3577543078082547
22,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4176922890997787
2,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3867652364206525
26,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.4163536167339974
6,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.4184531141562945
39,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4139842553254642
27,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3993457838425046
43,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4235272372268269
12,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3900060709456337
4,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3969939954589465
0,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4162726526139322
16,bernoulli,54,none,1.0,1.0,raw,54,5,0.5,0.4126488287076755
32,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3738375567897626
20,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3891863652573132
24,bernoulli,54,none,1.0,1.0,raw,54,10,0.5,0.4479845756979225
36,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.4036241915243728
40,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3749458552054506
45,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.4244532040884336
8,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.398199178441492
49,bernoulli,54,none,1.0,1.0,raw,54,50,0.5,0.3924700839796585
28,bernoulli,54,none,1.0,1.0,raw,54,20,0.5,0.430795472179773
