seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_knn,rmse_knn
42,beta,54,none,1.0,1.0,raw,54,50,0.8110245952292671,0.2242791360359762
21,beta,54,none,1.0,1.0,raw,54,20,0.688483298457723,0.2435424495702929
23,beta,54,none,1.0,1.0,raw,54,50,0.7695374114543004,0.2478375339971907
43,beta,54,none,1.0,1.0,raw,54,20,0.7567829070741732,0.2500981644785766
40,beta,54,none,1.0,1.0,raw,54,50,0.713189223057644,0.2566245627058106
28,beta,54,none,1.0,1.0,raw,54,20,0.7287944601825622,0.2667916008356757
20,beta,54,none,1.0,1.0,raw,54,50,0.8056103880081426,0.2348607909770443
48,beta,54,none,1.0,1.0,raw,54,50,0.706922379833922,0.2384736113244608
33,beta,54,none,1.0,1.0,raw,54,20,0.6658526394651914,0.2766437831333193
1,beta,54,none,1.0,1.0,raw,54,50,0.7067945360605846,0.2650364638828743
46,beta,54,none,1.0,1.0,raw,54,50,0.7347651515151514,0.2488895804480103
17,beta,54,none,1.0,1.0,raw,54,20,0.7485413331956421,0.237010231532086
9,beta,54,none,1.0,1.0,raw,54,50,0.7057516891891892,0.2425518602167181
37,beta,54,none,1.0,1.0,raw,54,50,0.7193457343525556,0.2479451038309114
25,beta,54,none,1.0,1.0,raw,54,20,0.804588286218493,0.2478371206394277
2,beta,54,none,1.0,1.0,raw,54,50,0.8110673125633232,0.2195153386740507
13,beta,54,none,1.0,1.0,raw,54,5,0.7512686505419345,0.2282925519554164
5,beta,54,none,1.0,1.0,raw,54,20,0.6734404189282616,0.2564277015327646
15,beta,54,none,1.0,1.0,raw,54,50,0.7757134229201269,0.2427935094047138
41,beta,54,none,1.0,1.0,raw,54,5,0.719340928870955,0.2578231057962186
35,beta,54,none,1.0,1.0,raw,54,20,0.7583409143017743,0.2379600752378389
19,beta,54,none,1.0,1.0,raw,54,50,0.7567391150942064,0.2372283577313233
29,beta,54,none,1.0,1.0,raw,54,50,0.7075432412736656,0.2637873926368302
3,beta,54,none,1.0,1.0,raw,54,50,0.6510488036260146,0.2552727241768827
10,beta,54,none,1.0,1.0,raw,54,10,0.800616458704694,0.2399390428960011
27,beta,54,none,1.0,1.0,raw,54,50,0.7366209313376099,0.2405170390453614
31,beta,54,none,1.0,1.0,raw,54,50,0.7181494726195636,0.2391798476262719
44,beta,54,none,1.0,1.0,raw,54,20,0.7210290647790647,0.2355883266104555
11,beta,54,none,1.0,1.0,raw,54,50,0.7297145807212921,0.2441326368932432
7,beta,54,none,1.0,1.0,raw,54,50,0.7939199974460477,0.2323892955225183
39,beta,54,none,1.0,1.0,raw,54,50,0.7541955958369712,0.264495692919329
0,beta,54,none,1.0,1.0,raw,54,20,0.7666772256698967,0.2527422707693645
30,beta,54,none,1.0,1.0,raw,54,20,0.7484581533499202,0.2351137202004521
47,beta,54,none,1.0,1.0,raw,54,20,0.7472573438539786,0.2347949557143118
38,beta,54,none,1.0,1.0,raw,54,50,0.7018663419547359,0.2651263774168788
26,beta,54,none,1.0,1.0,raw,54,20,0.7348620337250894,0.2448575822200921
6,beta,54,none,1.0,1.0,raw,54,20,0.729505393317548,0.2512609154906474
18,beta,54,none,1.0,1.0,raw,54,20,0.7499510092102685,0.2360055313805757
34,beta,54,none,1.0,1.0,raw,54,50,0.7368718238283455,0.2435366751611004
22,beta,54,none,1.0,1.0,raw,54,20,0.7403516208469582,0.2589283118692985
14,beta,54,none,1.0,1.0,raw,54,20,0.7898047322915709,0.2390867984490595
32,beta,54,none,1.0,1.0,raw,54,50,0.7000528541226216,0.2440692110518803
24,beta,54,none,1.0,1.0,raw,54,10,0.7395504543280728,0.2597966713386316
45,beta,54,none,1.0,1.0,raw,54,50,0.6970207437813835,0.2572246409513148
16,beta,54,none,1.0,1.0,raw,54,5,0.7704362880886426,0.249774242332412
36,beta,54,none,1.0,1.0,raw,54,5,0.7839380680897453,0.2341938669908547
12,beta,54,none,1.0,1.0,raw,54,50,0.7113672496025437,0.244136123615729
8,beta,54,none,1.0,1.0,raw,54,10,0.7229252479590775,0.241038697249724
4,beta,54,none,1.0,1.0,raw,54,50,0.7260820843255358,0.2419634367063726
49,beta,54,none,1.0,1.0,raw,54,50,0.7301666666666667,0.23614253488723802
