seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn,selected_knn_k
42,bernoulli,54,none,1.0,1.0,raw,54,0.8105379433938946,0.3568195625310491,50.0
17,bernoulli,54,none,1.0,1.0,raw,54,0.7393172480434318,0.3729960821434317,20.0
41,bernoulli,54,none,1.0,1.0,raw,54,0.7332364111084738,0.3471649963852571,50.0
5,bernoulli,54,none,1.0,1.0,raw,54,0.6708846329229365,0.3929236680064737,50.0
9,bernoulli,54,none,1.0,1.0,raw,54,0.714856418918919,0.373841761995033,20.0
13,bernoulli,54,none,1.0,1.0,raw,54,0.7540300339226124,0.3844384482205672,50.0
37,bernoulli,54,none,1.0,1.0,raw,54,0.7089983181388364,0.3870553565035236,50.0
33,bernoulli,54,none,1.0,1.0,raw,54,0.679431765790687,0.3989831516657193,20.0
3,bernoulli,54,none,1.0,1.0,raw,54,0.6701953048532578,0.3853863970580488,50.0
48,bernoulli,54,none,1.0,1.0,raw,54,0.7325183554955521,0.3525854275718697,50.0
21,bernoulli,54,none,1.0,1.0,raw,54,0.7156087731535302,0.3601594324860874,50.0
1,bernoulli,54,none,1.0,1.0,raw,54,0.7077110906645906,0.3945051883361168,50.0
25,bernoulli,54,none,1.0,1.0,raw,54,0.8119168914194386,0.3812508747215867,50.0
35,bernoulli,54,none,1.0,1.0,raw,54,0.769949041099943,0.3691138807831653,20.0
46,bernoulli,54,none,1.0,1.0,raw,54,0.7534621212121212,0.3719663700084344,50.0
29,bernoulli,54,none,1.0,1.0,raw,54,0.7322721932211961,0.3821554188898269,50.0
14,bernoulli,54,none,1.0,1.0,raw,54,0.786829264209848,0.3509953056005224,50.0
7,bernoulli,54,none,1.0,1.0,raw,54,0.8203055165368408,0.3499352731628749,50.0
10,bernoulli,54,none,1.0,1.0,raw,54,0.7997214795008912,0.3666895472728014,10.0
23,bernoulli,54,none,1.0,1.0,raw,54,0.7646727752444865,0.3786807815011179,20.0
19,bernoulli,54,none,1.0,1.0,raw,54,0.7632047844188837,0.3499486225600044,50.0
15,bernoulli,54,none,1.0,1.0,raw,54,0.7809565151743922,0.3668055678567463,50.0
31,bernoulli,54,none,1.0,1.0,raw,54,0.7431774671290277,0.3505347063040921,50.0
18,bernoulli,54,none,1.0,1.0,raw,54,0.7455377555686198,0.3661039272363934,20.0
34,bernoulli,54,none,1.0,1.0,raw,54,0.7417398148623444,0.3605774582345366,50.0
30,bernoulli,54,none,1.0,1.0,raw,54,0.7441304471152677,0.3608491558272276,50.0
11,bernoulli,54,none,1.0,1.0,raw,54,0.7257098606091894,0.3821542686119686,50.0
44,bernoulli,54,none,1.0,1.0,raw,54,0.7099733662233664,0.3601185114817886,20.0
38,bernoulli,54,none,1.0,1.0,raw,54,0.7096684480723987,0.383926328227945,50.0
47,bernoulli,54,none,1.0,1.0,raw,54,0.7405456792470768,0.3469181905955512,20.0
22,bernoulli,54,none,1.0,1.0,raw,54,0.7411018260600433,0.3925909163635351,50.0
2,bernoulli,54,none,1.0,1.0,raw,54,0.8047389501013171,0.3556527929390237,50.0
26,bernoulli,54,none,1.0,1.0,raw,54,0.7262693973052202,0.3879791105056938,20.0
6,bernoulli,54,none,1.0,1.0,raw,54,0.7425151275980005,0.3910614627033637,20.0
39,bernoulli,54,none,1.0,1.0,raw,54,0.7776611372108815,0.3841343459740514,50.0
27,bernoulli,54,none,1.0,1.0,raw,54,0.7469707769066287,0.3743824045471158,50.0
43,bernoulli,54,none,1.0,1.0,raw,54,0.7456975089441275,0.3962751127582573,50.0
12,bernoulli,54,none,1.0,1.0,raw,54,0.7042329093799682,0.3738768766018761,50.0
4,bernoulli,54,none,1.0,1.0,raw,54,0.7255762556224806,0.3796324113041365,50.0
0,bernoulli,54,none,1.0,1.0,raw,54,0.761742091546558,0.3836219948122331,50.0
16,bernoulli,54,none,1.0,1.0,raw,54,0.7802285318559556,0.3829188880226422,5.0
32,bernoulli,54,none,1.0,1.0,raw,54,0.6951491660793987,0.3700720928168401,50.0
20,bernoulli,54,none,1.0,1.0,raw,54,0.8031622046758375,0.3561422653592261,50.0
24,bernoulli,54,none,1.0,1.0,raw,54,0.7218316594930656,0.4140179448177748,10.0
36,bernoulli,54,none,1.0,1.0,raw,54,0.7619731589104463,0.3732349660545105,20.0
40,bernoulli,54,none,1.0,1.0,raw,54,0.7347187412976885,0.3573552679316499,50.0
45,bernoulli,54,none,1.0,1.0,raw,54,0.6949295847371207,0.4028636203286666,50.0
8,bernoulli,54,none,1.0,1.0,raw,54,0.7167095421493257,0.3785966611239377,50.0
49,bernoulli,54,none,1.0,1.0,raw,54,0.7355833333333333,0.370145006568615,50.0
28,bernoulli,54,none,1.0,1.0,raw,54,0.7247875354107649,0.40291321832206245,20.0
