seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_naive,rmse_naive
42,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2542012628215918
21,beta,54,none,1.0,1.0,raw,54,20,0.5,0.257452525628104
23,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2748753888481758
43,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2788020331952037
40,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2685871728842996
28,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2926307635963882
20,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2628800830739616
48,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2498031228428828
33,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2870289956026625
1,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2785951027486996
46,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2624517538374725
17,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2637836925627149
9,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2573521289492059
37,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2671380845044079
25,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2845510566600645
2,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2495620960358432
13,beta,54,none,1.0,1.0,raw,54,5,0.5,0.2576909067500987
5,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2616193070017826
15,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2717116111576571
41,beta,54,none,1.0,1.0,raw,54,5,0.5,0.2522182548186293
35,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2641395659539723
19,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2603054890140719
29,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2810209321620384
3,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2600613681646652
10,beta,54,none,1.0,1.0,raw,54,10,0.5,0.2711055500199741
27,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2628555518187883
31,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2531002750801421
44,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2454320928907148
11,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2601588292036993
7,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2606414142992545
39,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2836646824132109
0,beta,54,none,1.0,1.0,raw,54,20,0.5,0.281572739545136
30,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2555378502535331
47,beta,54,none,1.0,1.0,raw,54,20,0.5,0.244301186216428
38,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2764934480530646
26,beta,54,none,1.0,1.0,raw,54,20,0.5,0.270311608064977
6,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2747260658349709
18,beta,54,none,1.0,1.0,raw,54,20,0.5,0.252771114290939
34,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2561244901463063
22,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2837419185874003
14,beta,54,none,1.0,1.0,raw,54,20,0.5,0.2685810422970259
32,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2565291715759179
24,beta,54,none,1.0,1.0,raw,54,10,0.5,0.2900763593641032
45,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2788619810388606
16,beta,54,none,1.0,1.0,raw,54,5,0.5,0.2756864568525844
36,beta,54,none,1.0,1.0,raw,54,5,0.5,0.2630909489506219
12,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2597641048530327
8,beta,54,none,1.0,1.0,raw,54,10,0.5,0.2638855809846538
4,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2610414052572765
49,beta,54,none,1.0,1.0,raw,54,50,0.5,0.2582229900942229
