train_auc,train_acc,test_auc,test_acc,final_epoch,active_dims,n_test_samples,n_train_samples,K_MODEL,lambda_tau,scenario,n_models,n_items
0.7677381072472886,0.7070219123505976,0.6643211937902892,0.6295454545454545,640,2,2200,20080,100,50,thai_exam,183,557
0.7668757794899649,0.7057270916334661,0.6642120629835859,0.63,620,2,2200,20080,50,50,thai_exam,183,557
0.7657926407012917,0.7061254980079681,0.6638687206763425,0.6295454545454545,670,1,2200,20080,50,75,thai_exam,183,557
0.7680104239001402,0.7047310756972112,0.663838499837563,0.6286363636363637,610,2,2200,20080,100,40,thai_exam,183,557
0.7658264210096825,0.7066733067729084,0.6638309446278682,0.6290909090909091,670,1,2200,20080,50,80,thai_exam,183,557
0.7661105495519182,0.7070219123505976,0.6634473078689187,0.6304545454545455,670,1,2200,20080,100,75,thai_exam,183,557
0.7665239507222933,0.7070717131474104,0.6631870728683185,0.6313636363636363,680,1,2200,20080,100,80,thai_exam,183,557
0.7671367180374661,0.7073207171314742,0.6629385904161326,0.6295454545454545,700,1,2200,20080,50,100,thai_exam,183,557
0.7669875362179752,0.7075697211155378,0.6627564259157124,0.6304545454545455,690,1,2200,20080,100,100,thai_exam,183,557
0.7718586467158719,0.7072211155378486,0.662680873818764,0.6290909090909091,590,3,2200,20080,100,30,thai_exam,183,557
0.7689881980427744,0.7065239043824701,0.6623509629954224,0.6254545454545455,610,2,2200,20080,50,40,thai_exam,183,557
0.7734473134288886,0.7081673306772909,0.6615904052194748,0.6336363636363637,570,5,2200,20080,50,25,thai_exam,183,557
0.772413052627397,0.7092629482071713,0.660920509959865,0.6272727272727273,580,3,2200,20080,50,30,thai_exam,183,557
0.7756093578723865,0.7108565737051793,0.6604965787492099,0.6309090909090909,580,3,2200,20080,100,25,thai_exam,183,557
0.7785740922475753,0.7135956175298804,0.6589284530036577,0.6327272727272727,560,7,2200,20080,50,20,thai_exam,183,557
0.7803233587736202,0.7134462151394423,0.6586774521482399,0.6304545454545455,570,6,2200,20080,100,20,thai_exam,183,557
0.7885542113768369,0.7215139442231076,0.6555999633992065,0.6313636363636363,550,9,2200,20080,100,15,thai_exam,183,557
0.7873622476419001,0.722011952191235,0.6554765616408573,0.6313636363636363,560,9,2200,20080,50,15,thai_exam,183,557
0.8235072474243101,0.7504980079681275,0.649812672772955,0.6272727272727273,530,36,2200,20080,100,5,thai_exam,183,557
0.8199110680903718,0.7473605577689243,0.6487784485125051,0.6240909090909091,540,29,2200,20080,50,5,thai_exam,183,557
