train_auc,train_acc,test_auc,test_acc,final_epoch,active_dims,n_test_samples,n_train_samples,K_MODEL,lambda_tau,scenario,n_models,n_items
0.8881676168637308,0.8760126287965931,0.7770410052999132,0.847723704866562,810,2,4459,40859,100,80,commonsense,183,498
0.8901008532812459,0.8773831958687193,0.7768426794529035,0.847499439336174,860,2,4459,40859,100,75,commonsense,183,498
0.8963668469408889,0.8813969994370885,0.7767362771309085,0.8472751738057861,780,4,4459,40859,100,40,commonsense,183,498
0.8935781696018907,0.8798795858929489,0.7766497410652353,0.847723704866562,790,4,4459,40859,100,50,commonsense,183,498
0.8889186491009499,0.8762818473286179,0.7763960254018709,0.8472751738057861,940,2,4459,40859,50,75,commonsense,183,498
0.8878727112920738,0.8755476149685504,0.7763096576943022,0.847499439336174,930,2,4459,40859,50,80,commonsense,183,498
0.8936554630281683,0.8799530091289557,0.7761980362710701,0.847499439336174,850,6,4459,40859,50,40,commonsense,183,498
0.8916387224509796,0.8787292885288431,0.7761854094132382,0.847499439336174,710,10,4459,40859,50,30,commonsense,183,498
0.8841545135362343,0.8728799040603049,0.7758724316971171,0.8472751738057861,910,2,4459,40859,50,100,commonsense,183,498
0.8911731560725958,0.8778237352847598,0.7758606466298075,0.847499439336174,870,5,4459,40859,50,50,commonsense,183,498
0.8855006582904446,0.873956778188404,0.7758020580094683,0.84794797039695,870,2,4459,40859,100,100,commonsense,183,498
0.893048060181366,0.8791208791208791,0.775148660206205,0.847723704866562,680,22,4459,40859,50,25,commonsense,183,498
0.8968586471647662,0.8808096135490345,0.7737691338985676,0.8454810495626822,670,44,4459,40859,50,20,commonsense,183,498
0.9037439212420015,0.884749993881397,0.773088967156701,0.8448082529715183,760,10,4459,40859,100,30,commonsense,183,498
0.9066795214444392,0.8854108030054578,0.7711754089418357,0.8436869253195783,660,50,4459,40859,50,15,commonsense,183,498
0.9085420234344967,0.8876135000856604,0.770670166270464,0.8425655976676385,710,9,4459,40859,100,25,commonsense,183,498
0.91164262190584,0.8893267089258181,0.7698620473692361,0.8409957389549226,670,11,4459,40859,100,20,commonsense,183,498
0.9180661454758506,0.8928999730781468,0.7679606109378893,0.8418928010764746,640,20,4459,40859,100,15,commonsense,183,498
0.9264918856649944,0.8980151251866174,0.7636982888082267,0.8389773491814309,640,50,4459,40859,50,5,commonsense,183,498
0.9410250964020191,0.9070951320394528,0.7575884048406323,0.837183224938327,570,100,4459,40859,100,5,commonsense,183,498
