n_samples,model_type,seed,lambda_tau,araf_latent_dim,araf_dropout,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,train_item_count,test_item_count,train_observed_count,test_observed_count,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,beta,14,0.002,10,0.2,train_items_only_refit_v1,train_items_only,97,transport_binary_strength,1,32.0,2200,97,10,2200,272,0.455487914033919,0.7826744186046511,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8.189676284790039, 8.278613090515137, 8.176806449890137, 8.187369346618652, 8.18167781829834, 8.182844161987305, 8.175929069519043, 8.12549877166748, 8.202616691589355, 8.260826110839844]",sae,286,Pre-32
1,beta,28,0.002,10,0.2,train_items_only_refit_v1,train_items_only,97,transport_binary_strength,1,32.0,2182,97,10,2182,220,0.5050715198955287,0.4025821596244131,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8.626338958740234, 8.569245338439941, 8.627096176147461, 8.515889167785645, 8.551255226135254, 8.817771911621094, 8.73239803314209, 8.681583404541016, 8.70311450958252, 8.762346267700195]",sae,286,Pre-32
1,beta,0,0.002,10,0.2,train_items_only_refit_v1,train_items_only,97,transport_binary_strength,1,32.0,2078,97,10,2078,286,0.4641310092178447,0.4184210526315789,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8.074333190917969, 8.01300048828125, 7.894545555114746, 7.956589221954346, 7.874748229980469, 7.949578285217285, 8.010824203491211, 8.011007308959961, 7.85970401763916, 7.91683292388916]",sae,286,Pre-32
1,beta,20,0.004,10,0.2,train_items_only_refit_v1,train_items_only,97,transport_binary_strength,1,32.0,2182,97,10,2182,220,0.5273321644958551,0.4376078466987558,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7.761739730834961, 7.83522367477417, 7.599412441253662, 7.791322708129883, 7.757115364074707, 7.606631278991699, 7.7240729331970215, 7.5956830978393555, 7.724906921386719, 7.816227436065674]",sae,286,Pre-32
1,beta,42,0.002,10,0.2,train_items_only_refit_v1,train_items_only,97,transport_binary_strength,1,32.0,2370,97,10,2370,220,0.4283369514235834,0.8012073623775751,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7.865120887756348, 7.8063154220581055, 7.737469673156738, 7.855508327484131, 7.778405666351318, 7.887804985046387, 7.742435932159424, 7.753243446350098, 7.690640449523926, 7.767899036407471]",sae,286,Pre-32
1,beta,48,0.004,10,0.2,train_items_only_refit_v1,train_items_only,97,transport_binary_strength,1,32.0,2304,97,10,2304,220,0.5324360286541413,0.5343300110741971,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8.375560760498047, 8.38017749786377, 8.438429832458496, 8.350378036499023, 8.401765823364258, 8.351133346557617, 8.42723560333252, 8.405760765075684, 8.374397277832031, 8.38099479675293]",sae,286,Pre-32
1,beta,34,0.004,10,0.2,train_items_only_refit_v1,train_items_only,97,transport_binary_strength,1,32.0,2686,97,10,2686,286,0.440115653871881,0.808294678038805,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8.054041862487793, 7.989726543426514, 7.970957279205322, 8.00426959991455, 8.007720947265625, 8.073280334472656, 7.971767902374268, 7.958800315856934, 8.003399848937988, 8.023441314697266]",sae,286,Pre-32
1,beta,12,0.005,10,0.2,train_items_only_refit_v1,train_items_only,97,transport_binary_strength,1,32.0,2408,97,10,2408,220,0.5293862805746565,0.5436527639854353,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8.7362060546875, 8.74162769317627, 8.949312210083008, 8.852241516113281, 8.738028526306152, 8.684990882873535, 8.785381317138672, 8.733545303344727, 8.757832527160645, 8.764211654663086]",sae,286,Pre-32
1,beta,6,0.004,10,0.2,train_items_only_refit_v1,train_items_only,97,transport_binary_strength,1,32.0,2408,97,10,2408,286,0.4662880458598604,0.6279183884297522,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8.763260841369629, 8.54190731048584, 8.338117599487305, 8.693023681640625, 8.709977149963379, 8.501967430114746, 8.489108085632324, 8.47813606262207, 8.74392318725586, 8.362983703613281]",sae,286,Pre-32
1,beta,40,0.005,10,0.2,train_items_only_refit_v1,train_items_only,97,transport_binary_strength,1,32.0,2304,97,10,2304,220,0.507547779042166,0.6405163020702372,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8.55627727508545, 8.590865135192871, 8.764386177062988, 8.791749954223633, 8.555790901184082, 8.729205131530762, 8.742778778076172, 8.609794616699219, 8.565757751464844, 8.508959770202637]",sae,286,Pre-32
