item,assigned_skill,max_loading
0,2,0.06343558659838622
1,16,0.05094828451274104
2,16,0.043227791992734625
3,0,0.06034932551918217
4,18,0.021882606979735823
5,16,0.04410941679576922
6,2,0.0668592786106036
7,0,0.033388547297788736
8,0,0.03766267664917398
9,2,0.03867083311600034
10,16,0.07725720676883266
11,16,0.07157904850878863
12,0,0.06079678579704693
13,18,0.035378499377617736
14,0,0.034477256695587516
15,2,0.04947350457803637
16,2,0.03060982479099406
17,18,0.060642034743730575
18,5,0.018049711452502535
19,0,0.029798068065852522
20,0,0.054867189657892466
21,18,0.04866395228850571
22,2,0.029653158049340517
23,16,0.07317199842248015
24,18,0.026365111657901015
25,16,0.057323008005073596
26,0,0.04791750633496469
27,2,0.03247824652985644
28,16,0.043094347107904746
29,16,0.029254627896517026
30,0,0.058500313298104935
31,0,0.034681412030560924
32,0,0.04386234214989189
33,2,0.051292232688855424
34,2,0.06181506681725655
35,2,0.04762315213014852
36,16,0.037275157052002114
37,0,0.06717914313583391
38,16,0.04270753477363821
39,2,0.033092913914229284
40,18,0.03544717193092977
41,12,0.01650505901069918
42,0,0.03408592280927489
43,0,0.04112595151206202
44,16,0.06056593620453476
45,2,0.029098779182308455
46,0,0.025981869856258725
47,0,0.07731927791776208
48,16,0.0396777639507643
49,18,0.034757297645718686
50,2,0.05897553199641046
51,18,0.027023474630485596
52,2,0.04834796683770871
53,2,0.02601510197011883
54,16,0.061359300892984706
55,16,0.04183348952333248
56,16,0.036930499747321294
57,16,0.07628983772672415
58,15,0.023573517900354557
59,14,0.018146326011482604
60,16,0.05307028546984382
61,16,0.05236178971411665
62,0,0.025413492341780773
63,2,0.03547544632164959
64,2,0.05734899132065321
65,2,0.027685708879607144
66,2,0.0511980328055578
67,18,0.03360278867000939
68,18,0.038461737791687337
69,2,0.05814463573708252
70,0,0.05462848880817069
71,0,0.04920943417210121
72,2,0.06557461379361729
73,0,0.055433944636176416
74,18,0.025832322850855755
75,2,0.04459777191732208
76,2,0.05673960859152865
77,2,0.03452187355916243
78,17,0.021352166293090943
79,16,0.05364515572315088
80,5,0.03072095357886235
81,0,0.07186717308679512
82,16,0.03017423648445542
83,2,0.07509499818706937
84,16,0.06878180195150438
85,0,0.06412938629144525
86,2,0.03477582196906484
87,16,0.0517081498446568
88,16,0.07067328948995096
89,2,0.044265723363166816
90,0,0.07115654304151638
91,0,0.06740929601921498
92,0,0.057296478093085704
93,16,0.038392930739825866
94,0,0.04828451035560704
95,0,0.04458409476476251
96,2,0.0753957790610736
97,16,0.038074864571690195
98,16,0.05909370760096143
99,2,0.04846722209438959
100,2,0.046589853706866156
101,16,0.02846925321482492
102,2,0.06615010867098949
103,2,0.048655852954685504
104,2,0.05718949063114513
105,18,0.05905736630305345
106,16,0.03370296582442245
107,0,0.04209786391095873
108,18,0.059702462966421135
109,18,0.0413205567517037
110,2,0.04810860033435448
111,0,0.03996208376359847
112,0,0.03287168177026479
113,18,0.055798701807282115
114,2,0.04992891080148867
115,16,0.05072757772606889
116,0,0.03957572682064003
117,16,0.03371938619783803
118,2,0.06412520371853166
119,16,0.03186458417139911
120,0,0.045891877869584416
121,18,0.04677367244204757
122,18,0.03587700441216609
123,2,0.058943273683396975
