n_samples,model_type,seed,lambda_tau,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,beta,0,0.002,4075,0.2558639467719085,0.7506803357763027,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4773082733154297, 1.452062726020813, 1.4677668809890747, 1.445224642753601, 1.4536384344100952, 1.4734580516815186, 1.4718950986862183, 1.5220729112625122, 1.470225214958191, 1.4682044982910156, 1.4081780910491943, 1.4133161306381226, 1.5041844844818115, 1.4971492290496826, 1.5064682960510254, 1.4596590995788574, 1.5021226406097412, 1.5348527431488037, 1.4818127155303955, 1.446203589439392, 1.453035831451416, 1.394250512123108, 1.4559427499771118, 1.452380657196045, 1.446363925933838, 1.4510782957077026, 1.484026551246643, 1.3454437255859375, 1.4105850458145142, 1.4576728343963623]",pca,32
54,beta,1,0.002,4126,0.2603315627593064,0.7274187840611508,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.6143864393234253, 1.5769420862197876, 1.6169281005859375, 1.578108549118042, 1.603941798210144, 1.551269292831421, 1.5749130249023438, 1.600766658782959, 1.520573377609253, 1.541560411453247, 1.5528572797775269, 1.5517412424087524, 1.5797414779663086, 1.5509698390960693, 1.6021546125411987, 1.5601909160614014, 1.5592070817947388, 1.5722371339797974, 1.5308300256729126, 1.5931017398834229, 1.5144559144973755, 1.6081671714782715, 1.572786808013916, 1.530421257019043, 1.5363701581954956, 1.5078647136688232, 1.5664211511611938, 1.6082597970962524, 1.5230529308319092, 1.565693974494934]",pca,32
54,beta,18,0.006,4212,0.2356942953846271,0.6986086615716245,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.587836742401123, 1.5562278032302856, 1.5343667268753052, 1.5561562776565552, 1.5475372076034546, 1.5296151638031006, 1.4626562595367432, 1.543522596359253, 1.4944039583206177, 1.5740978717803955, 1.5584951639175415, 1.5720369815826416, 1.500340461730957, 1.5729258060455322, 1.5500352382659912, 1.5468584299087524, 1.5594731569290161, 1.5343211889266968, 1.4873281717300415, 1.586139440536499, 1.4464623928070068, 1.571207046508789, 1.5321993827819824, 1.572278618812561, 1.4534536600112915, 1.4266878366470337, 1.5173014402389526, 1.5476468801498413, 1.5555981397628784, 1.4586528539657593]",pca,32
54,beta,12,0.005,4151,0.2457078375311352,0.7117011128775835,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4919567108154297, 1.5358855724334717, 1.4296832084655762, 1.4710639715194702, 1.525921106338501, 1.4619616270065308, 1.5364010334014893, 1.4807685613632202, 1.4841688871383667, 1.4848347902297974, 1.5042906999588013, 1.4965767860412598, 1.4846826791763306, 1.5684195756912231, 1.5172709226608276, 1.4830610752105713, 1.5124677419662476, 1.4748772382736206, 1.5529711246490479, 1.442293643951416, 1.5671812295913696, 1.451887607574463, 1.5325077772140503, 1.4788638353347778, 1.52226722240448, 1.469838261604309, 1.5220913887023926, 1.5633314847946167, 1.4703760147094727, 1.4675734043121338]",pca,32
54,beta,19,0.006,4233,0.2229452182111758,0.789429115799873,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3956218957901, 1.3697826862335205, 1.4530119895935059, 1.4559110403060913, 1.4291496276855469, 1.368067979812622, 1.3624306917190552, 1.3730237483978271, 1.406873345375061, 1.411734700202942, 1.3137363195419312, 1.4703254699707031, 1.4033383131027222, 1.3792287111282349, 1.390170931816101, 1.4178378582000732, 1.3416662216186523, 1.3337923288345337, 1.3319861888885498, 1.3188825845718384, 1.4617884159088135, 1.3316315412521362, 1.3966526985168457, 1.3494505882263184, 1.3146520853042603, 1.3110361099243164, 1.3359267711639404, 1.4364047050476074, 1.276628017425537, 1.3640156984329224]",pca,32
54,beta,13,0.005,4176,0.2181947934082613,0.7860944868860145,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.5894267559051514, 1.5046275854110718, 1.5331815481185913, 1.567600131034851, 1.5480390787124634, 1.5505759716033936, 1.5886969566345215, 1.5630662441253662, 1.5203248262405396, 1.5390006303787231, 1.4936676025390625, 1.5703130960464478, 1.5706236362457275, 1.5758920907974243, 1.5571013689041138, 1.4560661315917969, 1.54768967628479, 1.5533556938171387, 1.5743660926818848, 1.5716936588287354, 1.5830366611480713, 1.554440975189209, 1.5000076293945312, 1.5263752937316895, 1.4636335372924805, 1.5851727724075317, 1.5706437826156616, 1.4470635652542114, 1.5598793029785156, 1.5613789558410645]",pca,32
54,beta,40,0.005,4176,0.2510422498187076,0.7280875800612643,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4756383895874023, 1.5086621046066284, 1.49520742893219, 1.4845685958862305, 1.3756240606307983, 1.5268104076385498, 1.3856158256530762, 1.4763082265853882, 1.482479453086853, 1.4769960641860962, 1.4634724855422974, 1.5005431175231934, 1.5033965110778809, 1.4737001657485962, 1.5083786249160767, 1.4619886875152588, 1.4813170433044434, 1.4667072296142578, 1.4598497152328491, 1.4950129985809326, 1.4767570495605469, 1.522614598274231, 1.5165435075759888, 1.3943744897842407, 1.4887923002243042, 1.485126256942749, 1.4014724493026733, 1.4482859373092651, 1.4789855480194092, 1.485320806503296]",pca,32
54,beta,30,0.01,4060,0.2417842753860661,0.6997511974131014,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.3715206384658813, 1.4334684610366821, 1.357833981513977, 1.4231643676757812, 1.400888442993164, 1.34378182888031, 1.413143515586853, 1.3700482845306396, 1.402518630027771, 1.411666750907898, 1.3110578060150146, 1.3761489391326904, 1.4290939569473267, 1.3464151620864868, 1.273171067237854, 1.3631874322891235, 1.376042127609253, 1.311208963394165, 1.3581602573394775, 1.4275161027908325, 1.3457030057907104, 1.3924599885940552, 1.3908381462097168, 1.386086344718933, 1.3730639219284058, 1.4224547147750854, 1.2998789548873901, 1.376794457435608, 1.2331428527832031, 1.3296326398849487]",pca,32
54,beta,2,0.01,4209,0.2198816980959542,0.7669547872340426,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2117775678634644, 1.2324421405792236, 1.3301403522491455, 1.301047921180725, 1.3468093872070312, 1.34259831905365, 1.3161453008651733, 1.2963476181030273, 1.3592501878738403, 1.304931640625, 1.1905601024627686, 1.3301481008529663, 1.328346848487854, 1.330715298652649, 1.313488245010376, 1.3518539667129517, 1.2857781648635864, 1.1849515438079834, 1.281091332435608, 1.3753634691238403, 1.381260871887207, 1.3611940145492554, 1.3054217100143433, 1.3112311363220215, 1.3246755599975586, 1.3548740148544312, 1.3381673097610474, 1.3302638530731201, 1.2517836093902588, 1.3034857511520386]",pca,32
54,beta,8,0.012,4125,0.260449963666196,0.6427381819804012,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.381584882736206, 1.3797588348388672, 1.2906287908554077, 1.3438106775283813, 1.2693718671798706, 1.3677735328674316, 1.3253551721572876, 1.3748033046722412, 1.3453384637832642, 1.387155532836914, 1.3640718460083008, 1.3832966089248657, 1.401487946510315, 1.3573222160339355, 1.292686104774475, 1.3612533807754517, 1.3701013326644897, 1.3182491064071655, 1.3555433750152588, 1.3111556768417358, 1.3619128465652466, 1.4051107168197632, 1.3467681407928467, 1.2770695686340332, 1.2996715307235718, 1.3401720523834229, 1.4196690320968628, 1.2688956260681152, 1.3818073272705078, 1.3024709224700928]",pca,32
54,beta,6,0.004,4117,0.2522350331007038,0.7106222046829782,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.5972495079040527, 1.6539620161056519, 1.483955979347229, 1.6330052614212036, 1.5968972444534302, 1.6415542364120483, 1.5173099040985107, 1.6686161756515503, 1.6500389575958252, 1.565332293510437, 1.5516499280929565, 1.5155773162841797, 1.6449105739593506, 1.6189783811569214, 1.667765736579895, 1.642667293548584, 1.6669682264328003, 1.5291898250579834, 1.4727452993392944, 1.638985276222229, 1.6682963371276855, 1.5171080827713013, 1.601058840751648, 1.6949176788330078, 1.6909022331237793, 1.5333751440048218, 1.7151445150375366, 1.6428276300430298, 1.667464017868042, 1.5100481510162354]",pca,32
54,beta,28,0.002,4254,0.267906460876631,0.7521309411394398,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4146416187286377, 1.395448088645935, 1.481477975845337, 1.4352335929870605, 1.4342457056045532, 1.4948440790176392, 1.4067164659500122, 1.4306460618972778, 1.465667963027954, 1.4168980121612549, 1.4710698127746582, 1.4736045598983765, 1.384006381034851, 1.4207662343978882, 1.4622570276260376, 1.3842709064483643, 1.4576444625854492, 1.3986884355545044, 1.3738011121749878, 1.5060217380523682, 1.4236669540405273, 1.5333493947982788, 1.505262017250061, 1.3806569576263428, 1.490004539489746, 1.4646533727645874, 1.3721132278442383, 1.4844928979873657, 1.487989902496338, 1.3620076179504395]",pca,32
54,beta,34,0.004,4091,0.2458654434575218,0.7104956966617045,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.5797133445739746, 1.6344568729400635, 1.5258351564407349, 1.5609161853790283, 1.460767388343811, 1.5191431045532227, 1.5310038328170776, 1.6256719827651978, 1.6429603099822998, 1.5990266799926758, 1.5947521924972534, 1.6396243572235107, 1.6334980726242065, 1.621675729751587, 1.6353131532669067, 1.604418396949768, 1.6448369026184082, 1.6307045221328735, 1.6170833110809326, 1.6253461837768555, 1.5955569744110107, 1.6111255884170532, 1.6311992406845093, 1.612889289855957, 1.6453982591629028, 1.6245023012161255, 1.5306657552719116, 1.5268323421478271, 1.588914394378662, 1.513405203819275]",pca,32
54,beta,46,0.006,4093,0.237277386511683,0.7672575757575759,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4069950580596924, 1.3853212594985962, 1.4437775611877441, 1.4028258323669434, 1.4002183675765991, 1.4398205280303955, 1.383347988128662, 1.3443481922149658, 1.370318055152893, 1.4153764247894287, 1.400799036026001, 1.416694164276123, 1.400097131729126, 1.4127243757247925, 1.3627830743789673, 1.328635334968567, 1.3434300422668457, 1.4004206657409668, 1.4042741060256958, 1.387847661972046, 1.3965401649475098, 1.339737057685852, 1.3613524436950684, 1.3826653957366943, 1.3409624099731445, 1.38783860206604, 1.3464655876159668, 1.429160714149475, 1.3508754968643188, 1.400915265083313]",pca,32
54,beta,41,0.005,4220,0.2405007521519428,0.6547986391328428,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2731001377105713, 1.2599070072174072, 1.2707527875900269, 1.3108711242675781, 1.3022509813308716, 1.3118548393249512, 1.2746567726135254, 1.2299875020980835, 1.3254040479660034, 1.26756751537323, 1.3284038305282593, 1.2867240905761719, 1.28567636013031, 1.236332654953003, 1.270085096359253, 1.2925384044647217, 1.2365385293960571, 1.2304679155349731, 1.2756444215774536, 1.2380305528640747, 1.3456782102584839, 1.2548935413360596, 1.2757301330566406, 1.2467674016952515, 1.295440435409546, 1.2449640035629272, 1.235784649848938, 1.2914936542510986, 1.2657086849212646, 1.2553044557571411]",pca,32
54,beta,24,0.008,4143,0.261963004390411,0.7628168340506934,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.351772665977478, 1.302075743675232, 1.3238297700881958, 1.338283896446228, 1.323908805847168, 1.3964784145355225, 1.4188923835754395, 1.3745604753494263, 1.3315598964691162, 1.299034833908081, 1.3041805028915405, 1.2957065105438232, 1.3930646181106567, 1.4117683172225952, 1.4124259948730469, 1.349626064300537, 1.3984280824661255, 1.3316298723220825, 1.3453936576843262, 1.3269232511520386, 1.3931074142456055, 1.3394843339920044, 1.3898903131484985, 1.3755388259887695, 1.392924189567566, 1.3862818479537964, 1.2925256490707397, 1.3541736602783203, 1.3901523351669312, 1.3786287307739258]",pca,32
54,beta,36,0.012,4188,0.2355239284466102,0.7669303634301204,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.356764316558838, 1.322681188583374, 1.327499270439148, 1.3303749561309814, 1.3417532444000244, 1.3715603351593018, 1.352453589439392, 1.2336505651474, 1.3792157173156738, 1.3968510627746582, 1.4403678178787231, 1.2657798528671265, 1.350169062614441, 1.3167500495910645, 1.3451296091079712, 1.4120893478393555, 1.299398422241211, 1.2719379663467407, 1.2622649669647217, 1.2887810468673706, 1.329237937927246, 1.2697806358337402, 1.3322659730911255, 1.2730952501296997, 1.275795340538025, 1.405017375946045, 1.3479245901107788, 1.3727874755859375, 1.3365164995193481, 1.3499070405960083]",pca,32
54,beta,14,0.014,4097,0.2513927319284443,0.6851360512902065,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2447543144226074, 1.22484290599823, 1.2272392511367798, 1.2133632898330688, 1.246295690536499, 1.1801892518997192, 1.1597161293029785, 1.207020878791809, 1.1280467510223389, 1.2055729627609253, 1.1388856172561646, 1.2956485748291016, 1.1859781742095947, 1.1064356565475464, 1.238213300704956, 1.2219114303588867, 1.2019603252410889, 1.1538059711456299, 1.1470152139663696, 1.2527199983596802, 1.2026516199111938, 1.1375303268432617, 1.1963592767715454, 1.1404117345809937, 1.1935932636260986, 1.2262486219406128, 1.154623031616211, 1.1849726438522339, 1.278470516204834, 1.2217810153961182]",pca,32
54,beta,26,0.0151,4094,0.2593787330910319,0.6980138773095232,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.0537773370742798, 1.1102904081344604, 1.015139102935791, 1.0541223287582397, 1.14522123336792, 1.1162830591201782, 1.0338518619537354, 1.0614025592803955, 1.0040735006332397, 1.0334025621414185, 1.022887110710144, 1.0865428447723389, 1.0244745016098022, 1.027878999710083, 1.100731372833252, 1.1187899112701416, 1.1244622468948364, 1.0014774799346924, 1.1145915985107422, 1.054249882698059, 1.0818463563919067, 1.1373002529144287, 1.0056995153427124, 1.1228935718536377, 0.9843346476554871, 0.9896519780158997, 1.02239990234375, 1.0070773363113403, 1.065867304801941, 0.9864122271537781]",pca,32
54,beta,31,0.01,4106,0.2247902183615689,0.7764051437653519,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2819931507110596, 1.2835767269134521, 1.2982850074768066, 1.1760567426681519, 1.3405662775039673, 1.311739444732666, 1.276942253112793, 1.1590358018875122, 1.2616745233535767, 1.2131341695785522, 1.2879948616027832, 1.3047704696655273, 1.21627676486969, 1.291576862335205, 1.2070701122283936, 1.2599760293960571, 1.270851731300354, 1.3205676078796387, 1.1566753387451172, 1.313615083694458, 1.339461088180542, 1.290010690689087, 1.2968848943710327, 1.3320895433425903, 1.3220020532608032, 1.30313241481781, 1.2941484451293945, 1.3189911842346191, 1.2543089389801025, 1.2618266344070435]",pca,32
54,beta,20,0.015,4119,0.2276442779765305,0.794329467645426,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.2093907594680786, 1.2902376651763916, 1.3363434076309204, 1.3116406202316284, 1.237217664718628, 1.2770498991012573, 1.169479489326477, 1.277240514755249, 1.1428565979003906, 1.208167314529419, 1.210851788520813, 1.2920172214508057, 1.181222915649414, 1.3097296953201294, 1.3281440734863281, 1.3287278413772583, 1.2767622470855713, 1.1821269989013672, 1.225383996963501, 1.31401789188385, 1.3010151386260986, 1.3314074277877808, 1.1601181030273438, 1.2986361980438232, 1.160707950592041, 1.3158622980117798, 1.2452529668807983, 1.1316043138504028, 1.3573800325393677, 1.307534098625183]",pca,32
54,beta,3,0.01,4099,0.260758003012383,0.6721905163456761,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.4117580652236938, 1.2694878578186035, 1.3293877840042114, 1.3803284168243408, 1.3817784786224365, 1.308456540107727, 1.376623272895813, 1.37577486038208, 1.365932583808899, 1.3024873733520508, 1.3406856060028076, 1.354690432548523, 1.2999085187911987, 1.3189384937286377, 1.2894667387008667, 1.316257357597351, 1.287744402885437, 1.3447219133377075, 1.3488317728042603, 1.3812559843063354, 1.3511451482772827, 1.3841736316680908, 1.2873561382293701, 1.321662425994873, 1.313030481338501, 1.3232351541519165, 1.376489281654358, 1.3484810590744019, 1.2864534854888916, 1.3053545951843262]",pca,32
54,beta,48,0.015,4213,0.2425335826306947,0.651902128682658,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.1498429775238037, 1.2426338195800781, 1.1977133750915527, 1.1648842096328735, 1.173607349395752, 1.2689307928085327, 1.2919626235961914, 1.1753233671188354, 1.3016040325164795, 1.170791506767273, 1.3246374130249023, 1.2904525995254517, 1.1672155857086182, 1.1915614604949951, 1.2834995985031128, 1.209260106086731, 1.3295327425003052, 1.194258451461792, 1.189788579940796, 1.2211142778396606, 1.2457345724105835, 1.2376947402954102, 1.1873544454574585, 1.2893427610397339, 1.1875553131103516, 1.2572494745254517, 1.298513650894165, 1.2536101341247559, 1.3188707828521729, 1.2618255615234375]",pca,32
