seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
0,beta,1,32,1.0,1.0,raw,32,0.8209763311731588,0.366642445970846
43,beta,1,32,1.0,1.0,raw,32,0.9345889585342332,0.277001357620059
2,beta,1,32,1.0,1.0,raw,32,0.8407356237143471,0.3558799963795663
6,beta,1,32,1.0,1.0,raw,32,0.875650713685978,0.3328271414889675
26,beta,1,32,1.0,1.0,raw,32,0.8744334931364084,0.32189213466406
30,beta,1,32,1.0,1.0,raw,32,0.8886036732382898,0.327043066563119
23,beta,1,32,1.0,1.0,raw,32,0.8812327613738642,0.3185837896678715
10,beta,1,32,1.0,1.0,raw,32,0.8628126174574262,0.3493634003298514
42,beta,1,32,1.0,1.0,raw,32,0.8724756097560975,0.3295995979278563
7,beta,1,32,1.0,1.0,raw,32,0.8885394015497228,0.3095095842646162
39,beta,1,32,1.0,1.0,raw,32,0.8581213017751479,0.3424610877556143
3,beta,1,32,1.0,1.0,raw,32,0.8271769393241167,0.3648929325910102
34,beta,1,32,1.0,1.0,raw,32,0.9115721214980697,0.3059264084010379
38,beta,1,32,1.0,1.0,raw,32,0.8888769433842808,0.3086514962164255
27,beta,1,32,1.0,1.0,raw,32,0.8349378170557356,0.3676411484495683
35,beta,1,32,1.0,1.0,raw,32,0.8669787087626878,0.3336239928355045
24,beta,1,32,1.0,1.0,raw,32,0.8588981014179283,0.3497303694730125
47,beta,1,32,1.0,1.0,raw,32,0.8901856099300349,0.3172504912155413
46,beta,1,32,1.0,1.0,raw,32,0.9243090583807524,0.2905397172104129
18,beta,1,32,1.0,1.0,raw,32,0.911599271188433,0.3046983937003309
14,beta,1,32,1.0,1.0,raw,32,0.8844253393665158,0.3207939298179723
11,beta,1,32,1.0,1.0,raw,32,0.9186774168814548,0.2933606387744811
15,beta,1,32,1.0,1.0,raw,32,0.8763020833333334,0.3289556660985936
22,beta,1,32,1.0,1.0,raw,32,0.9122293619285392,0.295864015094079
19,beta,1,32,1.0,1.0,raw,32,0.8831324716894203,0.315053189570475
31,beta,1,32,1.0,1.0,raw,32,0.9027101210597784,0.3046704923333398
33,beta,1,32,1.0,1.0,raw,32,0.9044930238983284,0.3003702327915113
16,beta,1,32,1.0,1.0,raw,32,0.8951221180816857,0.3061066369794946
32,beta,1,32,1.0,1.0,raw,32,0.8623317991263815,0.3420066516721541
12,beta,1,32,1.0,1.0,raw,32,0.8847199580810434,0.3059331300752636
20,beta,1,32,1.0,1.0,raw,32,0.8545313425519312,0.3394182874320245
4,beta,1,32,1.0,1.0,raw,32,0.8688744114203144,0.3424102728669079
48,beta,1,32,1.0,1.0,raw,32,0.8913670815659551,0.3228364570531705
28,beta,1,32,1.0,1.0,raw,32,0.9031609848153908,0.3023407622985682
40,beta,1,32,1.0,1.0,raw,32,0.8837838644229621,0.3198029955163026
36,beta,1,32,1.0,1.0,raw,32,0.8301393112226858,0.3696442856606364
44,beta,1,32,1.0,1.0,raw,32,0.8450760233918129,0.3477088588385308
8,beta,1,32,1.0,1.0,raw,32,0.944004956157072,0.2625171667116961
37,beta,1,32,1.0,1.0,raw,32,0.8611023851076207,0.3462241174822563
29,beta,1,32,1.0,1.0,raw,32,0.8382877805954729,0.3528615580730561
1,beta,1,32,1.0,1.0,raw,32,0.8285144269422029,0.372249590117086
21,beta,1,32,1.0,1.0,raw,32,0.8543050225750115,0.3374450700705275
41,beta,1,32,1.0,1.0,raw,32,0.8833643262500978,0.3362482762558442
5,beta,1,32,1.0,1.0,raw,32,0.8250366736406706,0.3571478621949576
17,beta,1,32,1.0,1.0,raw,32,0.8892575611325612,0.3210258449209713
49,beta,1,32,1.0,1.0,raw,32,0.8346912831180838,0.3579323255638849
45,beta,1,32,1.0,1.0,raw,32,0.8005477515681597,0.3762167225502734
25,beta,1,32,1.0,1.0,raw,32,0.8689553917281019,0.3299833082543744
9,beta,1,32,1.0,1.0,raw,32,0.8574011458626845,0.3474024907360215
13,beta,1,32,1.0,1.0,raw,32,0.9394630393401016,0.2688321015901682
