seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
4,beta,1,8,1.0,1.0,raw,8,0.9932961948824474,0.1150916557359698
38,beta,1,8,1.0,1.0,raw,8,0.9989241527703066,0.0460526205081115
47,beta,1,8,1.0,1.0,raw,8,1.0,0.0274958594616114
14,beta,1,8,1.0,1.0,raw,8,1.0,0.0410615218609785
23,beta,1,8,1.0,1.0,raw,8,0.999426111908178,0.0642485913440451
46,beta,1,8,1.0,1.0,raw,8,1.0,0.0226412897415522
43,beta,1,8,1.0,1.0,raw,8,1.0,0.0362659719956778
11,beta,1,8,1.0,1.0,raw,8,0.9984579100145136,0.0499886872487543
39,beta,1,8,1.0,1.0,raw,8,0.9980943738656988,0.0708968530167842
6,beta,1,8,1.0,1.0,raw,8,0.9993527508090616,0.0446593006857529
3,beta,1,8,1.0,1.0,raw,8,0.999797057331304,0.0465188453595563
27,beta,1,8,1.0,1.0,raw,8,0.9997319753417314,0.0384088620760501
34,beta,1,8,1.0,1.0,raw,8,0.999443413729128,0.0398216245731456
29,beta,1,8,1.0,1.0,raw,8,0.976238905325444,0.1737122149256442
7,beta,1,8,1.0,1.0,raw,8,0.9993984962406016,0.032315966468967
15,beta,1,8,1.0,1.0,raw,8,1.0,0.0246132497537541
31,beta,1,8,1.0,1.0,raw,8,1.0,0.024801550501605
2,beta,1,8,1.0,1.0,raw,8,1.0,0.0264770264227523
19,beta,1,8,1.0,1.0,raw,8,1.0,0.0312594142531787
35,beta,1,8,1.0,1.0,raw,8,0.9984246131035122,0.046029874116641
42,beta,1,8,1.0,1.0,raw,8,1.0,0.0134526081967235
18,beta,1,8,1.0,1.0,raw,8,0.9986935423665548,0.0562350990175136
30,beta,1,8,1.0,1.0,raw,8,0.9997986509614416,0.0435742273997525
22,beta,1,8,1.0,1.0,raw,8,1.0,0.0269313704162212
26,beta,1,8,1.0,1.0,raw,8,1.0,0.0304548754264242
10,beta,1,8,1.0,1.0,raw,8,1.0,0.0365624450898165
25,beta,1,8,1.0,1.0,raw,8,0.9995015948963316,0.0618034190958037
0,beta,1,8,1.0,1.0,raw,8,1.0,0.0385664512563887
21,beta,1,8,1.0,1.0,raw,8,0.9991629464285716,0.0388018390001907
40,beta,1,8,1.0,1.0,raw,8,0.9977808599167822,0.0505036367606432
45,beta,1,8,1.0,1.0,raw,8,0.9990723562152134,0.0483712734774195
32,beta,1,8,1.0,1.0,raw,8,1.0,0.0606077564925198
48,beta,1,8,1.0,1.0,raw,8,1.0,0.0287699794200244
36,beta,1,8,1.0,1.0,raw,8,0.998886827458256,0.0373961043818443
28,beta,1,8,1.0,1.0,raw,8,0.99941673957422,0.0285920281051358
24,beta,1,8,1.0,1.0,raw,8,0.99769882179676,0.0459137038956366
12,beta,1,8,1.0,1.0,raw,8,1.0,0.0160718135001784
44,beta,1,8,1.0,1.0,raw,8,0.9983232417326502,0.0584495379070768
33,beta,1,8,1.0,1.0,raw,8,0.9997253250320454,0.035427448192475
8,beta,1,8,1.0,1.0,raw,8,0.999351851851852,0.0411641505607514
16,beta,1,8,1.0,1.0,raw,8,1.0,0.0376510550548234
9,beta,1,8,1.0,1.0,raw,8,1.0,0.0295113067358353
1,beta,1,8,1.0,1.0,raw,8,1.0,0.0390360355136927
17,beta,1,8,1.0,1.0,raw,8,0.996907796101949,0.0591802981788928
20,beta,1,8,1.0,1.0,raw,8,1.0,0.0480158404202071
13,beta,1,8,1.0,1.0,raw,8,1.0,0.0268301541053199
5,beta,1,8,1.0,1.0,raw,8,1.0,0.0538392160689456
41,beta,1,8,1.0,1.0,raw,8,1.0,0.042852670299673
49,beta,1,8,1.0,1.0,raw,8,0.9991584852734924,0.0452100770839439
37,beta,1,8,1.0,1.0,raw,8,0.9993522716757657,0.04694511960615757
