seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,32,1.0,1.0,raw,32,0.9478892281131586,0.2388800382861314,16,2,30,2
43,beta,1,32,1.0,1.0,raw,32,0.9311053519768564,0.2713526673864337,9,2,30,2
2,beta,1,32,1.0,1.0,raw,32,0.939228147738786,0.2522414871250049,21,2,30,2
6,beta,1,32,1.0,1.0,raw,32,0.9521178957120936,0.235907740326617,19,2,30,2
26,beta,1,32,1.0,1.0,raw,32,0.9512253223357056,0.2280577531097371,23,2,30,2
30,beta,1,32,1.0,1.0,raw,32,0.9420895598348508,0.2618242876573319,18,2,30,2
23,beta,1,32,1.0,1.0,raw,32,0.924129721568969,0.2756506051174353,27,2,30,2
10,beta,1,32,1.0,1.0,raw,32,0.9213693006042732,0.2875204581777027,14,2,30,2
42,beta,1,32,1.0,1.0,raw,32,0.9438963414634148,0.2266172967612568,26,2,30,2
7,beta,1,32,1.0,1.0,raw,32,0.944320235214848,0.2366176675823189,29,2,30,2
39,beta,1,32,1.0,1.0,raw,32,0.8757218934911244,0.3296649197443592,6,2,30,2
3,beta,1,32,1.0,1.0,raw,32,0.9087281586021504,0.288738391217632,16,2,30,2
34,beta,1,32,1.0,1.0,raw,32,0.9277260251903082,0.2900441230306763,30,2,30,2
38,beta,1,32,1.0,1.0,raw,32,0.937507092643361,0.2417223447274704,30,2,30,2
27,beta,1,32,1.0,1.0,raw,32,0.8985863247202734,0.3126325564578951,20,2,30,2
35,beta,1,32,1.0,1.0,raw,32,0.955068311116648,0.2099799391553826,17,2,30,2
24,beta,1,32,1.0,1.0,raw,32,0.9879175678923336,0.1444339231186852,27,2,30,2
47,beta,1,32,1.0,1.0,raw,32,0.885845716965737,0.3253789732496639,5,2,30,2
46,beta,1,32,1.0,1.0,raw,32,0.9369820555625362,0.2742124746968546,25,2,30,2
18,beta,1,32,1.0,1.0,raw,32,0.930298577641942,0.2769793547784731,24,2,30,2
14,beta,1,32,1.0,1.0,raw,32,0.924265460030166,0.2830868186215826,22,2,30,2
11,beta,1,32,1.0,1.0,raw,32,0.9608899007354892,0.2238535894851261,18,2,30,2
15,beta,1,32,1.0,1.0,raw,32,0.914163115530303,0.2987008914727316,26,2,30,2
22,beta,1,32,1.0,1.0,raw,32,0.9868561839666492,0.1392714741173066,25,2,30,2
19,beta,1,32,1.0,1.0,raw,32,0.9378864666941488,0.2416804373794101,29,2,30,2
31,beta,1,32,1.0,1.0,raw,32,0.9874086273150156,0.1503088592595951,26,2,30,2
33,beta,1,32,1.0,1.0,raw,32,0.9599219505456554,0.2145282683196548,29,2,30,2
16,beta,1,32,1.0,1.0,raw,32,0.9379800605770368,0.2351214047212333,6,2,30,2
32,beta,1,32,1.0,1.0,raw,32,0.8972413590923748,0.3213757800846135,17,2,30,2
12,beta,1,32,1.0,1.0,raw,32,0.9845889613414066,0.1321721346697368,27,2,30,2
20,beta,1,32,1.0,1.0,raw,32,0.9101629254410154,0.2824397090699697,21,2,30,2
4,beta,1,32,1.0,1.0,raw,32,0.8971449213981416,0.3266099512040115,26,2,30,2
48,beta,1,32,1.0,1.0,raw,32,0.9437220406554948,0.2287671099189176,9,2,30,2
28,beta,1,32,1.0,1.0,raw,32,0.9354697793076936,0.2687546696368111,14,2,30,2
40,beta,1,32,1.0,1.0,raw,32,0.959625253610216,0.2180488196668625,25,2,30,2
36,beta,1,32,1.0,1.0,raw,32,0.917403295382222,0.2784831725015765,27,2,30,2
44,beta,1,32,1.0,1.0,raw,32,0.923122807017544,0.2773636958512215,23,2,30,2
8,beta,1,32,1.0,1.0,raw,32,0.9934176038886772,0.1206301382062501,22,2,30,2
37,beta,1,32,1.0,1.0,raw,32,0.9480919139034324,0.249918641322574,20,2,30,2
29,beta,1,32,1.0,1.0,raw,32,0.9448729689114304,0.2445317758914058,16,2,30,2
1,beta,1,32,1.0,1.0,raw,32,0.9465384271804188,0.2498411702231029,25,2,30,2
21,beta,1,32,1.0,1.0,raw,32,0.95948763777182,0.2083676141111852,27,2,30,2
41,beta,1,32,1.0,1.0,raw,32,0.9880782586193408,0.1486632612923374,29,2,30,2
5,beta,1,32,1.0,1.0,raw,32,0.93693336219128,0.2556316148233178,27,2,30,2
17,beta,1,32,1.0,1.0,raw,32,0.9494449806949808,0.2455422337087633,24,2,30,2
49,beta,1,32,1.0,1.0,raw,32,0.8887116812574036,0.3166689312167928,27,2,30,2
45,beta,1,32,1.0,1.0,raw,32,0.9371410902023148,0.2483117874143924,18,2,30,2
25,beta,1,32,1.0,1.0,raw,32,0.9569723853554916,0.2116890868912203,25,2,30,2
9,beta,1,32,1.0,1.0,raw,32,0.8946416831032217,0.3313930661368184,11,2,30,2
13,beta,1,32,1.0,1.0,raw,32,0.9851454858593183,0.146453828805681,24,2,30,2
