seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
23,bernoulli,1,8,1.0,1.0,raw,8,0.5437888955806016,0.4746881270514359
15,bernoulli,1,8,1.0,1.0,raw,8,0.5147955238138562,0.4458122962224942
26,bernoulli,1,8,1.0,1.0,raw,8,0.5179450286421214,0.4710153675822093
27,bernoulli,1,8,1.0,1.0,raw,8,0.4981884057971014,0.4446147169919354
14,bernoulli,1,8,1.0,1.0,raw,8,0.5363375377687756,0.4135064764288269
18,bernoulli,1,8,1.0,1.0,raw,8,0.5957583390890993,0.4172609878850902
19,bernoulli,1,8,1.0,1.0,raw,8,0.5627866770164419,0.4027513087918536
11,bernoulli,1,8,1.0,1.0,raw,8,0.5150199776720137,0.4443347469775002
31,bernoulli,1,8,1.0,1.0,raw,8,0.5224407600057794,0.4003424266554802
3,bernoulli,1,8,1.0,1.0,raw,8,0.5290924422894486,0.4412038727389322
7,bernoulli,1,8,1.0,1.0,raw,8,0.5395543353339293,0.4204422498763314
43,bernoulli,1,8,1.0,1.0,raw,8,0.5138185106864036,0.4859214369152043
42,bernoulli,1,8,1.0,1.0,raw,8,0.5241472005932517,0.4349986676217644
6,bernoulli,1,8,1.0,1.0,raw,8,0.5194356748224151,0.4766001764631725
46,bernoulli,1,8,1.0,1.0,raw,8,0.5142878787878788,0.4359989813379322
38,bernoulli,1,8,1.0,1.0,raw,8,0.5360490375147511,0.4481727862184415
34,bernoulli,1,8,1.0,1.0,raw,8,0.5159915720674235,0.4114834339195544
39,bernoulli,1,8,1.0,1.0,raw,8,0.545263780719377,0.4652245348346932
10,bernoulli,1,8,1.0,1.0,raw,8,0.5403371954842543,0.4415470168901386
35,bernoulli,1,8,1.0,1.0,raw,8,0.5507407160871849,0.4421418735971699
47,bernoulli,1,8,1.0,1.0,raw,8,0.5444909211902271,0.3818318593619637
22,bernoulli,1,8,1.0,1.0,raw,8,0.5261825350743347,0.4764565991163141
2,bernoulli,1,8,1.0,1.0,raw,8,0.5078758232016211,0.4276826034637982
30,bernoulli,1,8,1.0,1.0,raw,8,0.5475642469872195,0.4289154399172178
41,bernoulli,1,8,1.0,1.0,raw,8,0.5758681091194999,0.3815072442488109
1,bernoulli,1,8,1.0,1.0,raw,8,0.5188548375681223,0.4670272003539383
12,bernoulli,1,8,1.0,1.0,raw,8,0.5157869634340222,0.43474676428891
0,bernoulli,1,8,1.0,1.0,raw,8,0.510830768341498,0.4732521336321485
37,bernoulli,1,8,1.0,1.0,raw,8,0.5629687375935671,0.4544894294999345
13,bernoulli,1,8,1.0,1.0,raw,8,0.4934602443531261,0.4780025456262982
29,bernoulli,1,8,1.0,1.0,raw,8,0.5548082214191168,0.4515543550858947
8,bernoulli,1,8,1.0,1.0,raw,8,0.5348527255764361,0.4485722243068317
33,bernoulli,1,8,1.0,1.0,raw,8,0.5271654564315352,0.4572769222040388
48,bernoulli,1,8,1.0,1.0,raw,8,0.5777681196944758,0.3921780611703342
28,bernoulli,1,8,1.0,1.0,raw,8,0.5189423984891407,0.4958943844990561
17,bernoulli,1,8,1.0,1.0,raw,8,0.5323464273225318,0.4481219128245657
16,bernoulli,1,8,1.0,1.0,raw,8,0.5269779047380749,0.4654427363671136
5,bernoulli,1,8,1.0,1.0,raw,8,0.5590515275877794,0.4502023791505354
24,bernoulli,1,8,1.0,1.0,raw,8,0.502104256336681,0.5153320520692684
45,bernoulli,1,8,1.0,1.0,raw,8,0.5436070461767822,0.477911525017979
25,bernoulli,1,8,1.0,1.0,raw,8,0.5308560583358306,0.4850712509761815
20,bernoulli,1,8,1.0,1.0,raw,8,0.5220991919067299,0.4341512995957796
49,bernoulli,1,8,1.0,1.0,raw,8,0.5235455183182096,0.4357696100528974
4,bernoulli,1,8,1.0,1.0,raw,8,0.5521509392849916,0.4463123507444022
21,bernoulli,1,8,1.0,1.0,raw,8,0.5162968129720048,0.4157719502919622
9,bernoulli,1,8,1.0,1.0,raw,8,0.5769636824324325,0.4255711798452921
44,bernoulli,1,8,1.0,1.0,raw,8,0.5494544016394916,0.3945812911222809
36,bernoulli,1,8,1.0,1.0,raw,8,0.5218470558771969,0.45546731964986
40,bernoulli,1,8,1.0,1.0,raw,8,0.5339479721248322,0.4111366543624312
32,bernoulli,1,8,1.0,1.0,raw,8,0.5108560689956039,0.41032170182984284
