seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
4,beta,1,8,1.0,1.0,raw,8,0.9873477480879992,0.345054081845044,18,2,30,2
38,beta,1,8,1.0,1.0,raw,8,0.9578267885960194,0.2792373807270498,4,2,30,2
47,beta,1,8,1.0,1.0,raw,8,0.978861788617886,0.3943734750551947,20,2,30,2
14,beta,1,8,1.0,1.0,raw,8,0.9526039924166388,0.2545244613641387,6,2,30,2
23,beta,1,8,1.0,1.0,raw,8,0.9754184600669537,0.2659843062283249,10,2,30,2
46,beta,1,8,1.0,1.0,raw,8,0.9795751633986928,0.1986135752917043,11,2,30,2
43,beta,1,8,1.0,1.0,raw,8,0.9828238987902852,0.1661265843899263,6,2,30,2
11,beta,1,8,1.0,1.0,raw,8,0.9769593613933236,0.2220151690190409,15,2,30,2
39,beta,1,8,1.0,1.0,raw,8,0.9721415607985482,0.2163932755089173,3,2,30,2
6,beta,1,8,1.0,1.0,raw,8,0.961719833564494,0.224089161046155,24,2,30,2
3,beta,1,8,1.0,1.0,raw,8,0.9231861998985288,0.3452341379172173,5,2,30,2
27,beta,1,8,1.0,1.0,raw,8,0.9740016081479496,0.2985622245239495,13,2,30,2
34,beta,1,8,1.0,1.0,raw,8,0.9701298701298702,0.2175705482081384,25,2,30,2
29,beta,1,8,1.0,1.0,raw,8,0.9203957100591716,0.4390586099418367,3,2,30,2
7,beta,1,8,1.0,1.0,raw,8,0.9452631578947368,0.4408708211334644,20,2,30,2
15,beta,1,8,1.0,1.0,raw,8,0.9793483709273184,0.1789548699558603,2,2,30,2
31,beta,1,8,1.0,1.0,raw,8,0.9601694915254236,0.3543219039134682,5,2,30,2
2,beta,1,8,1.0,1.0,raw,8,0.9725505146778498,0.323332022085841,5,2,30,2
19,beta,1,8,1.0,1.0,raw,8,0.9455645161290324,0.3928463906513545,19,2,30,2
35,beta,1,8,1.0,1.0,raw,8,0.9260494856825132,0.2639920163184668,3,2,30,2
42,beta,1,8,1.0,1.0,raw,8,0.9763840495547812,0.1971144710854193,26,2,30,2
18,beta,1,8,1.0,1.0,raw,8,0.9716312056737588,0.2123192109278958,3,2,30,2
30,beta,1,8,1.0,1.0,raw,8,0.972817879794624,0.4120318805456852,21,2,30,2
22,beta,1,8,1.0,1.0,raw,8,0.9825194228634848,0.1643741689958344,6,2,30,2
26,beta,1,8,1.0,1.0,raw,8,0.9525980811247268,0.3106513297552165,21,2,30,2
10,beta,1,8,1.0,1.0,raw,8,0.9496040987424312,0.2119568988029609,4,2,30,2
25,beta,1,8,1.0,1.0,raw,8,0.9785685805422648,0.2987216560333356,22,2,30,2
0,beta,1,8,1.0,1.0,raw,8,0.970724701723376,0.2869725842191185,18,2,30,2
21,beta,1,8,1.0,1.0,raw,8,0.9579613095238096,0.3910324641821409,8,2,30,2
40,beta,1,8,1.0,1.0,raw,8,0.5030975496994914,0.4562100752253941,16,2,30,2
45,beta,1,8,1.0,1.0,raw,8,0.9808905380333952,0.2092723733700686,5,2,30,2
32,beta,1,8,1.0,1.0,raw,8,0.955503512880562,0.2814058825518524,17,2,30,2
48,beta,1,8,1.0,1.0,raw,8,0.9804031354983204,0.3477585245632962,17,2,30,2
36,beta,1,8,1.0,1.0,raw,8,0.9792207792207792,0.1930687676045597,17,2,30,2
28,beta,1,8,1.0,1.0,raw,8,0.5158452415670263,0.4455485471225527,22,2,30,2
24,beta,1,8,1.0,1.0,raw,8,0.9556332842415316,0.2876260740168089,23,2,30,2
12,beta,1,8,1.0,1.0,raw,8,0.9749233769852326,0.331583416680799,20,2,30,2
44,beta,1,8,1.0,1.0,raw,8,0.9803446669771776,0.1968762265273141,21,2,30,2
33,beta,1,8,1.0,1.0,raw,8,0.964200695843252,0.3064026364624522,23,2,30,2
8,beta,1,8,1.0,1.0,raw,8,0.9874074074074076,0.4494775607042439,24,2,30,2
16,beta,1,8,1.0,1.0,raw,8,0.9726781140309269,0.4316342556168475,9,2,30,2
9,beta,1,8,1.0,1.0,raw,8,0.9887755102040816,0.1524121729931968,16,2,30,2
1,beta,1,8,1.0,1.0,raw,8,0.9684095860566448,0.3521968734191124,14,2,30,2
17,beta,1,8,1.0,1.0,raw,8,0.9678598200899552,0.2917501664982495,21,2,30,2
20,beta,1,8,1.0,1.0,raw,8,0.9911707900303504,0.1996011056698828,17,2,30,2
13,beta,1,8,1.0,1.0,raw,8,0.9849112426035505,0.1366426392281911,25,2,30,2
5,beta,1,8,1.0,1.0,raw,8,0.9896111322912696,0.1749291908962773,15,2,30,2
41,beta,1,8,1.0,1.0,raw,8,0.9726027397260276,0.21975372146606,9,2,30,2
49,beta,1,8,1.0,1.0,raw,8,0.9680224403927068,0.293369489614799,15,2,30,2
37,beta,1,8,1.0,1.0,raw,8,0.9867678356620709,0.1763406699809191,9,2,30,2
