seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
0,beta,1,16,1.0,1.0,raw,16,0.9047797049441786,0.3210825734850178
30,beta,1,16,1.0,1.0,raw,16,0.8786858483828182,0.3375031117896276
2,beta,1,16,1.0,1.0,raw,16,0.945601652608022,0.2516110485925941
47,beta,1,16,1.0,1.0,raw,16,0.8976325757575758,0.3266233072751633
23,beta,1,16,1.0,1.0,raw,16,0.8732154597539213,0.3341711537059103
11,beta,1,16,1.0,1.0,raw,16,0.9691349384098544,0.2162987166446676
24,beta,1,16,1.0,1.0,raw,16,0.872169655886645,0.344671131464741
12,beta,1,16,1.0,1.0,raw,16,0.9429868235185142,0.2457229757856452
40,beta,1,16,1.0,1.0,raw,16,0.8959944108057756,0.3112685975872618
44,beta,1,16,1.0,1.0,raw,16,0.8856227106227107,0.3247997065636467
19,beta,1,16,1.0,1.0,raw,16,0.8688393117526976,0.3214461107993936
6,beta,1,16,1.0,1.0,raw,16,0.9079841842397336,0.3126019788286492
35,beta,1,16,1.0,1.0,raw,16,0.8763070077864294,0.3125126955314547
27,beta,1,16,1.0,1.0,raw,16,0.8657106782106782,0.3368651534253338
43,beta,1,16,1.0,1.0,raw,16,0.9358504743120128,0.2734025387893066
39,beta,1,16,1.0,1.0,raw,16,0.8891959104725062,0.3124815577787216
10,beta,1,16,1.0,1.0,raw,16,0.9616993735986872,0.2403625208530955
15,beta,1,16,1.0,1.0,raw,16,0.8545872794459536,0.3412237648608078
31,beta,1,16,1.0,1.0,raw,16,0.9319847416483644,0.271204206956491
38,beta,1,16,1.0,1.0,raw,16,0.9409288019362648,0.2455808350360789
18,beta,1,16,1.0,1.0,raw,16,0.897657450076805,0.315883310294722
3,beta,1,16,1.0,1.0,raw,16,0.8425034554669124,0.3536506100061873
7,beta,1,16,1.0,1.0,raw,16,0.9443836881500922,0.2403797082216733
46,beta,1,16,1.0,1.0,raw,16,0.9346217105263158,0.2770006179441177
22,beta,1,16,1.0,1.0,raw,16,0.9592813540510544,0.2315917215944345
26,beta,1,16,1.0,1.0,raw,16,0.9538394865067464,0.2444772002476029
42,beta,1,16,1.0,1.0,raw,16,0.9590787632014252,0.2396526115570061
34,beta,1,16,1.0,1.0,raw,16,0.9481498401096392,0.2634899783554077
14,beta,1,16,1.0,1.0,raw,16,0.9599880642361112,0.2174748910326563
5,beta,1,16,1.0,1.0,raw,16,0.8554280248684839,0.3520047479127784
20,beta,1,16,1.0,1.0,raw,16,0.841593952922078,0.3550388964983039
48,beta,1,16,1.0,1.0,raw,16,0.94511276452727,0.2551728129807344
36,beta,1,16,1.0,1.0,raw,16,0.8721470836855452,0.3304222389840087
32,beta,1,16,1.0,1.0,raw,16,0.8998297993050138,0.3144397495813334
4,beta,1,16,1.0,1.0,raw,16,0.8480019856043682,0.3577248170187707
16,beta,1,16,1.0,1.0,raw,16,0.9018583042973288,0.3027495472705395
8,beta,1,16,1.0,1.0,raw,16,0.9476858345021038,0.2526824213839009
28,beta,1,16,1.0,1.0,raw,16,0.9641994418255588,0.2272444360637325
1,beta,1,16,1.0,1.0,raw,16,0.8434369202226344,0.3705855654472059
21,beta,1,16,1.0,1.0,raw,16,0.9522737400032836,0.2377092029835347
13,beta,1,16,1.0,1.0,raw,16,0.9495697674418604,0.2594828967226141
25,beta,1,16,1.0,1.0,raw,16,0.8941357402178298,0.3178605343050682
17,beta,1,16,1.0,1.0,raw,16,0.8746920901377612,0.3351732809901462
49,beta,1,16,1.0,1.0,raw,16,0.9410101291055328,0.257762615117145
9,beta,1,16,1.0,1.0,raw,16,0.9416823998321796,0.2710160806519545
45,beta,1,16,1.0,1.0,raw,16,0.8389352743880681,0.3629951375827427
29,beta,1,16,1.0,1.0,raw,16,0.8632338965765014,0.3354515952924253
37,beta,1,16,1.0,1.0,raw,16,0.9672971026278492,0.2211193952750429
33,beta,1,16,1.0,1.0,raw,16,0.8811598557692307,0.3154995961859245
41,beta,1,16,1.0,1.0,raw,16,0.907649186689984,0.31876944828540726
