seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
0,beta,1,64,1.0,1.0,raw,64,0.8521843839460441,0.3499554460982241
18,beta,1,64,1.0,1.0,raw,64,0.887450491137127,0.3261502538584718
4,beta,1,64,1.0,1.0,raw,64,0.8637990132034001,0.3446249231166152
39,beta,1,64,1.0,1.0,raw,64,0.8499989326697588,0.3422756112110581
11,beta,1,64,1.0,1.0,raw,64,0.875154791388836,0.3292392024063373
20,beta,1,64,1.0,1.0,raw,64,0.8440922055210893,0.3423846830674912
49,beta,1,64,1.0,1.0,raw,64,0.8441489509477221,0.3527971839114441
40,beta,1,64,1.0,1.0,raw,64,0.8746936779892495,0.3281856662435304
3,beta,1,64,1.0,1.0,raw,64,0.8592754081940488,0.33945041124249
30,beta,1,64,1.0,1.0,raw,64,0.8598829837219929,0.3476234377689092
35,beta,1,64,1.0,1.0,raw,64,0.8662116601026375,0.3312688489265583
27,beta,1,64,1.0,1.0,raw,64,0.8640709446601202,0.3464140613175909
42,beta,1,64,1.0,1.0,raw,64,0.8445723288593833,0.3550361684051051
15,beta,1,64,1.0,1.0,raw,64,0.8365258508384471,0.3621067627253949
7,beta,1,64,1.0,1.0,raw,64,0.8581821443789106,0.3412721693606887
47,beta,1,64,1.0,1.0,raw,64,0.8790210459545791,0.3224532996970796
2,beta,1,64,1.0,1.0,raw,64,0.8272043600048714,0.3628988817341221
23,beta,1,64,1.0,1.0,raw,64,0.8598247363921345,0.3370386418543141
31,beta,1,64,1.0,1.0,raw,64,0.8581719606204143,0.3438090685465318
19,beta,1,64,1.0,1.0,raw,64,0.8528128023494203,0.3398471810178647
43,beta,1,64,1.0,1.0,raw,64,0.881644023870163,0.3217331156920677
34,beta,1,64,1.0,1.0,raw,64,0.8512166730450312,0.3533344436780259
14,beta,1,64,1.0,1.0,raw,64,0.8303040803040803,0.3601084149880373
46,beta,1,64,1.0,1.0,raw,64,0.8997636323265026,0.3077773267720767
10,beta,1,64,1.0,1.0,raw,64,0.8442141432054977,0.3472867244837158
6,beta,1,64,1.0,1.0,raw,64,0.8614633798803077,0.3435587025592658
26,beta,1,64,1.0,1.0,raw,64,0.8639976580380746,0.332031474393881
22,beta,1,64,1.0,1.0,raw,64,0.8704497253320355,0.3338871418363663
38,beta,1,64,1.0,1.0,raw,64,0.8693865508711145,0.3280430759610591
12,beta,1,64,1.0,1.0,raw,64,0.8491996354645864,0.3367882092696549
8,beta,1,64,1.0,1.0,raw,64,0.8701948438696502,0.3331828174909622
28,beta,1,64,1.0,1.0,raw,64,0.8765205437059608,0.3325634561842901
24,beta,1,64,1.0,1.0,raw,64,0.8543319610778443,0.343027319718905
25,beta,1,64,1.0,1.0,raw,64,0.8527193520861092,0.3408209792515919
36,beta,1,64,1.0,1.0,raw,64,0.8548409150747023,0.353541378537392
44,beta,1,64,1.0,1.0,raw,64,0.841636811299335,0.352083085650671
16,beta,1,64,1.0,1.0,raw,64,0.8685673850370709,0.3317988536067034
48,beta,1,64,1.0,1.0,raw,64,0.8582071820357499,0.3435000247636033
32,beta,1,64,1.0,1.0,raw,64,0.8835883947074765,0.3226790002187009
13,beta,1,64,1.0,1.0,raw,64,0.8977720316518132,0.3092926055351443
37,beta,1,64,1.0,1.0,raw,64,0.8830948225712624,0.3290205722843953
1,beta,1,64,1.0,1.0,raw,64,0.8780482545819547,0.3328079003925104
9,beta,1,64,1.0,1.0,raw,64,0.8555937535108415,0.3447840699379877
29,beta,1,64,1.0,1.0,raw,64,0.8640887546852348,0.3342062341523234
33,beta,1,64,1.0,1.0,raw,64,0.8999809700141794,0.302569288956554
5,beta,1,64,1.0,1.0,raw,64,0.8716999961119247,0.3286806012104407
45,beta,1,64,1.0,1.0,raw,64,0.859175524690799,0.3352937074143033
41,beta,1,64,1.0,1.0,raw,64,0.8752460703536832,0.3407021457034362
17,beta,1,64,1.0,1.0,raw,64,0.8705485181205173,0.3372162500309482
21,beta,1,64,1.0,1.0,raw,64,0.8770237508218277,0.31915833553632705
