seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
23,bernoulli,1,8,1.0,1.0,raw,8,0.5463233818004531,0.4664891238043543
15,bernoulli,1,8,1.0,1.0,raw,8,0.5784773082230208,0.4399503311115662
26,bernoulli,1,8,1.0,1.0,raw,8,0.5608947637361159,0.4714715154706671
27,bernoulli,1,8,1.0,1.0,raw,8,0.5195414587788073,0.446095931921331
14,bernoulli,1,8,1.0,1.0,raw,8,0.6447768189693415,0.4135048548010973
18,bernoulli,1,8,1.0,1.0,raw,8,0.6101166050461139,0.4207645920361121
19,bernoulli,1,8,1.0,1.0,raw,8,0.5935713781666784,0.4023561383164188
11,bernoulli,1,8,1.0,1.0,raw,8,0.6390651624654797,0.4442511341368153
31,bernoulli,1,8,1.0,1.0,raw,8,0.5623826036699899,0.3971531118817803
3,bernoulli,1,8,1.0,1.0,raw,8,0.6319211251486998,0.4407314273460987
7,bernoulli,1,8,1.0,1.0,raw,8,0.59471970374154,0.4203360710483447
43,bernoulli,1,8,1.0,1.0,raw,8,0.5502932609823246,0.4830441804823359
42,bernoulli,1,8,1.0,1.0,raw,8,0.5486342850080336,0.435211719833329
6,bernoulli,1,8,1.0,1.0,raw,8,0.5820770849776374,0.4741424178603263
46,bernoulli,1,8,1.0,1.0,raw,8,0.5757651515151515,0.435862217490621
38,bernoulli,1,8,1.0,1.0,raw,8,0.581805608797288,0.4484322005965624
34,bernoulli,1,8,1.0,1.0,raw,8,0.5284915720674235,0.4093505393429962
39,bernoulli,1,8,1.0,1.0,raw,8,0.5903280402895121,0.4699938325020752
10,bernoulli,1,8,1.0,1.0,raw,8,0.5849524658348189,0.4404475341699703
35,bernoulli,1,8,1.0,1.0,raw,8,0.616521333954603,0.4415795483979779
47,bernoulli,1,8,1.0,1.0,raw,8,0.5982317710809013,0.3817037953754984
22,bernoulli,1,8,1.0,1.0,raw,8,0.4856900765626477,0.4730579151279641
2,bernoulli,1,8,1.0,1.0,raw,8,0.539299962006079,0.4272695829201535
30,bernoulli,1,8,1.0,1.0,raw,8,0.5593884481039946,0.4209203161231078
41,bernoulli,1,8,1.0,1.0,raw,8,0.5783214068891388,0.3819255674879968
1,bernoulli,1,8,1.0,1.0,raw,8,0.5810956189397692,0.4678882784425522
12,bernoulli,1,8,1.0,1.0,raw,8,0.5922933227344993,0.4327635162397998
0,bernoulli,1,8,1.0,1.0,raw,8,0.5690885969855928,0.4696719480872537
37,bernoulli,1,8,1.0,1.0,raw,8,0.5616477908428795,0.4527083487349026
13,bernoulli,1,8,1.0,1.0,raw,8,0.5855098044623405,0.4684884136186055
29,bernoulli,1,8,1.0,1.0,raw,8,0.6162569342197237,0.4522600798234805
8,bernoulli,1,8,1.0,1.0,raw,8,0.6059428080619604,0.4457018471915995
33,bernoulli,1,8,1.0,1.0,raw,8,0.6269234094052559,0.4580655254774702
48,bernoulli,1,8,1.0,1.0,raw,8,0.6159678940652105,0.389332463924589
28,bernoulli,1,8,1.0,1.0,raw,8,0.5557884796978282,0.4916048082404429
17,bernoulli,1,8,1.0,1.0,raw,8,0.5527377899522089,0.4500008285037997
16,bernoulli,1,8,1.0,1.0,raw,8,0.540207955406354,0.465746363882101
5,bernoulli,1,8,1.0,1.0,raw,8,0.6198314284453466,0.4502875674173431
24,bernoulli,1,8,1.0,1.0,raw,8,0.5323828311812531,0.515357265899148
45,bernoulli,1,8,1.0,1.0,raw,8,0.5610655576915532,0.478264910354337
25,bernoulli,1,8,1.0,1.0,raw,8,0.5635267872007459,0.4815788625453642
20,bernoulli,1,8,1.0,1.0,raw,8,0.558833508111776,0.4309734522018286
49,bernoulli,1,8,1.0,1.0,raw,8,0.5212599850648323,0.4371294086900484
4,bernoulli,1,8,1.0,1.0,raw,8,0.5466607523618309,0.4501753035130751
21,bernoulli,1,8,1.0,1.0,raw,8,0.6288029484960432,0.4094636064107521
9,bernoulli,1,8,1.0,1.0,raw,8,0.610945945945946,0.4216217941255036
44,bernoulli,1,8,1.0,1.0,raw,8,0.5983335430636202,0.3940276529391642
36,bernoulli,1,8,1.0,1.0,raw,8,0.5494910210515461,0.4525337801753826
40,bernoulli,1,8,1.0,1.0,raw,8,0.6095009306150716,0.410337789414229
32,bernoulli,1,8,1.0,1.0,raw,8,0.49950501694687743,0.40737012349780355
