seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,beta,1,16,1.0,1.0,raw,16,0.977920653907496,0.208911169902927
30,beta,1,16,1.0,1.0,raw,16,0.9529129680644832,0.2497917067530655
2,beta,1,16,1.0,1.0,raw,16,0.9657182204952904,0.2118908478287244
47,beta,1,16,1.0,1.0,raw,16,0.9741950757575756,0.2173617624405787
23,beta,1,16,1.0,1.0,raw,16,0.95850943927867,0.2467768966133345
11,beta,1,16,1.0,1.0,raw,16,0.9867721164613662,0.1494363319406365
24,beta,1,16,1.0,1.0,raw,16,0.9402862119286354,0.2674746905145264
12,beta,1,16,1.0,1.0,raw,16,0.977630085913438,0.1671871976314912
40,beta,1,16,1.0,1.0,raw,16,0.9669306008383792,0.2249026995451908
44,beta,1,16,1.0,1.0,raw,16,0.9585393772893772,0.2314909314615253
19,beta,1,16,1.0,1.0,raw,16,0.9209925148245358,0.2750184269713533
6,beta,1,16,1.0,1.0,raw,16,0.9796984831668516,0.190516163680295
35,beta,1,16,1.0,1.0,raw,16,0.9515016685205784,0.219896708415495
27,beta,1,16,1.0,1.0,raw,16,0.9802489177489178,0.1885927366057241
43,beta,1,16,1.0,1.0,raw,16,0.96783131398516,0.2178800946081562
39,beta,1,16,1.0,1.0,raw,16,0.9721838445242702,0.1940765086936613
10,beta,1,16,1.0,1.0,raw,16,0.98596953516862,0.1628003732591176
15,beta,1,16,1.0,1.0,raw,16,0.9533318650123584,0.2341457596891411
31,beta,1,16,1.0,1.0,raw,16,0.9674950872731476,0.2081110523464744
38,beta,1,16,1.0,1.0,raw,16,0.973174667204518,0.1926924445501243
18,beta,1,16,1.0,1.0,raw,16,0.9791666666666666,0.190715125931909
3,beta,1,16,1.0,1.0,raw,16,0.9517204587890103,0.2464883834222752
7,beta,1,16,1.0,1.0,raw,16,0.9738018858753767,0.1832469749435188
46,beta,1,16,1.0,1.0,raw,16,0.9692982456140352,0.2180974884363242
22,beta,1,16,1.0,1.0,raw,16,0.9778949315575288,0.1822164084987834
26,beta,1,16,1.0,1.0,raw,16,0.979338455772114,0.1825064563099096
42,beta,1,16,1.0,1.0,raw,16,0.9774271535818806,0.2007734742495779
34,beta,1,16,1.0,1.0,raw,16,0.9720648698035632,0.2152442666773342
14,beta,1,16,1.0,1.0,raw,16,0.9798448350694444,0.1740121242643407
5,beta,1,16,1.0,1.0,raw,16,0.9558823529411764,0.2480994942189065
20,beta,1,16,1.0,1.0,raw,16,0.957792207792208,0.2449296104389904
48,beta,1,16,1.0,1.0,raw,16,0.9780033840947546,0.1857455745672999
36,beta,1,16,1.0,1.0,raw,16,0.93986568986569,0.2637294847636302
32,beta,1,16,1.0,1.0,raw,16,0.9737843651750469,0.1984508994226745
4,beta,1,16,1.0,1.0,raw,16,0.9528667163067758,0.2456809926943472
16,beta,1,16,1.0,1.0,raw,16,0.982336430507162,0.1695227264863344
8,beta,1,16,1.0,1.0,raw,16,0.9838709677419356,0.1689946427843447
28,beta,1,16,1.0,1.0,raw,16,0.9863036187527848,0.1590461697561389
1,beta,1,16,1.0,1.0,raw,16,0.9594155844155844,0.2455886850253421
21,beta,1,16,1.0,1.0,raw,16,0.977837191303736,0.1814445236895182
13,beta,1,16,1.0,1.0,raw,16,0.9832790697674418,0.186310601759988
25,beta,1,16,1.0,1.0,raw,16,0.9515681726502624,0.2417455455424871
17,beta,1,16,1.0,1.0,raw,16,0.9854027917160844,0.1596759829128539
49,beta,1,16,1.0,1.0,raw,16,0.9684537468418978,0.2034204791459409
9,beta,1,16,1.0,1.0,raw,16,0.9709344334894996,0.2132023445302419
45,beta,1,16,1.0,1.0,raw,16,0.9511881824020552,0.2551026255128933
29,beta,1,16,1.0,1.0,raw,16,0.9477319611524464,0.2363693894860719
37,beta,1,16,1.0,1.0,raw,16,0.9847812449174004,0.1631396256664582
33,beta,1,16,1.0,1.0,raw,16,0.959897374260355,0.2274778472023535
41,beta,1,16,1.0,1.0,raw,16,0.9519440385214287,0.25373831844219447
